92 3
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 
18 76 21 22 79 80 25 26 83 84 29 30 87 88 33 34 91 1 37 38 3 4 41 42 7 8 45 46 11 12 49 50 15 16 53 54 19 20 57 58 23 24 61 62 27 28 65 66 31 32 69 70 35 36 73 74 39 40 77 78 43 44 81 82 47 48 85 86 51 52 89 90 55 56 92 2 59 60 5 6 63 64 9 10 67 68 13 14 71 72 17 75 
19 81 16 23 78 85 20 27 82 89 24 31 86 92 28 35 90 5 32 39 2 9 36 43 6 13 40 47 10 17 44 51 14 21 48 55 18 25 52 59 22 29 56 63 26 33 60 67 30 37 64 71 34 41 68 75 38 45 72 79 42 49 76 83 46 53 80 87 50 57 84 91 54 61 88 3 58 65 1 7 62 69 4 11 66 73 8 15 70 77 12 74 
20 74 23 24 77 78 27 28 81 82 31 32 85 86 35 36 89 90 39 40 92 2 43 44 5 6 47 48 9 10 51 52 13 14 55 56 17 18 59 60 21 22 63 64 25 26 67 68 29 30 71 72 33 34 75 76 37 38 79 80 41 42 83 84 45 46 87 88 49 50 91 1 53 54 3 4 57 58 7 8 61 62 11 12 65 66 15 16 69 70 19 73 
21 79 18 25 76 83 22 29 80 87 26 33 84 91 30 37 88 3 34 41 1 7 38 45 4 11 42 49 8 15 46 53 12 19 50 57 16 23 54 61 20 27 58 65 24 31 62 69 28 35 66 73 32 39 70 77 36 43 74 81 40 47 78 85 44 51 82 89 48 55 86 92 52 59 90 5 56 63 2 9 60 67 6 13 64 71 10 17 68 75 14 72 
22 72 25 26 75 76 29 30 79 80 33 34 83 84 37 38 87 88 41 42 91 1 45 46 3 4 49 50 7 8 53 54 11 12 57 58 15 16 61 62 19 20 65 66 23 24 69 70 27 28 73 74 31 32 77 78 35 36 81 82 39 40 85 86 43 44 89 90 47 48 92 2 51 52 5 6 55 56 9 10 59 60 13 14 63 64 17 18 67 68 21 71 
23 77 20 27 74 81 24 31 78 85 28 35 82 89 32 39 86 92 36 43 90 5 40 47 2 9 44 51 6 13 48 55 10 17 52 59 14 21 56 63 18 25 60 67 22 29 64 71 26 33 68 75 30 37 72 79 34 41 76 83 38 45 80 87 42 49 84 91 46 53 88 3 50 57 1 7 54 61 4 11 58 65 8 15 62 69 12 19 66 73 16 70 
24 70 27 28 73 74 31 32 77 78 35 36 81 82 39 40 85 86 43 44 89 90 47 48 92 2 51 52 5 6 55 56 9 10 59 60 13 14 63 64 17 18 67 68 21 22 71 72 25 26 75 76 29 30 79 80 33 34 83 84 37 38 87 88 41 42 91 1 45 46 3 4 49 50 7 8 53 54 11 12 57 58 15 16 61 62 19 20 65 66 23 69 
25 75 22 29 72 79 26 33 76 83 30 37 80 87 34 41 84 91 38 45 88 3 42 49 1 7 46 53 4 11 50 57 8 15 54 61 12 19 58 65 16 23 62 69 20 27 66 73 24 31 70 77 28 35 74 81 32 39 78 85 36 43 82 89 40 47 86 92 44 51 90 5 48 55 2 9 52 59 6 13 56 63 10 17 60 67 14 21 64 71 18 68 
26 68 29 30 71 72 33 34 75 76 37 38 79 80 41 42 83 84 45 46 87 88 49 50 91 1 53 54 3 4 57 58 7 8 61 62 11 12 65 66 15 16 69 70 19 20 73 74 23 24 77 78 27 28 81 82 31 32 85 86 35 36 89 90 39 40 92 2 43 44 5 6 47 48 9 10 51 52 13 14 55 56 17 18 59 60 21 22 63 64 25 67 
27 73 24 31 70 77 28 35 74 81 32 39 78 85 36 43 82 89 40 47 86 92 44 51 90 5 48 55 2 9 52 59 6 13 56 63 10 17 60 67 14 21 64 71 18 25 68 75 22 29 72 79 26 33 76 83 30 37 80 87 34 41 84 91 38 45 88 3 42 49 1 7 46 53 4 11 50 57 8 15 54 61 12 19 58 65 16 23 62 69 20 66 
