48 48
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 
33 40 22 44 18 45 30 28 47 25 37 8 38 35 48 32 34 17 42 14 26 13 12 39 24 46 21 23 20 19 43 15 6 5 29 11 41 3 10 9 36 7 4 31 1 27 2 16 
34 39 23 48 45 18 29 13 25 47 46 38 8 19 44 43 33 6 14 42 41 28 3 40 9 37 36 22 7 35 32 31 17 1 30 27 26 12 2 24 21 20 16 15 5 11 10 4 
35 28 24 33 20 19 17 26 13 12 22 10 9 44 18 45 7 15 6 5 40 11 41 3 37 8 38 2 48 32 34 30 4 31 1 47 25 27 46 21 23 43 42 14 16 39 36 29 
36 16 43 10 21 46 27 42 31 4 20 32 48 38 24 2 37 47 41 11 5 30 29 15 45 35 7 44 23 22 9 12 40 39 26 1 17 14 34 33 19 8 3 28 25 6 18 13 
37 15 44 24 46 21 26 30 4 31 35 48 32 22 10 9 36 40 11 41 17 42 14 16 33 20 19 43 8 38 2 28 47 25 27 6 5 29 18 45 7 23 13 12 39 1 34 3 
38 42 45 36 23 22 47 5 30 29 43 34 33 10 21 46 8 12 40 39 16 1 17 14 20 32 48 18 24 2 37 27 3 28 25 31 4 6 35 7 44 9 41 11 13 15 19 26 
39 34 29 13 25 47 23 48 45 18 6 14 42 41 28 3 40 46 38 8 19 44 43 33 31 17 1 30 27 26 12 9 37 36 22 7 35 32 16 15 5 11 2 24 21 20 4 10 
40 33 30 28 47 25 22 44 18 45 17 42 14 26 13 12 39 37 8 38 35 48 32 34 15 6 5 29 11 41 3 24 46 21 23 20 19 43 4 31 1 27 10 9 36 7 16 2 
41 48 31 39 27 26 46 19 44 43 29 16 15 13 25 47 11 9 37 36 34 7 35 32 6 14 42 4 28 3 40 23 2 24 21 45 18 20 17 1 30 12 38 8 10 33 5 22 
42 38 47 5 30 29 45 36 23 22 12 40 39 16 1 17 14 43 34 33 10 21 46 8 27 3 28 25 31 4 6 20 32 48 18 24 2 37 41 11 13 15 35 7 44 9 26 19 
43 27 36 20 32 48 16 47 41 11 10 21 46 45 35 7 44 42 31 4 12 40 39 26 38 24 2 37 34 33 19 5 30 29 15 3 28 25 23 22 9 18 1 17 14 13 8 6 
44 26 37 35 48 32 15 40 11 41 24 46 21 33 20 19 43 30 4 31 28 47 25 27 22 10 9 36 18 45 7 17 42 14 16 13 12 39 8 38 2 34 6 5 29 3 23 1 
45 47 38 43 34 33 42 12 40 39 36 23 22 20 32 48 18 5 30 29 27 3 28 25 10 21 46 8 35 7 44 16 1 17 14 41 11 13 24 2 37 19 31 4 6 26 9 15 
46 31 48 9 37 36 41 29 16 15 19 44 43 23 2 24 21 39 27 26 6 14 42 4 34 7 35 32 38 8 10 13 25 47 11 17 1 30 45 18 20 22 28 3 40 5 33 12 
47 45 42 12 40 39 38 43 34 33 5 30 29 27 3 28 25 36 23 22 20 32 48 18 16 1 17 14 41 11 13 10 21 46 8 35 7 44 31 4 6 26 24 2 37 19 15 9 
48 41 46 19 44 43 31 39 27 26 9 37 36 34 7 35 32 29 16 15 13 25 47 11 23 2 24 21 45 18 20 6 14 42 4 28 3 40 38 8 10 33 17 1 30 12 22 5 
