54 9
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 
30 23 41 6 44 35 3 38 33 15 50 16 17 52 26 9 47 10 11 49 8 46 28 29 54 31 32 5 40 21 22 53 24 25 19 20 18 42 43 45 13 14 12 36 37 39 34 2 51 27 1 48 7 4 
31 24 42 44 45 36 38 39 34 50 51 17 52 16 27 47 48 11 49 10 46 7 29 54 28 32 30 40 4 22 53 21 25 23 20 18 19 43 41 6 14 12 13 37 35 3 2 33 15 1 26 9 8 5 
32 25 43 45 6 37 39 3 2 51 15 52 16 17 1 48 9 49 10 11 7 8 54 28 29 30 31 4 5 53 21 22 23 24 18 19 20 41 42 44 12 13 14 35 36 38 33 34 50 26 27 47 46 40 
33 26 44 8 46 38 5 40 50 17 52 19 20 18 47 11 49 13 14 12 29 54 31 32 30 34 2 22 53 24 25 23 27 1 42 43 41 45 6 7 36 37 35 39 3 4 51 15 16 48 9 10 28 21 
34 27 45 46 7 39 40 4 51 52 16 20 18 19 48 49 10 14 12 13 54 28 32 30 31 2 33 53 21 25 23 24 1 26 43 41 42 6 44 8 37 35 36 3 38 5 15 50 17 9 47 11 29 22 
35 41 26 9 47 33 15 50 38 5 40 21 22 53 44 8 46 28 29 54 11 49 13 14 12 36 37 17 52 19 20 18 42 43 24 25 23 27 1 48 31 32 30 34 2 51 39 3 4 45 6 7 10 16 
36 42 27 47 48 34 50 51 39 40 4 22 53 21 45 46 7 29 54 28 49 10 14 12 13 37 35 52 16 20 18 19 43 41 25 23 24 1 26 9 32 30 31 2 33 15 3 38 5 6 44 8 11 17 
37 43 1 48 9 2 51 15 3 4 5 53 21 22 6 7 8 54 28 29 10 11 12 13 14 35 36 16 17 18 19 20 41 42 23 24 25 26 27 47 30 31 32 33 34 50 38 39 40 44 45 46 49 52 
38 44 47 11 49 50 17 52 40 22 53 24 25 23 46 29 54 31 32 30 14 12 36 37 35 39 3 20 18 42 43 41 45 6 27 1 26 48 9 10 34 2 33 51 15 16 4 5 21 7 8 28 13 19 
39 45 48 49 10 51 52 16 4 53 21 25 23 24 7 54 28 32 30 31 12 13 37 35 36 3 38 18 19 43 41 42 6 44 1 26 27 9 47 11 2 33 34 15 50 17 5 40 22 8 46 29 14 20 
40 46 49 14 12 52 20 18 53 25 23 27 1 26 54 32 30 34 2 33 37 35 39 3 38 4 5 43 41 45 6 44 7 8 48 9 47 10 11 13 51 15 50 16 17 19 21 22 24 28 29 31 36 42 
41 35 33 15 50 26 9 47 44 8 46 28 29 54 38 5 40 21 22 53 17 52 19 20 18 42 43 11 49 13 14 12 36 37 31 32 30 34 2 51 24 25 23 27 1 48 45 6 7 39 3 4 16 10 
42 36 34 50 51 27 47 48 45 46 7 29 54 28 39 40 4 22 53 21 52 16 20 18 19 43 41 49 10 14 12 13 37 35 32 30 31 2 33 15 25 23 24 1 26 9 6 44 8 3 38 5 17 11 
43 37 2 51 15 1 48 9 6 7 8 54 28 29 3 4 5 53 21 22 16 17 18 19 20 41 42 10 11 12 13 14 35 36 30 31 32 33 34 50 23 24 25 26 27 47 44 45 46 38 39 40 52 49 
44 38 50 17 52 47 11 49 46 29 54 31 32 30 40 22 53 24 25 23 20 18 42 43 41 45 6 14 12 36 37 35 39 3 34 2 33 51 15 16 27 1 26 48 9 10 7 8 28 4 5 21 19 13 
45 39 51 52 16 48 49 10 7 54 28 32 30 31 4 53 21 25 23 24 18 19 43 41 42 6 44 12 13 37 35 36 3 38 2 33 34 15 50 17 1 26 27 9 47 11 8 46 29 5 40 22 20 14 
46 40 52 20 18 49 14 12 54 32 30 34 2 33 53 25 23 27 1 26 43 41 45 6 44 7 8 37 35 39 3 38 4 5 51 15 50 16 17 19 48 9 47 10 11 13 28 29 31 21 22 24 42 36 
47 50 40 22 53 46 29 54 49 14 12 36 37 35 52 20 18 42 43 41 25 23 27 1 26 48 9 32 30 34 2 33 51 15 39 3 38 4 5 21 45 6 44 7 8 28 10 11 13 16 17 19 24 31 
48 51 4 53 21 7 54 28 10 12 13 37 35 36 16 18 19 43 41 42 23 24 1 26 27 9 47 30 31 2 33 34 15 50 3 38 39 5 40 22 6 44 45 8 46 29 11 49 14 17 52 20 25 32 
49 52 53 25 23 54 32 30 12 37 35 39 3 38 18 43 41 45 6 44 1 26 48 9 47 10 11 2 33 51 15 50 16 17 4 5 40 21 22 24 7 8 46 28 29 31 13 14 36 19 20 42 27 34 
50 47 46 29 54 40 22 53 52 20 18 42 43 41 49 14 12 36 37 35 32 30 34 2 33 51 15 25 23 27 1 26 48 9 45 6 44 7 8 28 39 3 38 4 5 21 16 17 19 10 11 13 31 24 
51 48 7 54 28 4 53 21 16 18 19 43 41 42 10 12 13 37 35 36 30 31 2 33 34 15 50 23 24 1 26 27 9 47 6 44 45 8 46 29 3 38 39 5 40 22 17 52 20 11 49 14 32 25 
52 49 54 32 30 53 25 23 18 43 41 45 6 44 12 37 35 39 3 38 2 33 51 15 50 16 17 1 26 48 9 47 10 11 7 8 46 28 29 31 4 5 40 21 22 24 19 20 42 13 14 36 34 27 
53 54 12 37 35 18 43 41 23 1 26 48 9 47 30 2 33 51 15 50 3 38 4 5 40 21 22 6 44 7 8 46 28 29 10 11 49 13 14 36 16 17 52 19 20 42 24 25 27 31 32 34 39 45 
54 53 18 43 41 12 37 35 30 2 33 51 15 50 23 1 26 48 9 47 6 44 7 8 46 28 29 3 38 4 5 40 21 22 16 17 52 19 20 42 10 11 49 13 14 36 31 32 34 24 25 27 45 39 
