55 2
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 
29 33 34 37 38 39 41 42 43 44 25 46 47 48 49 30 50 51 52 2 35 53 54 4 5 40 55 7 8 9 45 11 12 13 14 1 16 17 18 19 3 21 22 23 24 6 26 27 28 10 31 32 15 36 20 
30 34 35 38 39 40 42 43 44 45 46 47 48 49 1 50 51 52 2 3 53 54 4 5 6 55 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 31 32 33 36 37 41 
31 15 36 19 20 41 23 24 25 46 27 28 29 30 50 32 33 34 35 53 37 38 39 40 55 42 43 44 45 11 47 48 49 1 16 51 52 2 3 21 54 4 5 6 26 7 8 9 10 12 13 14 17 18 22 
32 36 37 20 41 42 24 25 46 47 28 29 30 50 51 33 34 35 53 54 38 39 40 55 7 43 44 45 11 12 48 49 1 16 17 52 2 3 21 22 4 5 6 26 27 8 9 10 31 13 14 15 18 19 23 
33 37 38 41 42 43 25 46 47 48 29 30 50 51 52 34 35 53 54 4 39 40 55 7 8 44 45 11 12 13 49 1 16 17 18 2 3 21 22 23 5 6 26 27 28 9 10 31 32 14 15 36 19 20 24 
34 38 39 42 43 44 46 47 48 49 30 50 51 52 2 35 53 54 4 5 40 55 7 8 9 45 11 12 13 14 1 16 17 18 19 3 21 22 23 24 6 26 27 28 29 10 31 32 33 15 36 37 20 41 25 
35 39 40 43 44 45 47 48 49 1 50 51 52 2 3 53 54 4 5 6 55 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 36 37 38 41 42 46 
36 20 41 24 25 46 28 29 30 50 32 33 34 35 53 37 38 39 40 55 42 43 44 45 11 47 48 49 1 16 51 52 2 3 21 54 4 5 6 26 7 8 9 10 31 12 13 14 15 17 18 19 22 23 27 
37 41 42 25 46 47 29 30 50 51 33 34 35 53 54 38 39 40 55 7 43 44 45 11 12 48 49 1 16 17 52 2 3 21 22 4 5 6 26 27 8 9 10 31 32 13 14 15 36 18 19 20 23 24 28 
38 42 43 46 47 48 30 50 51 52 34 35 53 54 4 39 40 55 7 8 44 45 11 12 13 49 1 16 17 18 2 3 21 22 23 5 6 26 27 28 9 10 31 32 33 14 15 36 37 19 20 41 24 25 29 
39 43 44 47 48 49 50 51 52 2 35 53 54 4 5 40 55 7 8 9 45 11 12 13 14 1 16 17 18 19 3 21 22 23 24 6 26 27 28 29 10 31 32 33 34 15 36 37 38 20 41 42 25 46 30 
40 44 45 48 49 1 51 52 2 3 53 54 4 5 6 55 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 41 42 43 46 47 50 
41 25 46 29 30 50 33 34 35 53 37 38 39 40 55 42 43 44 45 11 47 48 49 1 16 51 52 2 3 21 54 4 5 6 26 7 8 9 10 31 12 13 14 15 36 17 18 19 20 22 23 24 27 28 32 
42 46 47 30 50 51 34 35 53 54 38 39 40 55 7 43 44 45 11 12 48 49 1 16 17 52 2 3 21 22 4 5 6 26 27 8 9 10 31 32 13 14 15 36 37 18 19 20 41 23 24 25 28 29 33 
43 47 48 50 51 52 35 53 54 4 39 40 55 7 8 44 45 11 12 13 49 1 16 17 18 2 3 21 22 23 5 6 26 27 28 9 10 31 32 33 14 15 36 37 38 19 20 41 42 24 25 46 29 30 34 
44 48 49 51 52 2 53 54 4 5 40 55 7 8 9 45 11 12 13 14 1 16 17 18 19 3 21 22 23 24 6 26 27 28 29 10 31 32 33 34 15 36 37 38 39 20 41 42 43 25 46 47 30 50 35 
45 49 1 52 2 3 54 4 5 6 55 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 46 47 48 50 51 53 
46 30 50 34 35 53 38 39 40 55 42 43 44 45 11 47 48 49 1 16 51 52 2 3 21 54 4 5 6 26 7 8 9 10 31 12 13 14 15 36 17 18 19 20 41 22 23 24 25 27 28 29 32 33 37 
47 50 51 35 53 54 39 40 55 7 43 44 45 11 12 48 49 1 16 17 52 2 3 21 22 4 5 6 26 27 8 9 10 31 32 13 14 15 36 37 18 19 20 41 42 23 24 25 46 28 29 30 33 34 38 
48 51 52 53 54 4 40 55 7 8 44 45 11 12 13 49 1 16 17 18 2 3 21 22 23 5 6 26 27 28 9 10 31 32 33 14 15 36 37 38 19 20 41 42 43 24 25 46 47 29 30 50 34 35 39 
49 52 2 54 4 5 55 7 8 9 45 11 12 13 14 1 16 17 18 19 3 21 22 23 24 6 26 27 28 29 10 31 32 33 34 15 36 37 38 39 20 41 42 43 44 25 46 47 48 30 50 51 35 53 40 
50 35 53 39 40 55 43 44 45 11 47 48 49 1 16 51 52 2 3 21 54 4 5 6 26 7 8 9 10 31 12 13 14 15 36 17 18 19 20 41 22 23 24 25 46 27 28 29 30 32 33 34 37 38 42 
51 53 54 40 55 7 44 45 11 12 48 49 1 16 17 52 2 3 21 22 4 5 6 26 27 8 9 10 31 32 13 14 15 36 37 18 19 20 41 42 23 24 25 46 47 28 29 30 50 33 34 35 38 39 43 
52 54 4 55 7 8 45 11 12 13 49 1 16 17 18 2 3 21 22 23 5 6 26 27 28 9 10 31 32 33 14 15 36 37 38 19 20 41 42 43 24 25 46 47 48 29 30 50 51 34 35 53 39 40 44 
53 40 55 44 45 11 48 49 1 16 51 52 2 3 21 54 4 5 6 26 7 8 9 10 31 12 13 14 15 36 17 18 19 20 41 22 23 24 25 46 27 28 29 30 50 32 33 34 35 37 38 39 42 43 47 
54 55 7 45 11 12 49 1 16 17 52 2 3 21 22 4 5 6 26 27 8 9 10 31 32 13 14 15 36 37 18 19 20 41 42 23 24 25 46 47 28 29 30 50 51 33 34 35 53 38 39 40 43 44 48 
55 45 11 49 1 16 52 2 3 21 54 4 5 6 26 7 8 9 10 31 12 13 14 15 36 17 18 19 20 41 22 23 24 25 46 27 28 29 30 50 32 33 34 35 53 37 38 39 40 42 43 44 47 48 51 
