66 4
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 
45 48 50 51 53 54 55 56 57 58 59 60 61 62 1 63 64 2 65 3 4 66 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 46 47 49 52 
46 43 36 52 33 49 41 42 58 38 39 55 47 48 63 44 45 61 53 54 66 50 51 65 59 60 10 56 57 7 64 2 16 62 1 13 5 6 22 3 4 19 11 12 28 8 9 25 17 18 34 14 15 31 23 24 40 20 21 37 29 30 26 27 35 32 
47 44 52 53 49 50 42 58 59 39 55 56 48 63 64 45 61 62 54 66 5 51 65 3 60 10 11 57 7 8 2 16 17 1 13 14 6 22 23 4 19 20 12 28 29 9 25 26 18 34 35 15 31 32 24 40 41 21 37 38 30 46 27 43 36 33 
48 45 53 54 50 51 58 59 60 55 56 57 63 64 2 61 62 1 66 5 6 65 3 4 10 11 12 7 8 9 16 17 18 13 14 15 22 23 24 19 20 21 28 29 30 25 26 27 34 35 36 31 32 33 40 41 42 37 38 39 46 47 43 44 52 49 
49 52 39 55 42 58 44 45 61 47 48 63 50 51 65 53 54 66 56 57 7 59 60 10 62 1 13 64 2 16 3 4 19 5 6 22 8 9 25 11 12 28 14 15 31 17 18 34 20 21 37 23 24 40 26 27 43 29 30 46 32 33 35 36 38 41 
50 53 55 56 58 59 45 61 62 48 63 64 51 65 3 54 66 5 57 7 8 60 10 11 1 13 14 2 16 17 4 19 20 6 22 23 9 25 26 12 28 29 15 31 32 18 34 35 21 37 38 24 40 41 27 43 44 30 46 47 33 49 36 52 39 42 
51 54 56 57 59 60 61 62 1 63 64 2 65 3 4 66 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 52 53 55 58 
52 49 42 58 39 55 47 48 63 44 45 61 53 54 66 50 51 65 59 60 10 56 57 7 64 2 16 62 1 13 5 6 22 3 4 19 11 12 28 8 9 25 17 18 34 14 15 31 23 24 40 20 21 37 29 30 46 26 27 43 35 36 32 33 41 38 
53 50 58 59 55 56 48 63 64 45 61 62 54 66 5 51 65 3 60 10 11 57 7 8 2 16 17 1 13 14 6 22 23 4 19 20 12 28 29 9 25 26 18 34 35 15 31 32 24 40 41 21 37 38 30 46 47 27 43 44 36 52 33 49 42 39 
54 51 59 60 56 57 63 64 2 61 62 1 66 5 6 65 3 4 10 11 12 7 8 9 16 17 18 13 14 15 22 23 24 19 20 21 28 29 30 25 26 27 34 35 36 31 32 33 40 41 42 37 38 39 46 47 48 43 44 45 52 53 49 50 58 55 
55 58 45 61 48 63 50 51 65 53 54 66 56 57 7 59 60 10 62 1 13 64 2 16 3 4 19 5 6 22 8 9 25 11 12 28 14 15 31 17 18 34 20 21 37 23 24 40 26 27 43 29 30 46 32 33 49 35 36 52 38 39 41 42 44 47 
