102 1
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 
16 13 22 23 19 20 28 29 30 25 26 27 34 35 36 31 32 33 40 41 42 37 38 39 46 47 48 43 44 45 52 53 54 49 50 51 58 59 60 55 56 57 64 65 66 61 62 63 70 71 72 67 68 69 76 77 78 73 74 75 82 83 84 79 80 81 88 89 90 85 86 87 94 95 96 91 92 93 2 99 100 1 97 98 5 6 102 3 4 101 10 11 12 7 8 9 17 18 14 15 24 21 
17 21 23 24 27 7 29 30 10 33 13 14 35 36 16 39 19 20 41 42 22 45 25 26 47 48 28 51 31 32 53 54 34 57 37 38 59 60 40 63 43 44 65 66 46 69 49 50 71 72 52 75 55 56 77 78 58 81 61 62 83 84 64 87 67 68 89 90 70 93 73 74 95 96 76 98 79 80 99 100 82 101 85 86 6 102 88 9 91 92 11 12 94 15 1 97 18 2 3 4 5 8 
18 8 24 5 14 15 30 10 11 20 21 3 36 16 17 26 27 7 42 22 23 32 33 13 48 28 29 38 39 19 54 34 35 44 45 25 60 40 41 50 51 31 66 46 47 56 57 37 72 52 53 62 63 43 78 58 59 68 69 49 84 64 65 74 75 55 90 70 71 80 81 61 96 76 77 86 87 67 100 82 83 92 93 73 102 88 89 97 98 79 12 94 95 4 101 85 2 99 9 91 6 1 
19 22 25 26 28 29 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 1 97 98 2 99 100 3 4 101 5 6 102 7 8 9 10 11 12 13 14 15 16 17 18 20 21 23 24 27 30 
20 30 26 27 36 16 32 33 13 42 22 23 38 39 19 48 28 29 44 45 25 54 34 35 50 51 31 60 40 41 56 57 37 66 46 47 62 63 43 72 52 53 68 69 49 78 58 59 74 75 55 84 64 65 80 81 61 90 70 71 86 87 67 96 76 77 92 93 73 100 82 83 97 98 79 102 88 89 4 101 85 12 94 95 8 9 91 18 2 99 14 15 1 24 5 6 21 3 10 11 7 17 
21 17 27 7 23 24 33 13 14 29 30 10 39 19 20 35 36 16 45 25 26 41 42 22 51 31 32 47 48 28 57 37 38 53 54 34 63 43 44 59 60 40 69 49 50 65 66 46 75 55 56 71 72 52 81 61 62 77 78 58 87 67 68 83 84 64 93 73 74 89 90 70 98 79 80 95 96 76 101 85 86 99 100 82 9 91 92 6 102 88 15 1 97 11 12 94 3 4 18 2 8 5 
22 19 28 29 25 26 34 35 36 31 32 33 40 41 42 37 38 39 46 47 48 43 44 45 52 53 54 49 50 51 58 59 60 55 56 57 64 65 66 61 62 63 70 71 72 67 68 69 76 77 78 73 74 75 82 83 84 79 80 81 88 89 90 85 86 87 94 95 96 91 92 93 2 99 100 1 97 98 5 6 102 3 4 101 10 11 12 7 8 9 16 17 18 13 14 15 23 24 20 21 30 27 
23 27 29 30 33 13 35 36 16 39 19 20 41 42 22 45 25 26 47 48 28 51 31 32 53 54 34 57 37 38 59 60 40 63 43 44 65 66 46 69 49 50 71 72 52 75 55 56 77 78 58 81 61 62 83 84 64 87 67 68 89 90 70 93 73 74 95 96 76 98 79 80 99 100 82 101 85 86 6 102 88 9 91 92 11 12 94 15 1 97 17 18 2 21 3 4 24 5 7 8 10 14 
24 14 30 10 20 21 36 16 17 26 27 7 42 22 23 32 33 13 48 28 29 38 39 19 54 34 35 44 45 25 60 40 41 50 51 31 66 46 47 56 57 37 72 52 53 62 63 43 78 58 59 68 69 49 84 64 65 74 75 55 90 70 71 80 81 61 96 76 77 86 87 67 100 82 83 92 93 73 102 88 89 97 98 79 12 94 95 4 101 85 18 2 99 8 9 91 5 6 15 1 11 3 
25 28 31 32 34 35 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 1 97 98 2 99 100 3 4 101 5 6 102 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 26 27 29 30 33 36 
