102 1
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 
36 26 42 22 32 33 48 28 29 38 39 19 54 34 35 44 45 25 60 40 41 50 51 31 66 46 47 56 57 37 72 52 53 62 63 43 78 58 59 68 69 49 84 64 65 74 75 55 90 70 71 80 81 61 96 76 77 86 87 67 100 82 83 92 93 73 102 88 89 97 98 79 12 94 95 4 101 85 18 2 99 8 9 91 24 5 6 14 15 1 30 10 11 20 21 3 16 17 27 7 23 13 
37 40 43 44 46 47 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 1 97 98 2 99 100 3 4 101 5 6 102 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 38 39 41 42 45 48 
38 48 44 45 54 34 50 51 31 60 40 41 56 57 37 66 46 47 62 63 43 72 52 53 68 69 49 78 58 59 74 75 55 84 64 65 80 81 61 90 70 71 86 87 67 96 76 77 92 93 73 100 82 83 97 98 79 102 88 89 4 101 85 12 94 95 8 9 91 18 2 99 14 15 1 24 5 6 20 21 3 30 10 11 26 27 7 36 16 17 32 33 13 42 22 23 39 19 28 29 25 35 
39 35 45 25 41 42 51 31 32 47 48 28 57 37 38 53 54 34 63 43 44 59 60 40 69 49 50 65 66 46 75 55 56 71 72 52 81 61 62 77 78 58 87 67 68 83 84 64 93 73 74 89 90 70 98 79 80 95 96 76 101 85 86 99 100 82 9 91 92 6 102 88 15 1 97 11 12 94 21 3 4 17 18 2 27 7 8 23 24 5 33 13 14 29 30 10 19 20 36 16 26 22 
40 37 46 47 43 44 52 53 54 49 50 51 58 59 60 55 56 57 64 65 66 61 62 63 70 71 72 67 68 69 76 77 78 73 74 75 82 83 84 79 80 81 88 89 90 85 86 87 94 95 96 91 92 93 2 99 100 1 97 98 5 6 102 3 4 101 10 11 12 7 8 9 16 17 18 13 14 15 22 23 24 19 20 21 28 29 30 25 26 27 34 35 36 31 32 33 41 42 38 39 48 45 
41 45 47 48 51 31 53 54 34 57 37 38 59 60 40 63 43 44 65 66 46 69 49 50 71 72 52 75 55 56 77 78 58 81 61 62 83 84 64 87 67 68 89 90 70 93 73 74 95 96 76 98 79 80 99 100 82 101 85 86 6 102 88 9 91 92 11 12 94 15 1 97 17 18 2 21 3 4 23 24 5 27 7 8 29 30 10 33 13 14 35 36 16 39 19 20 42 22 25 26 28 32 
42 32 48 28 38 39 54 34 35 44 45 25 60 40 41 50 51 31 66 46 47 56 57 37 72 52 53 62 63 43 78 58 59 68 69 49 84 64 65 74 75 55 90 70 71 80 81 61 96 76 77 86 87 67 100 82 83 92 93 73 102 88 89 97 98 79 12 94 95 4 101 85 18 2 99 8 9 91 24 5 6 14 15 1 30 10 11 20 21 3 36 16 17 26 27 7 22 23 33 13 29 19 
43 46 49 50 52 53 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 1 97 98 2 99 100 3 4 101 5 6 102 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 44 45 47 48 51 54 
44 54 50 51 60 40 56 57 37 66 46 47 62 63 43 72 52 53 68 69 49 78 58 59 74 75 55 84 64 65 80 81 61 90 70 71 86 87 67 96 76 77 92 93 73 100 82 83 97 98 79 102 88 89 4 101 85 12 94 95 8 9 91 18 2 99 14 15 1 24 5 6 20 21 3 30 10 11 26 27 7 36 16 17 32 33 13 42 22 23 38 39 19 48 28 29 45 25 34 35 31 41 
45 41 51 31 47 48 57 37 38 53 54 34 63 43 44 59 60 40 69 49 50 65 66 46 75 55 56 71 72 52 81 61 62 77 78 58 87 67 68 83 84 64 93 73 74 89 90 70 98 79 80 95 96 76 101 85 86 99 100 82 9 91 92 6 102 88 15 1 97 11 12 94 21 3 4 17 18 2 27 7 8 23 24 5 33 13 14 29 30 10 39 19 20 35 36 16 25 26 42 22 32 28 
46 43 52 53 49 50 58 59 60 55 56 57 64 65 66 61 62 63 70 71 72 67 68 69 76 77 78 73 74 75 82 83 84 79 80 81 88 89 90 85 86 87 94 95 96 91 92 93 2 99 100 1 97 98 5 6 102 3 4 101 10 11 12 7 8 9 16 17 18 13 14 15 22 23 24 19 20 21 28 29 30 25 26 27 34 35 36 31 32 33 40 41 42 37 38 39 47 48 44 45 54 51 
47 51 53 54 57 37 59 60 40 63 43 44 65 66 46 69 49 50 71 72 52 75 55 56 77 78 58 81 61 62 83 84 64 87 67 68 89 90 70 93 73 74 95 96 76 98 79 80 99 100 82 101 85 86 6 102 88 9 91 92 11 12 94 15 1 97 17 18 2 21 3 4 23 24 5 27 7 8 29 30 10 33 13 14 35 36 16 39 19 20 41 42 22 45 25 26 48 28 31 32 34 38 
48 38 54 34 44 45 60 40 41 50 51 31 66 46 47 56 57 37 72 52 53 62 63 43 78 58 59 68 69 49 84 64 65 74 75 55 90 70 71 80 81 61 96 76 77 86 87 67 100 82 83 92 93 73 102 88 89 97 98 79 12 94 95 4 101 85 18 2 99 8 9 91 24 5 6 14 15 1 30 10 11 20 21 3 36 16 17 26 27 7 42 22 23 32 33 13 28 29 39 19 35 25 
49 52 55 56 58 59 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 1 97 98 2 99 100 3 4 101 5 6 102 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 50 51 53 54 57 60 
50 60 56 57 66 46 62 63 43 72 52 53 68 69 49 78 58 59 74 75 55 84 64 65 80 81 61 90 70 71 86 87 67 96 76 77 92 93 73 100 82 83 97 98 79 102 88 89 4 101 85 12 94 95 8 9 91 18 2 99 14 15 1 24 5 6 20 21 3 30 10 11 26 27 7 36 16 17 32 33 13 42 22 23 38 39 19 48 28 29 44 45 25 54 34 35 51 31 40 41 37 47 
51 47 57 37 53 54 63 43 44 59 60 40 69 49 50 65 66 46 75 55 56 71 72 52 81 61 62 77 78 58 87 67 68 83 84 64 93 73 74 89 90 70 98 79 80 95 96 76 101 85 86 99 100 82 9 91 92 6 102 88 15 1 97 11 12 94 21 3 4 17 18 2 27 7 8 23 24 5 33 13 14 29 30 10 39 19 20 35 36 16 45 25 26 41 42 22 31 32 48 28 38 34 
52 49 58 59 55 56 64 65 66 61 62 63 70 71 72 67 68 69 76 77 78 73 74 75 82 83 84 79 80 81 88 89 90 85 86 87 94 95 96 91 92 93 2 99 100 1 97 98 5 6 102 3 4 101 10 11 12 7 8 9 16 17 18 13 14 15 22 23 24 19 20 21 28 29 30 25 26 27 34 35 36 31 32 33 40 41 42 37 38 39 46 47 48 43 44 45 53 54 50 51 60 57 
53 57 59 60 63 43 65 66 46 69 49 50 71 72 52 75 55 56 77 78 58 81 61 62 83 84 64 87 67 68 89 90 70 93 73 74 95 96 76 98 79 80 99 100 82 101 85 86 6 102 88 9 91 92 11 12 94 15 1 97 17 18 2 21 3 4 23 24 5 27 7 8 29 30 10 33 13 14 35 36 16 39 19 20 41 42 22 45 25 26 47 48 28 51 31 32 54 34 37 38 40 44 
54 44 60 40 50 51 66 46 47 56 57 37 72 52 53 62 63 43 78 58 59 68 69 49 84 64 65 74 75 55 90 70 71 80 81 61 96 76 77 86 87 67 100 82 83 92 93 73 102 88 89 97 98 79 12 94 95 4 101 85 18 2 99 8 9 91 24 5 6 14 15 1 30 10 11 20 21 3 36 16 17 26 27 7 42 22 23 32 33 13 48 28 29 38 39 19 34 35 45 25 41 31 
55 58 61 62 64 65 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 1 97 98 2 99 100 3 4 101 5 6 102 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 56 57 59 60 63 66 
56 66 62 63 72 52 68 69 49 78 58 59 74 75 55 84 64 65 80 81 61 90 70 71 86 87 67 96 76 77 92 93 73 100 82 83 97 98 79 102 88 89 4 101 85 12 94 95 8 9 91 18 2 99 14 15 1 24 5 6 20 21 3 30 10 11 26 27 7 36 16 17 32 33 13 42 22 23 38 39 19 48 28 29 44 45 25 54 34 35 50 51 31 60 40 41 57 37 46 47 43 53 
57 53 63 43 59 60 69 49 50 65 66 46 75 55 56 71 72 52 81 61 62 77 78 58 87 67 68 83 84 64 93 73 74 89 90 70 98 79 80 95 96 76 101 85 86 99 100 82 9 91 92 6 102 88 15 1 97 11 12 94 21 3 4 17 18 2 27 7 8 23 24 5 33 13 14 29 30 10 39 19 20 35 36 16 45 25 26 41 42 22 51 31 32 47 48 28 37 38 54 34 44 40 
58 55 64 65 61 62 70 71 72 67 68 69 76 77 78 73 74 75 82 83 84 79 80 81 88 89 90 85 86 87 94 95 96 91 92 93 2 99 100 1 97 98 5 6 102 3 4 101 10 11 12 7 8 9 16 17 18 13 14 15 22 23 24 19 20 21 28 29 30 25 26 27 34 35 36 31 32 33 40 41 42 37 38 39 46 47 48 43 44 45 52 53 54 49 50 51 59 60 56 57 66 63 
59 63 65 66 69 49 71 72 52 75 55 56 77 78 58 81 61 62 83 84 64 87 67 68 89 90 70 93 73 74 95 96 76 98 79 80 99 100 82 101 85 86 6 102 88 9 91 92 11 12 94 15 1 97 17 18 2 21 3 4 23 24 5 27 7 8 29 30 10 33 13 14 35 36 16 39 19 20 41 42 22 45 25 26 47 48 28 51 31 32 53 54 34 57 37 38 60 40 43 44 46 50 
60 50 66 46 56 57 72 52 53 62 63 43 78 58 59 68 69 49 84 64 65 74 75 55 90 70 71 80 81 61 96 76 77 86 87 67 100 82 83 92 93 73 102 88 89 97 98 79 12 94 95 4 101 85 18 2 99 8 9 91 24 5 6 14 15 1 30 10 11 20 21 3 36 16 17 26 27 7 42 22 23 32 33 13 48 28 29 38 39 19 54 34 35 44 45 25 40 41 51 31 47 37 
61 64 67 68 70 71 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 1 97 98 2 99 100 3 4 101 5 6 102 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 62 63 65 66 69 72 
62 72 68 69 78 58 74 75 55 84 64 65 80 81 61 90 70 71 86 87 67 96 76 77 92 93 73 100 82 83 97 98 79 102 88 89 4 101 85 12 94 95 8 9 91 18 2 99 14 15 1 24 5 6 20 21 3 30 10 11 26 27 7 36 16 17 32 33 13 42 22 23 38 39 19 48 28 29 44 45 25 54 34 35 50 51 31 60 40 41 56 57 37 66 46 47 63 43 52 53 49 59 
63 59 69 49 65 66 75 55 56 71 72 52 81 61 62 77 78 58 87 67 68 83 84 64 93 73 74 89 90 70 98 79 80 95 96 76 101 85 86 99 100 82 9 91 92 6 102 88 15 1 97 11 12 94 21 3 4 17 18 2 27 7 8 23 24 5 33 13 14 29 30 10 39 19 20 35 36 16 45 25 26 41 42 22 51 31 32 47 48 28 57 37 38 53 54 34 43 44 60 40 50 46 
64 61 70 71 67 68 76 77 78 73 74 75 82 83 84 79 80 81 88 89 90 85 86 87 94 95 96 91 92 93 2 99 100 1 97 98 5 6 102 3 4 101 10 11 12 7 8 9 16 17 18 13 14 15 22 23 24 19 20 21 28 29 30 25 26 27 34 35 36 31 32 33 40 41 42 37 38 39 46 47 48 43 44 45 52 53 54 49 50 51 58 59 60 55 56 57 65 66 62 63 72 69 
65 69 71 72 75 55 77 78 58 81 61 62 83 84 64 87 67 68 89 90 70 93 73 74 95 96 76 98 79 80 99 100 82 101 85 86 6 102 88 9 91 92 11 12 94 15 1 97 17 18 2 21 3 4 23 24 5 27 7 8 29 30 10 33 13 14 35 36 16 39 19 20 41 42 22 45 25 26 47 48 28 51 31 32 53 54 34 57 37 38 59 60 40 63 43 44 66 46 49 50 52 56 
