45 2
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 
36 25 21 42 31 10 34 29 30 45 15 39 17 18 41 37 38 19 23 24 44 26 27 8 43 5 28 32 33 13 35 1 16 11 12 40 2 22 3 4 20 6 7 9 14 
37 26 42 43 32 34 35 30 45 11 39 40 18 41 3 38 19 20 24 44 6 27 8 9 5 28 29 33 13 14 1 16 17 12 36 2 22 23 4 25 21 7 31 10 15 
38 27 43 5 33 35 1 45 11 12 40 2 41 3 4 19 20 21 44 6 7 8 9 10 28 29 30 13 14 15 16 17 18 36 37 22 23 24 25 26 42 31 32 34 39 
39 42 24 44 34 30 45 32 33 13 18 41 37 38 19 40 2 22 26 27 8 43 5 28 6 7 31 35 1 16 11 12 36 14 15 3 4 25 20 21 23 9 10 29 17 
40 43 44 6 35 45 11 33 13 14 41 3 38 19 20 2 22 23 27 8 9 5 28 29 7 31 32 1 16 17 12 36 37 15 39 4 25 26 21 42 24 10 34 30 18 
41 44 27 8 45 33 13 35 1 16 38 19 40 2 22 3 4 25 43 5 28 6 7 31 9 10 34 11 12 36 14 15 39 17 18 20 21 42 23 24 26 29 30 32 37 
42 34 30 45 39 18 41 37 38 19 24 44 26 27 8 43 5 28 32 33 13 35 1 16 11 12 36 40 2 22 3 4 25 20 21 6 7 31 9 10 29 14 15 17 23 
43 35 45 11 40 41 3 38 19 20 44 6 27 8 9 5 28 29 33 13 14 1 16 17 12 36 37 2 22 23 4 25 26 21 42 7 31 32 10 34 30 15 39 18 24 
44 45 33 13 41 38 19 40 2 22 27 8 43 5 28 6 7 31 35 1 16 11 12 36 14 15 39 3 4 25 20 21 42 23 24 9 10 34 29 30 32 17 18 37 26 
45 41 38 19 44 27 8 43 5 28 33 13 35 1 16 11 12 36 40 2 22 3 4 25 20 21 42 6 7 31 9 10 34 29 30 14 15 39 17 18 37 23 24 26 32 
