104 12
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 
57 85 51 58 65 79 38 93 52 59 66 73 32 87 46 100 60 67 74 81 40 95 54 104 68 75 82 89 48 102 62 13 76 83 90 97 56 7 70 21 84 91 98 103 64 15 78 29 92 99 3 9 72 23 86 37 1 4 10 17 80 31 94 45 5 11 18 25 88 39 101 53 12 19 26 33 96 47 6 61 20 27 34 41 2 55 14 69 28 35 42 49 8 63 22 77 36 43 50 16 71 30 44 24 
58 38 52 57 66 32 85 46 51 60 65 74 79 40 93 54 59 68 73 82 87 48 100 62 67 76 81 90 95 56 104 70 75 84 89 98 102 64 13 78 83 92 97 3 7 72 21 86 91 1 103 10 15 80 29 94 99 5 9 18 23 88 37 101 4 12 17 26 31 96 45 6 11 20 25 34 39 2 53 14 19 28 33 42 47 8 61 22 27 36 41 50 55 16 69 30 35 44 49 63 24 77 43 71 
59 39 65 44 67 45 72 47 50 73 52 75 78 53 80 55 58 81 60 83 86 61 88 63 66 89 68 91 94 69 96 71 74 97 76 99 101 77 2 79 82 103 84 4 6 85 8 87 90 9 92 11 14 93 16 95 98 17 1 19 22 100 24 102 3 25 5 27 30 104 32 7 10 33 12 35 38 13 40 15 18 41 20 43 46 21 48 23 26 49 28 51 54 29 56 31 34 57 36 62 37 64 42 70 
60 96 66 43 68 101 15 2 49 74 51 76 21 6 23 8 57 82 59 84 29 14 31 16 65 90 67 92 37 22 39 24 73 98 75 1 45 30 47 32 81 3 83 5 53 38 55 40 89 10 91 12 61 46 63 48 97 18 99 20 69 54 71 56 103 26 4 28 77 62 79 64 9 34 11 36 85 70 87 72 17 42 19 44 93 78 95 80 25 50 27 52 100 86 102 88 33 58 35 104 94 7 41 13 
61 74 55 62 69 68 41 82 56 63 70 77 35 76 49 90 64 71 78 85 43 84 57 98 72 79 86 93 51 92 65 3 80 87 94 100 59 1 73 10 88 95 101 104 67 5 81 18 96 102 6 13 75 12 89 26 2 7 14 21 83 20 97 34 8 15 22 29 91 28 103 42 16 23 30 37 99 36 9 50 24 31 38 45 4 44 17 58 32 39 46 53 11 52 25 66 40 47 54 19 60 33 48 27 
62 41 56 61 70 35 74 49 55 64 69 78 68 43 82 57 63 72 77 86 76 51 90 65 71 80 85 94 84 59 98 73 79 88 93 101 92 67 3 81 87 96 100 6 1 75 10 89 95 2 104 14 5 83 18 97 102 8 13 22 12 91 26 103 7 16 21 30 20 99 34 9 15 24 29 38 28 4 42 17 23 32 37 46 36 11 50 25 31 40 45 54 44 19 58 33 39 48 53 52 27 66 47 60 
63 28 69 48 71 34 75 36 54 77 56 79 81 42 83 44 62 85 64 87 89 50 91 52 70 93 72 95 97 58 99 60 78 100 80 102 103 66 4 68 86 104 88 7 9 74 11 76 94 13 96 15 17 82 19 84 101 21 2 23 25 90 27 92 6 29 8 31 33 98 35 1 14 37 16 39 41 3 43 5 22 45 24 47 49 10 51 12 30 53 32 55 57 18 59 20 38 61 40 65 26 67 46 73 
64 99 70 47 72 103 5 4 53 78 55 80 10 9 12 11 61 86 63 88 18 17 20 19 69 94 71 96 26 25 28 27 77 101 79 2 34 33 36 35 85 6 87 8 42 41 44 43 93 14 95 16 50 49 52 51 100 22 102 24 58 57 60 59 104 30 7 32 66 65 68 67 13 38 15 40 74 73 76 75 21 46 23 48 82 81 84 83 29 54 31 56 90 89 92 91 37 62 39 98 97 1 45 3 
65 45 59 50 73 39 78 53 44 67 58 81 72 47 86 61 52 75 66 89 80 55 94 69 60 83 74 97 88 63 101 77 68 91 82 103 96 71 6 85 76 99 90 9 2 79 14 93 84 4 98 17 8 87 22 100 92 11 3 25 16 95 30 104 1 19 10 33 24 102 38 13 5 27 18 41 32 7 46 21 12 35 26 49 40 15 54 29 20 43 34 57 48 23 62 37 28 51 42 56 31 70 36 64 
66 101 60 49 74 96 21 6 43 68 57 82 15 2 29 14 51 76 65 90 23 8 37 22 59 84 73 98 31 16 45 30 67 92 81 3 39 24 53 38 75 1 89 10 47 32 61 46 83 5 97 18 55 40 69 54 91 12 103 26 63 48 77 62 99 20 9 34 71 56 85 70 4 28 17 42 79 64 93 78 11 36 25 50 87 72 100 86 19 44 33 58 95 80 104 94 27 52 41 102 88 13 35 7 
67 102 73 36 75 104 8 7 42 81 44 83 14 13 16 15 50 89 52 91 22 21 24 23 58 97 60 99 30 29 32 31 66 103 68 4 38 37 40 39 74 9 76 11 46 45 48 47 82 17 84 19 54 53 56 55 90 25 92 27 62 61 64 63 98 33 1 35 70 69 72 71 3 41 5 43 78 77 80 79 10 49 12 51 86 85 88 87 18 57 20 59 94 93 96 95 26 65 28 101 100 2 34 6 
68 56 74 35 76 62 55 64 41 82 43 84 61 70 63 72 49 90 51 92 69 78 71 80 57 98 59 1 77 86 79 88 65 3 67 5 85 94 87 96 73 10 75 12 93 101 95 2 81 18 83 20 100 6 102 8 89 26 91 28 104 14 7 16 97 34 99 36 13 22 15 24 103 42 4 44 21 30 23 32 9 50 11 52 29 38 31 40 17 58 19 60 37 46 39 48 25 66 27 45 54 47 33 53 
69 34 63 54 77 28 81 42 48 71 62 85 75 36 89 50 56 79 70 93 83 44 97 58 64 87 78 100 91 52 103 66 72 95 86 104 99 60 9 74 80 102 94 13 4 68 17 82 88 7 101 21 11 76 25 90 96 15 6 29 19 84 33 98 2 23 14 37 27 92 41 3 8 31 22 45 35 1 49 10 16 39 30 53 43 5 57 18 24 47 38 61 51 12 65 26 32 55 46 59 20 73 40 67 
70 103 64 53 78 99 10 9 47 72 61 86 5 4 18 17 55 80 69 94 12 11 26 25 63 88 77 101 20 19 34 33 71 96 85 6 28 27 42 41 79 2 93 14 36 35 50 49 87 8 100 22 44 43 58 57 95 16 104 30 52 51 66 65 102 24 13 38 60 59 74 73 7 32 21 46 68 67 82 81 15 40 29 54 76 75 90 89 23 48 37 62 84 83 98 97 31 56 45 92 91 3 39 1 
71 92 77 40 79 98 11 1 46 85 48 87 17 3 19 5 54 93 56 95 25 10 27 12 62 100 64 102 33 18 35 20 70 104 72 7 41 26 43 28 78 13 80 15 49 34 51 36 86 21 88 23 57 42 59 44 94 29 96 31 65 50 67 52 101 37 2 39 73 58 75 60 6 45 8 47 81 66 83 68 14 53 16 55 89 74 91 76 22 61 24 63 97 82 99 84 30 69 32 103 90 4 38 9 
72 59 78 39 80 65 44 67 45 86 47 88 50 73 52 75 53 94 55 96 58 81 60 83 61 101 63 2 66 89 68 91 69 6 71 8 74 97 76 99 77 14 79 16 82 103 84 4 85 22 87 24 90 9 92 11 93 30 95 32 98 17 1 19 100 38 102 40 3 25 5 27 104 46 7 48 10 33 12 35 13 54 15 56 18 41 20 43 21 62 23 64 26 49 28 51 29 70 31 34 57 36 37 42 
73 104 67 42 81 102 14 13 36 75 50 89 8 7 22 21 44 83 58 97 16 15 30 29 52 91 66 103 24 23 38 37 60 99 74 9 32 31 46 45 68 4 82 17 40 39 54 53 76 11 90 25 48 47 62 61 84 19 98 33 56 55 70 69 92 27 3 41 64 63 78 77 1 35 10 49 72 71 86 85 5 43 18 57 80 79 94 93 12 51 26 65 88 87 101 100 20 59 34 96 95 6 28 2 
74 62 68 41 82 56 61 70 35 76 49 90 55 64 69 78 43 84 57 98 63 72 77 86 51 92 65 3 71 80 85 94 59 1 73 10 79 88 93 101 67 5 81 18 87 96 100 6 75 12 89 26 95 2 104 14 83 20 97 34 102 8 13 22 91 28 103 42 7 16 21 30 99 36 9 50 15 24 29 38 4 44 17 58 23 32 37 46 11 52 25 66 31 40 45 54 19 60 33 39 48 53 27 47 
75 63 81 28 83 69 48 71 34 89 36 91 54 77 56 79 42 97 44 99 62 85 64 87 50 103 52 4 70 93 72 95 58 9 60 11 78 100 80 102 66 17 68 19 86 104 88 7 74 25 76 27 94 13 96 15 82 33 84 35 101 21 2 23 90 41 92 43 6 29 8 31 98 49 1 51 14 37 16 39 3 57 5 59 22 45 24 47 10 65 12 67 30 53 32 55 18 73 20 38 61 40 26 46 
76 16 82 27 84 22 95 24 33 90 35 92 100 30 102 32 41 98 43 1 104 38 7 40 49 3 51 5 13 46 15 48 57 10 59 12 21 54 23 56 65 18 67 20 29 62 31 64 73 26 75 28 37 70 39 72 81 34 83 36 45 78 47 80 89 42 91 44 53 86 55 88 97 50 99 52 61 94 63 96 103 58 4 60 69 101 71 2 9 66 11 68 77 6 79 8 17 74 19 85 14 87 25 93 
77 98 71 46 85 92 17 3 40 79 54 93 11 1 25 10 48 87 62 100 19 5 33 18 56 95 70 104 27 12 41 26 64 102 78 13 35 20 49 34 72 7 86 21 43 28 57 42 80 15 94 29 51 36 65 50 88 23 101 37 59 44 73 58 96 31 6 45 67 52 81 66 2 39 14 53 75 60 89 74 8 47 22 61 83 68 97 82 16 55 30 69 91 76 103 90 24 63 38 99 84 9 32 4 
78 65 72 45 86 59 50 73 39 80 53 94 44 67 58 81 47 88 61 101 52 75 66 89 55 96 69 6 60 83 74 97 63 2 77 14 68 91 82 103 71 8 85 22 76 99 90 9 79 16 93 30 84 4 98 17 87 24 100 38 92 11 3 25 95 32 104 46 1 19 10 33 102 40 13 54 5 27 18 41 7 48 21 62 12 35 26 49 15 56 29 70 20 43 34 57 23 64 37 28 51 42 31 36 
79 52 85 32 87 58 51 60 38 93 40 95 57 66 59 68 46 100 48 102 65 74 67 76 54 104 56 7 73 82 75 84 62 13 64 15 81 90 83 92 70 21 72 23 89 98 91 1 78 29 80 31 97 3 99 5 86 37 88 39 103 10 4 12 94 45 96 47 9 18 11 20 101 53 2 55 17 26 19 28 6 61 8 63 25 34 27 36 14 69 16 71 33 42 35 44 22 77 24 41 50 43 30 49 
80 19 86 31 88 25 84 27 37 94 39 96 90 33 92 35 45 101 47 2 98 41 1 43 53 6 55 8 3 49 5 51 61 14 63 16 10 57 12 59 69 22 71 24 18 65 20 67 77 30 79 32 26 73 28 75 85 38 87 40 34 81 36 83 93 46 95 48 42 89 44 91 100 54 102 56 50 97 52 99 104 62 7 64 58 103 60 4 13 70 15 72 66 9 68 11 21 78 23 74 17 76 29 82 
81 69 75 34 89 63 54 77 28 83 42 97 48 71 62 85 36 91 50 103 56 79 70 93 44 99 58 9 64 87 78 100 52 4 66 17 72 95 86 104 60 11 74 25 80 102 94 13 68 19 82 33 88 7 101 21 76 27 90 41 96 15 6 29 84 35 98 49 2 23 14 37 92 43 3 57 8 31 22 45 1 51 10 65 16 39 30 53 5 59 18 73 24 47 38 61 12 67 26 32 55 46 20 40 
82 22 76 33 90 16 100 30 27 84 41 98 95 24 104 38 35 92 49 3 102 32 13 46 43 1 57 10 7 40 21 54 51 5 65 18 15 48 29 62 59 12 73 26 23 56 37 70 67 20 81 34 31 64 45 78 75 28 89 42 39 72 53 86 83 36 97 50 47 80 61 94 91 44 103 58 55 88 69 101 99 52 9 66 63 96 77 6 4 60 17 74 71 2 85 14 11 68 25 79 8 93 19 87 
83 23 89 20 91 29 88 31 26 97 28 99 94 37 96 39 34 103 36 4 101 45 2 47 42 9 44 11 6 53 8 55 50 17 52 19 14 61 16 63 58 25 60 27 22 69 24 71 66 33 68 35 30 77 32 79 74 41 76 43 38 85 40 87 82 49 84 51 46 93 48 95 90 57 92 59 54 100 56 102 98 65 1 67 62 104 64 7 3 73 5 75 70 13 72 15 10 81 12 78 21 80 18 86 
84 80 90 19 92 86 31 88 25 98 27 1 37 94 39 96 33 3 35 5 45 101 47 2 41 10 43 12 53 6 55 8 49 18 51 20 61 14 63 16 57 26 59 28 69 22 71 24 65 34 67 36 77 30 79 32 73 42 75 44 85 38 87 40 81 50 83 52 93 46 95 48 89 58 91 60 100 54 102 56 97 66 99 68 104 62 7 64 103 74 4 76 13 70 15 72 9 82 11 21 78 23 17 29 
85 58 79 38 93 52 57 66 32 87 46 100 51 60 65 74 40 95 54 104 59 68 73 82 48 102 62 13 67 76 81 90 56 7 70 21 75 84 89 98 64 15 78 29 83 92 97 3 72 23 86 37 91 1 103 10 80 31 94 45 99 5 9 18 88 39 101 53 4 12 17 26 96 47 6 61 11 20 25 34 2 55 14 69 19 28 33 42 8 63 22 77 27 36 41 50 16 71 30 35 44 49 24 43 
86 25 80 37 94 19 90 33 31 88 45 101 84 27 98 41 39 96 53 6 92 35 3 49 47 2 61 14 1 43 10 57 55 8 69 22 5 51 18 65 63 16 77 30 12 59 26 73 71 24 85 38 20 67 34 81 79 32 93 46 28 75 42 89 87 40 100 54 36 83 50 97 95 48 104 62 44 91 58 103 102 56 13 70 52 99 66 9 7 64 21 78 60 4 74 17 15 72 29 68 11 82 23 76 
87 12 93 24 95 18 91 20 30 100 32 102 97 26 99 28 38 104 40 7 103 34 4 36 46 13 48 15 9 42 11 44 54 21 56 23 17 50 19 52 62 29 64 31 25 58 27 60 70 37 72 39 33 66 35 68 78 45 80 47 41 74 43 76 86 53 88 55 49 82 51 84 94 61 96 63 57 90 59 92 101 69 2 71 65 98 67 1 6 77 8 79 73 3 75 5 14 85 16 81 10 83 22 89 
88 83 94 23 96 89 20 91 29 101 31 2 26 97 28 99 37 6 39 8 34 103 36 4 45 14 47 16 42 9 44 11 53 22 55 24 50 17 52 19 61 30 63 32 58 25 60 27 69 38 71 40 66 33 68 35 77 46 79 48 74 41 76 43 85 54 87 56 82 49 84 51 93 62 95 64 90 57 92 59 100 70 102 72 98 65 1 67 104 78 7 80 3 73 5 75 13 86 15 10 81 12 21 18 
89 29 83 26 97 23 94 37 20 91 34 103 88 31 101 45 28 99 42 9 96 39 6 53 36 4 50 17 2 47 14 61 44 11 58 25 8 55 22 69 52 19 66 33 16 63 30 77 60 27 74 41 24 71 38 85 68 35 82 49 32 79 46 93 76 43 90 57 40 87 54 100 84 51 98 65 48 95 62 104 92 59 3 73 56 102 70 13 1 67 10 81 64 7 78 21 5 75 18 72 15 86 12 80 
90 86 84 25 98 80 37 94 19 92 33 3 31 88 45 101 27 1 41 10 39 96 53 6 35 5 49 18 47 2 61 14 43 12 57 26 55 8 69 22 51 20 65 34 63 16 77 30 59 28 73 42 71 24 85 38 67 36 81 50 79 32 93 46 75 44 89 58 87 40 100 54 83 52 97 66 95 48 104 62 91 60 103 74 102 56 13 70 99 68 9 82 7 64 21 78 4 76 17 15 72 29 11 23 
91 87 97 12 99 93 24 95 18 103 20 4 30 100 32 102 26 9 28 11 38 104 40 7 34 17 36 19 46 13 48 15 42 25 44 27 54 21 56 23 50 33 52 35 62 29 64 31 58 41 60 43 70 37 72 39 66 49 68 51 78 45 80 47 74 57 76 59 86 53 88 55 82 65 84 67 94 61 96 63 90 73 92 75 101 69 2 71 98 81 1 83 6 77 8 79 3 89 5 14 85 16 10 22 
92 40 98 11 1 46 71 48 17 3 19 5 77 54 79 56 25 10 27 12 85 62 87 64 33 18 35 20 93 70 95 72 41 26 43 28 100 78 102 80 49 34 51 36 104 86 7 88 57 42 59 44 13 94 15 96 65 50 67 52 21 101 23 2 73 58 75 60 29 6 31 8 81 66 83 68 37 14 39 16 89 74 91 76 45 22 47 24 97 82 99 84 53 30 55 32 103 90 4 61 38 63 9 69 
93 18 87 30 100 12 97 26 24 95 38 104 91 20 103 34 32 102 46 13 99 28 9 42 40 7 54 21 4 36 17 50 48 15 62 29 11 44 25 58 56 23 70 37 19 52 33 66 64 31 78 45 27 60 41 74 72 39 86 53 35 68 49 82 80 47 94 61 43 76 57 90 88 55 101 69 51 84 65 98 96 63 6 77 59 92 73 3 2 71 14 85 67 1 81 10 8 79 22 75 5 89 16 83 
94 89 88 29 101 83 26 97 23 96 37 6 20 91 34 103 31 2 45 14 28 99 42 9 39 8 53 22 36 4 50 17 47 16 61 30 44 11 58 25 55 24 69 38 52 19 66 33 63 32 77 46 60 27 74 41 71 40 85 54 68 35 82 49 79 48 93 62 76 43 90 57 87 56 100 70 84 51 98 65 95 64 104 78 92 59 3 73 102 72 13 86 1 67 10 81 7 80 21 5 75 18 15 12 
95 76 100 16 102 82 27 84 22 104 24 7 33 90 35 92 30 13 32 15 41 98 43 1 38 21 40 23 49 3 51 5 46 29 48 31 57 10 59 12 54 37 56 39 65 18 67 20 62 45 64 47 73 26 75 28 70 53 72 55 81 34 83 36 78 61 80 63 89 42 91 44 86 69 88 71 97 50 99 52 94 77 96 79 103 58 4 60 101 85 2 87 9 66 11 68 6 93 8 17 74 19 14 25 
96 43 101 15 2 49 60 51 21 6 23 8 66 57 68 59 29 14 31 16 74 65 76 67 37 22 39 24 82 73 84 75 45 30 47 32 90 81 92 83 53 38 55 40 98 89 1 91 61 46 63 48 3 97 5 99 69 54 71 56 10 103 12 4 77 62 79 64 18 9 20 11 85 70 87 72 26 17 28 19 93 78 95 80 34 25 36 27 100 86 102 88 42 33 44 35 104 94 7 50 41 52 13 58 
97 93 91 18 103 87 30 100 12 99 26 9 24 95 38 104 20 4 34 17 32 102 46 13 28 11 42 25 40 7 54 21 36 19 50 33 48 15 62 29 44 27 58 41 56 23 70 37 52 35 66 49 64 31 78 45 60 43 74 57 72 39 86 53 68 51 82 65 80 47 94 61 76 59 90 73 88 55 101 69 84 67 98 81 96 63 6 77 92 75 3 89 2 71 14 85 1 83 10 8 79 22 5 16 
98 46 92 17 3 40 77 54 11 1 25 10 71 48 85 62 19 5 33 18 79 56 93 70 27 12 41 26 87 64 100 78 35 20 49 34 95 72 104 86 43 28 57 42 102 80 13 94 51 36 65 50 7 88 21 101 59 44 73 58 15 96 29 6 67 52 81 66 23 2 37 14 75 60 89 74 31 8 45 22 83 68 97 82 39 16 53 30 91 76 103 90 47 24 61 38 99 84 9 55 32 69 4 63 
99 47 103 5 4 53 64 55 10 9 12 11 70 61 72 63 18 17 20 19 78 69 80 71 26 25 28 27 86 77 88 79 34 33 36 35 94 85 96 87 42 41 44 43 101 93 2 95 50 49 52 51 6 100 8 102 58 57 60 59 14 104 16 7 66 65 68 67 22 13 24 15 74 73 76 75 30 21 32 23 82 81 84 83 38 29 40 31 90 89 92 91 46 37 48 39 98 97 1 54 45 56 3 62 
100 82 95 22 104 76 33 90 16 102 30 13 27 84 41 98 24 7 38 21 35 92 49 3 32 15 46 29 43 1 57 10 40 23 54 37 51 5 65 18 48 31 62 45 59 12 73 26 56 39 70 53 67 20 81 34 64 47 78 61 75 28 89 42 72 55 86 69 83 36 97 50 80 63 94 77 91 44 103 58 88 71 101 85 99 52 9 66 96 79 6 93 4 60 17 74 2 87 14 11 68 25 8 19 
101 49 96 21 6 43 66 57 15 2 29 14 60 51 74 65 23 8 37 22 68 59 82 73 31 16 45 30 76 67 90 81 39 24 53 38 84 75 98 89 47 32 61 46 92 83 3 97 55 40 69 54 1 91 10 103 63 48 77 62 5 99 18 9 71 56 85 70 12 4 26 17 79 64 93 78 20 11 34 25 87 72 100 86 28 19 42 33 95 80 104 94 36 27 50 41 102 88 13 44 35 58 7 52 
102 36 104 8 7 42 67 44 14 13 16 15 73 50 75 52 22 21 24 23 81 58 83 60 30 29 32 31 89 66 91 68 38 37 40 39 97 74 99 76 46 45 48 47 103 82 4 84 54 53 56 55 9 90 11 92 62 61 64 63 17 98 19 1 70 69 72 71 25 3 27 5 78 77 80 79 33 10 35 12 86 85 88 87 41 18 43 20 94 93 96 95 49 26 51 28 101 100 2 57 34 59 6 65 
103 53 99 10 9 47 70 61 5 4 18 17 64 55 78 69 12 11 26 25 72 63 86 77 20 19 34 33 80 71 94 85 28 27 42 41 88 79 101 93 36 35 50 49 96 87 6 100 44 43 58 57 2 95 14 104 52 51 66 65 8 102 22 13 60 59 74 73 16 7 30 21 68 67 82 81 24 15 38 29 76 75 90 89 32 23 46 37 84 83 98 97 40 31 54 45 92 91 3 48 39 62 1 56 
104 42 102 14 13 36 73 50 8 7 22 21 67 44 81 58 16 15 30 29 75 52 89 66 24 23 38 37 83 60 97 74 32 31 46 45 91 68 103 82 40 39 54 53 99 76 9 90 48 47 62 61 4 84 17 98 56 55 70 69 11 92 25 3 64 63 78 77 19 1 33 10 72 71 86 85 27 5 41 18 80 79 94 93 35 12 49 26 88 87 101 100 43 20 57 34 96 95 6 51 28 65 2 59 
