78 5
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 
21 54 26 27 59 60 31 32 33 64 65 66 37 38 39 70 71 72 43 44 45 75 76 2 49 50 51 78 5 6 55 56 57 10 11 12 61 62 63 16 17 18 67 68 69 22 23 24 73 74 1 28 29 30 77 3 4 34 35 36 7 8 9 40 41 42 13 14 15 46 47 48 19 20 52 53 25 58 
22 68 12 28 73 74 17 18 34 63 77 3 23 24 40 69 7 8 29 30 46 1 13 14 35 36 52 4 19 20 41 42 58 9 25 26 47 48 64 15 31 32 53 54 70 21 37 38 59 60 75 27 43 44 65 66 78 33 49 50 71 72 10 39 55 56 76 2 16 45 61 62 5 6 51 67 11 57 
23 67 28 29 57 73 18 34 35 62 63 77 24 40 41 68 69 7 30 46 47 74 1 13 36 52 53 3 4 19 42 58 59 8 9 25 48 64 65 14 15 31 54 70 71 20 21 37 60 75 76 26 27 43 66 78 5 32 33 49 72 10 11 38 39 55 2 16 17 44 45 61 6 22 50 51 12 56 
24 51 29 30 56 57 34 35 36 61 62 63 40 41 42 67 68 69 46 47 48 73 74 1 52 53 54 77 3 4 58 59 60 7 8 9 64 65 66 13 14 15 70 71 72 19 20 21 75 76 2 25 26 27 78 5 6 31 32 33 10 11 12 37 38 39 16 17 18 43 44 45 22 23 49 50 28 55 
25 65 15 31 70 71 20 21 37 60 75 76 26 27 43 66 78 5 32 33 49 72 10 11 38 39 55 2 16 17 44 45 61 6 22 23 50 51 67 12 28 29 56 57 73 18 34 35 62 63 77 24 40 41 68 69 7 30 46 47 74 1 13 36 52 53 3 4 19 42 58 59 8 9 48 64 14 54 
26 64 31 32 54 70 21 37 38 59 60 75 27 43 44 65 66 78 33 49 50 71 72 10 39 55 56 76 2 16 45 61 62 5 6 22 51 67 68 11 12 28 57 73 74 17 18 34 63 77 3 23 24 40 69 7 8 29 30 46 1 13 14 35 36 52 4 19 20 41 42 58 9 25 47 48 15 53 
27 48 32 33 53 54 37 38 39 58 59 60 43 44 45 64 65 66 49 50 51 70 71 72 55 56 57 75 76 2 61 62 63 78 5 6 67 68 69 10 11 12 73 74 1 16 17 18 77 3 4 22 23 24 7 8 9 28 29 30 13 14 15 34 35 36 19 20 21 40 41 42 25 26 46 47 31 52 
28 62 18 34 67 68 23 24 40 57 73 74 29 30 46 63 77 3 35 36 52 69 7 8 41 42 58 1 13 14 47 48 64 4 19 20 53 54 70 9 25 26 59 60 75 15 31 32 65 66 78 21 37 38 71 72 10 27 43 44 76 2 16 33 49 50 5 6 22 39 55 56 11 12 45 61 17 51 
29 61 34 35 51 67 24 40 41 56 57 73 30 46 47 62 63 77 36 52 53 68 69 7 42 58 59 74 1 13 48 64 65 3 4 19 54 70 71 8 9 25 60 75 76 14 15 31 66 78 5 20 21 37 72 10 11 26 27 43 2 16 17 32 33 49 6 22 23 38 39 55 12 28 44 45 18 50 
30 45 35 36 50 51 40 41 42 55 56 57 46 47 48 61 62 63 52 53 54 67 68 69 58 59 60 73 74 1 64 65 66 77 3 4 70 71 72 7 8 9 75 76 2 13 14 15 78 5 6 19 20 21 10 11 12 25 26 27 16 17 18 31 32 33 22 23 24 37 38 39 28 29 43 44 34 49 
31 59 21 37 64 65 26 27 43 54 70 71 32 33 49 60 75 76 38 39 55 66 78 5 44 45 61 72 10 11 50 51 67 2 16 17 56 57 73 6 22 23 62 63 77 12 28 29 68 69 7 18 34 35 74 1 13 24 40 41 3 4 19 30 46 47 8 9 25 36 52 53 14 15 42 58 20 48 
32 58 37 38 48 64 27 43 44 53 54 70 33 49 50 59 60 75 39 55 56 65 66 78 45 61 62 71 72 10 51 67 68 76 2 16 57 73 74 5 6 22 63 77 3 11 12 28 69 7 8 17 18 34 1 13 14 23 24 40 4 19 20 29 30 46 9 25 26 35 36 52 15 31 41 42 21 47 
33 42 38 39 47 48 43 44 45 52 53 54 49 50 51 58 59 60 55 56 57 64 65 66 61 62 63 70 71 72 67 68 69 75 76 2 73 74 1 78 5 6 77 3 4 10 11 12 7 8 9 16 17 18 13 14 15 22 23 24 19 20 21 28 29 30 25 26 27 34 35 36 31 32 40 41 37 46 
34 56 24 40 61 62 29 30 46 51 67 68 35 36 52 57 73 74 41 42 58 63 77 3 47 48 64 69 7 8 53 54 70 1 13 14 59 60 75 4 19 20 65 66 78 9 25 26 71 72 10 15 31 32 76 2 16 21 37 38 5 6 22 27 43 44 11 12 28 33 49 50 17 18 39 55 23 45 
35 55 40 41 45 61 30 46 47 50 51 67 36 52 53 56 57 73 42 58 59 62 63 77 48 64 65 68 69 7 54 70 71 74 1 13 60 75 76 3 4 19 66 78 5 8 9 25 72 10 11 14 15 31 2 16 17 20 21 37 6 22 23 26 27 43 12 28 29 32 33 49 18 34 38 39 24 44 
36 39 41 42 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 1 75 76 2 77 3 4 78 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 37 38 40 43 
37 53 27 43 58 59 32 33 49 48 64 65 38 39 55 54 70 71 44 45 61 60 75 76 50 51 67 66 78 5 56 57 73 72 10 11 62 63 77 2 16 17 68 69 7 6 22 23 74 1 13 12 28 29 3 4 19 18 34 35 8 9 25 24 40 41 14 15 31 30 46 47 20 21 36 52 26 42 
38 52 43 44 42 58 33 49 50 47 48 64 39 55 56 53 54 70 45 61 62 59 60 75 51 67 68 65 66 78 57 73 74 71 72 10 63 77 3 76 2 16 69 7 8 5 6 22 1 13 14 11 12 28 4 19 20 17 18 34 9 25 26 23 24 40 15 31 32 29 30 46 21 37 35 36 27 41 
39 36 44 45 41 42 49 50 51 46 47 48 55 56 57 52 53 54 61 62 63 58 59 60 67 68 69 64 65 66 73 74 1 70 71 72 77 3 4 75 76 2 7 8 9 78 5 6 13 14 15 10 11 12 19 20 21 16 17 18 25 26 27 22 23 24 31 32 33 28 29 30 37 38 34 35 43 40 
40 50 30 46 55 56 35 36 52 45 61 62 41 42 58 51 67 68 47 48 64 57 73 74 53 54 70 63 77 3 59 60 75 69 7 8 65 66 78 1 13 14 71 72 10 4 19 20 76 2 16 9 25 26 5 6 22 15 31 32 11 12 28 21 37 38 17 18 34 27 43 44 23 24 33 49 29 39 
41 49 46 47 39 55 36 52 53 44 45 61 42 58 59 50 51 67 48 64 65 56 57 73 54 70 71 62 63 77 60 75 76 68 69 7 66 78 5 74 1 13 72 10 11 3 4 19 2 16 17 8 9 25 6 22 23 14 15 31 12 28 29 20 21 37 18 34 35 26 27 43 24 40 32 33 30 38 
42 33 47 48 38 39 52 53 54 43 44 45 58 59 60 49 50 51 64 65 66 55 56 57 70 71 72 61 62 63 75 76 2 67 68 69 78 5 6 73 74 1 10 11 12 77 3 4 16 17 18 7 8 9 22 23 24 13 14 15 28 29 30 19 20 21 34 35 36 25 26 27 40 41 31 32 46 37 
43 47 33 49 52 53 38 39 55 42 58 59 44 45 61 48 64 65 50 51 67 54 70 71 56 57 73 60 75 76 62 63 77 66 78 5 68 69 7 72 10 11 74 1 13 2 16 17 3 4 19 6 22 23 8 9 25 12 28 29 14 15 31 18 34 35 20 21 37 24 40 41 26 27 30 46 32 36 
44 46 49 50 36 52 39 55 56 41 42 58 45 61 62 47 48 64 51 67 68 53 54 70 57 73 74 59 60 75 63 77 3 65 66 78 69 7 8 71 72 10 1 13 14 76 2 16 4 19 20 5 6 22 9 25 26 11 12 28 15 31 32 17 18 34 21 37 38 23 24 40 27 43 29 30 33 35 
45 30 50 51 35 36 55 56 57 40 41 42 61 62 63 46 47 48 67 68 69 52 53 54 73 74 1 58 59 60 77 3 4 64 65 66 7 8 9 70 71 72 13 14 15 75 76 2 19 20 21 78 5 6 25 26 27 10 11 12 31 32 33 16 17 18 37 38 39 22 23 24 43 44 28 29 49 34 
46 44 36 52 49 50 41 42 58 39 55 56 47 48 64 45 61 62 53 54 70 51 67 68 59 60 75 57 73 74 65 66 78 63 77 3 71 72 10 69 7 8 76 2 16 1 13 14 5 6 22 4 19 20 11 12 28 9 25 26 17 18 34 15 31 32 23 24 40 21 37 38 29 30 27 43 35 33 
47 43 52 53 33 49 42 58 59 38 39 55 48 64 65 44 45 61 54 70 71 50 51 67 60 75 76 56 57 73 66 78 5 62 63 77 72 10 11 68 69 7 2 16 17 74 1 13 6 22 23 3 4 19 12 28 29 8 9 25 18 34 35 14 15 31 24 40 41 20 21 37 30 46 26 27 36 32 
48 27 53 54 32 33 58 59 60 37 38 39 64 65 66 43 44 45 70 71 72 49 50 51 75 76 2 55 56 57 78 5 6 61 62 63 10 11 12 67 68 69 16 17 18 73 74 1 22 23 24 77 3 4 28 29 30 7 8 9 34 35 36 13 14 15 40 41 42 19 20 21 46 47 25 26 52 31 
49 41 39 55 46 47 44 45 61 36 52 53 50 51 67 42 58 59 56 57 73 48 64 65 62 63 77 54 70 71 68 69 7 60 75 76 74 1 13 66 78 5 3 4 19 72 10 11 8 9 25 2 16 17 14 15 31 6 22 23 20 21 37 12 28 29 26 27 43 18 34 35 32 33 24 40 38 30 
50 40 55 56 30 46 45 61 62 35 36 52 51 67 68 41 42 58 57 73 74 47 48 64 63 77 3 53 54 70 69 7 8 59 60 75 1 13 14 65 66 78 4 19 20 71 72 10 9 25 26 76 2 16 15 31 32 5 6 22 21 37 38 11 12 28 27 43 44 17 18 34 33 49 23 24 39 29 
51 24 56 57 29 30 61 62 63 34 35 36 67 68 69 40 41 42 73 74 1 46 47 48 77 3 4 52 53 54 7 8 9 58 59 60 13 14 15 64 65 66 19 20 21 70 71 72 25 26 27 75 76 2 31 32 33 78 5 6 37 38 39 10 11 12 43 44 45 16 17 18 49 50 22 23 55 28 
52 38 42 58 43 44 47 48 64 33 49 50 53 54 70 39 55 56 59 60 75 45 61 62 65 66 78 51 67 68 71 72 10 57 73 74 76 2 16 63 77 3 5 6 22 69 7 8 11 12 28 1 13 14 17 18 34 4 19 20 23 24 40 9 25 26 29 30 46 15 31 32 35 36 21 37 41 27 
53 37 58 59 27 43 48 64 65 32 33 49 54 70 71 38 39 55 60 75 76 44 45 61 66 78 5 50 51 67 72 10 11 56 57 73 2 16 17 62 63 77 6 22 23 68 69 7 12 28 29 74 1 13 18 34 35 3 4 19 24 40 41 8 9 25 30 46 47 14 15 31 36 52 20 21 42 26 
54 21 59 60 26 27 64 65 66 31 32 33 70 71 72 37 38 39 75 76 2 43 44 45 78 5 6 49 50 51 10 11 12 55 56 57 16 17 18 61 62 63 22 23 24 67 68 69 28 29 30 73 74 1 34 35 36 77 3 4 40 41 42 7 8 9 46 47 48 13 14 15 52 53 19 20 58 25 
55 35 45 61 40 41 50 51 67 30 46 47 56 57 73 36 52 53 62 63 77 42 58 59 68 69 7 48 64 65 74 1 13 54 70 71 3 4 19 60 75 76 8 9 25 66 78 5 14 15 31 72 10 11 20 21 37 2 16 17 26 27 43 6 22 23 32 33 49 12 28 29 38 39 18 34 44 24 
56 34 61 62 24 40 51 67 68 29 30 46 57 73 74 35 36 52 63 77 3 41 42 58 69 7 8 47 48 64 1 13 14 53 54 70 4 19 20 59 60 75 9 25 26 65 66 78 15 31 32 71 72 10 21 37 38 76 2 16 27 43 44 5 6 22 33 49 50 11 12 28 39 55 17 18 45 23 
57 18 62 63 23 24 67 68 69 28 29 30 73 74 1 34 35 36 77 3 4 40 41 42 7 8 9 46 47 48 13 14 15 52 53 54 19 20 21 58 59 60 25 26 27 64 65 66 31 32 33 70 71 72 37 38 39 75 76 2 43 44 45 78 5 6 49 50 51 10 11 12 55 56 16 17 61 22 
58 32 48 64 37 38 53 54 70 27 43 44 59 60 75 33 49 50 65 66 78 39 55 56 71 72 10 45 61 62 76 2 16 51 67 68 5 6 22 57 73 74 11 12 28 63 77 3 17 18 34 69 7 8 23 24 40 1 13 14 29 30 46 4 19 20 35 36 52 9 25 26 41 42 15 31 47 21 
