100 7
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 
16 33 26 29 30 22 51 52 42 43 46 47 48 37 38 3 69 70 60 61 62 2 65 66 67 1 56 57 9 10 83 84 6 76 77 78 7 8 80 81 82 4 5 73 74 19 20 21 93 94 14 15 88 89 90 17 18 91 92 11 12 13 86 87 34 35 36 99 27 28 96 97 31 32 98 23 24 25 95 53 54 55 44 45 100 49 50 39 40 41 71 72 63 64 68 58 59 85 79 75 
17 99 27 30 31 95 55 51 43 44 47 48 49 41 37 72 3 69 61 62 63 65 66 67 68 59 1 56 85 9 10 83 76 77 78 79 8 80 81 82 7 75 4 5 73 94 19 20 21 93 15 88 89 90 14 18 91 92 16 87 11 12 13 86 33 34 35 36 28 96 97 26 32 98 29 22 23 24 25 52 53 54 45 100 42 50 46 38 39 40 70 71 64 60 2 57 58 84 6 74 
18 36 28 31 32 25 54 55 44 45 48 49 50 40 41 71 72 3 62 63 64 66 67 68 2 58 59 1 84 85 9 10 77 78 79 6 80 81 82 7 8 74 75 4 5 93 94 19 20 21 88 89 90 14 15 91 92 16 17 86 87 11 12 13 99 33 34 35 96 97 26 27 98 29 30 95 22 23 24 51 52 53 100 42 43 46 47 37 38 39 69 70 60 61 65 56 57 83 76 73 
19 42 11 33 34 29 60 61 22 23 51 52 53 46 47 6 76 77 37 38 39 3 69 70 71 2 65 66 14 15 88 89 1 56 57 58 9 10 83 84 85 7 8 80 81 26 27 28 96 97 4 5 73 74 75 20 21 93 94 16 17 18 91 92 43 44 45 100 12 13 86 87 35 36 99 30 31 32 98 62 63 64 24 25 95 54 55 48 49 50 78 79 40 41 72 67 68 90 59 82 
20 100 12 34 35 98 64 60 23 24 52 53 54 50 46 79 6 76 38 39 40 69 70 71 72 68 2 65 90 14 15 88 56 57 58 59 10 83 84 85 9 82 7 8 80 97 26 27 28 96 5 73 74 75 4 21 93 94 19 92 16 17 18 91 42 43 44 45 13 86 87 11 36 99 33 29 30 31 32 61 62 63 25 95 22 55 51 47 48 49 77 78 41 37 3 66 67 89 1 81 
21 45 13 35 36 32 63 64 24 25 53 54 55 49 50 78 79 6 39 40 41 70 71 72 3 67 68 2 89 90 14 15 57 58 59 1 83 84 85 9 10 81 82 7 8 96 97 26 27 28 73 74 75 4 5 93 94 19 20 91 92 16 17 18 100 42 43 44 86 87 11 12 99 33 34 98 29 30 31 60 61 62 95 22 23 51 52 46 47 48 76 77 37 38 69 65 66 88 56 80 
22 16 33 37 38 26 29 30 51 52 1 56 57 42 43 46 47 48 3 69 70 4 5 73 74 60 61 62 2 65 66 67 9 10 83 84 11 12 13 86 87 6 76 77 78 7 8 80 81 82 19 20 21 93 94 23 24 25 95 14 15 88 89 90 17 18 91 92 34 35 36 99 39 40 41 27 28 96 97 31 32 98 53 54 55 58 59 44 45 100 49 50 71 72 75 63 64 68 85 79 
23 92 34 38 39 97 98 29 52 53 56 57 58 100 42 50 46 47 69 70 71 5 73 74 75 64 60 61 68 2 65 66 10 83 84 85 12 13 86 87 11 79 6 76 77 82 7 8 80 81 20 21 93 94 19 24 25 95 22 90 14 15 88 89 16 17 18 91 35 36 99 33 40 41 37 26 27 28 96 30 31 32 54 55 51 59 1 43 44 45 48 49 72 3 4 62 63 67 9 78 
24 91 35 39 40 96 32 98 53 54 57 58 59 45 100 49 50 46 70 71 72 73 74 75 4 63 64 60 67 68 2 65 83 84 85 9 13 86 87 11 12 78 79 6 76 81 82 7 8 80 21 93 94 19 20 25 95 22 23 89 90 14 15 88 92 16 17 18 36 99 33 34 41 37 38 97 26 27 28 29 30 31 55 51 52 1 56 42 43 44 47 48 3 69 5 61 62 66 10 77 
25 18 36 40 41 28 31 32 54 55 58 59 1 44 45 48 49 50 71 72 3 74 75 4 5 62 63 64 66 67 68 2 84 85 9 10 86 87 11 12 13 77 78 79 6 80 81 82 7 8 93 94 19 20 21 95 22 23 24 88 89 90 14 15 91 92 16 17 99 33 34 35 37 38 39 96 97 26 27 98 29 30 51 52 53 56 57 100 42 43 46 47 69 70 73 60 61 65 83 76 
