100 7
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 
61 75 47 76 77 85 87 11 65 66 15 88 89 94 19 95 22 23 8 80 81 27 28 96 97 99 33 34 41 37 38 39 17 18 91 92 43 44 45 100 42 55 51 52 53 59 1 56 57 58 30 31 32 98 29 62 63 64 60 72 3 69 70 71 4 5 73 74 48 49 50 46 78 79 6 9 10 83 84 12 13 86 67 68 2 90 14 20 21 93 24 25 82 7 26 35 36 40 16 54 
62 74 48 77 78 84 86 87 66 67 88 89 90 93 94 25 95 22 80 81 82 28 96 97 26 36 99 33 40 41 37 38 18 91 92 16 44 45 100 42 43 54 55 51 52 58 59 1 56 57 31 32 98 29 30 63 64 60 61 71 72 3 69 70 75 4 5 73 49 50 46 47 79 6 76 85 9 10 83 11 12 13 68 2 65 14 15 19 20 21 23 24 7 8 27 34 35 39 17 53 
63 73 49 78 79 83 13 86 67 68 89 90 14 21 93 24 25 95 81 82 7 96 97 26 27 35 36 99 39 40 41 37 91 92 16 17 45 100 42 43 44 53 54 55 51 57 58 59 1 56 32 98 29 30 31 64 60 61 62 70 71 72 3 69 74 75 4 5 50 46 47 48 6 76 77 84 85 9 10 87 11 12 2 65 66 15 88 94 19 20 22 23 8 80 28 33 34 38 18 52 
64 5 50 79 6 10 12 13 68 2 90 14 15 20 21 23 24 25 82 7 8 97 26 27 28 34 35 36 38 39 40 41 92 16 17 18 100 42 43 44 45 52 53 54 55 56 57 58 59 1 98 29 30 31 32 60 61 62 63 69 70 71 72 3 73 74 75 4 46 47 48 49 76 77 78 83 84 85 9 86 87 11 65 66 67 88 89 93 94 19 95 22 80 81 96 99 33 37 91 51 
65 72 76 8 80 59 85 9 15 88 17 18 91 75 4 94 19 20 27 28 96 30 31 32 98 87 11 12 99 33 34 35 43 44 45 100 47 48 49 50 46 95 22 23 24 55 51 52 53 54 61 62 63 64 60 66 67 68 2 41 37 38 39 40 3 69 70 71 77 78 79 6 81 82 7 1 56 57 58 10 83 84 89 90 14 92 16 5 73 74 21 93 97 26 29 13 86 36 42 25 
66 71 77 80 81 58 84 85 88 89 18 91 92 74 75 93 94 19 28 96 97 31 32 98 29 86 87 11 36 99 33 34 44 45 100 42 48 49 50 46 47 25 95 22 23 54 55 51 52 53 62 63 64 60 61 67 68 2 65 40 41 37 38 39 72 3 69 70 78 79 6 76 82 7 8 59 1 56 57 9 10 83 90 14 15 16 17 4 5 73 20 21 26 27 30 12 13 35 43 24 
67 70 78 81 82 57 83 84 89 90 91 92 16 73 74 21 93 94 96 97 26 32 98 29 30 13 86 87 35 36 99 33 45 100 42 43 49 50 46 47 48 24 25 95 22 53 54 55 51 52 63 64 60 61 62 68 2 65 66 39 40 41 37 38 71 72 3 69 79 6 76 77 7 8 80 58 59 1 56 85 9 10 14 15 88 17 18 75 4 5 19 20 27 28 31 11 12 34 44 23 
68 69 79 82 7 56 10 83 90 14 92 16 17 5 73 20 21 93 97 26 27 98 29 30 31 12 13 86 34 35 36 99 100 42 43 44 50 46 47 48 49 23 24 25 95 52 53 54 55 51 64 60 61 62 63 2 65 66 67 38 39 40 41 37 70 71 72 3 6 76 77 78 8 80 81 57 58 59 1 84 85 9 15 88 89 18 91 74 75 4 94 19 28 96 32 87 11 33 45 22 
69 79 56 10 83 68 90 14 5 73 20 21 93 82 7 97 26 27 12 13 86 34 35 36 99 92 16 17 100 42 43 44 23 24 25 95 52 53 54 55 51 98 29 30 31 64 60 61 62 63 38 39 40 41 37 70 71 72 3 50 46 47 48 49 6 76 77 78 57 58 59 1 84 85 9 2 65 66 67 15 88 89 74 75 4 94 19 8 80 81 28 96 87 11 33 18 91 45 22 32 
70 78 57 83 84 67 89 90 73 74 21 93 94 81 82 96 97 26 13 86 87 35 36 99 33 91 92 16 45 100 42 43 24 25 95 22 53 54 55 51 52 32 98 29 30 63 64 60 61 62 39 40 41 37 38 71 72 3 69 49 50 46 47 48 79 6 76 77 58 59 1 56 85 9 10 68 2 65 66 14 15 88 75 4 5 19 20 7 8 80 27 28 11 12 34 17 18 44 23 31 
71 77 58 84 85 66 88 89 74 75 93 94 19 80 81 28 96 97 86 87 11 36 99 33 34 18 91 92 44 45 100 42 25 95 22 23 54 55 51 52 53 31 32 98 29 62 63 64 60 61 40 41 37 38 39 72 3 69 70 48 49 50 46 47 78 79 6 76 59 1 56 57 9 10 83 67 68 2 65 90 14 15 4 5 73 20 21 82 7 8 26 27 12 13 35 16 17 43 24 30 
72 76 59 85 9 65 15 88 75 4 94 19 20 8 80 27 28 96 87 11 12 99 33 34 35 17 18 91 43 44 45 100 95 22 23 24 55 51 52 53 54 30 31 32 98 61 62 63 64 60 41 37 38 39 40 3 69 70 71 47 48 49 50 46 77 78 79 6 1 56 57 58 10 83 84 66 67 68 2 89 90 14 5 73 74 21 93 81 82 7 97 26 13 86 36 92 16 42 25 29 
73 49 83 13 86 63 67 68 21 93 24 25 95 78 79 81 82 7 35 36 99 39 40 41 37 89 90 14 91 92 16 17 53 54 55 51 57 58 59 1 56 96 97 26 27 32 98 29 30 31 70 71 72 3 69 74 75 4 5 45 100 42 43 44 50 46 47 48 84 85 9 10 87 11 12 64 60 61 62 2 65 66 94 19 20 22 23 6 76 77 8 80 33 34 38 15 88 18 52 28 
74 48 84 86 87 62 66 67 93 94 25 95 22 77 78 80 81 82 36 99 33 40 41 37 38 88 89 90 18 91 92 16 54 55 51 52 58 59 1 56 57 28 96 97 26 31 32 98 29 30 71 72 3 69 70 75 4 5 73 44 45 100 42 43 49 50 46 47 85 9 10 83 11 12 13 63 64 60 61 68 2 65 19 20 21 23 24 79 6 76 7 8 34 35 39 14 15 17 53 27 
75 47 85 87 11 61 65 66 94 19 95 22 23 76 77 8 80 81 99 33 34 41 37 38 39 15 88 89 17 18 91 92 55 51 52 53 59 1 56 57 58 27 28 96 97 30 31 32 98 29 72 3 69 70 71 4 5 73 74 43 44 45 100 42 48 49 50 46 9 10 83 84 12 13 86 62 63 64 60 67 68 2 20 21 93 24 25 78 79 6 82 7 35 36 40 90 14 16 54 26 
76 59 65 15 88 72 75 4 8 80 27 28 96 85 9 87 11 12 17 18 91 43 44 45 100 94 19 20 95 22 23 24 30 31 32 98 61 62 63 64 60 99 33 34 35 41 37 38 39 40 47 48 49 50 46 77 78 79 6 55 51 52 53 54 1 56 57 58 66 67 68 2 89 90 14 3 69 70 71 5 73 74 81 82 7 97 26 10 83 84 13 86 92 16 42 21 93 25 29 36 
77 58 66 88 89 71 74 75 80 81 28 96 97 84 85 86 87 11 18 91 92 44 45 100 42 93 94 19 25 95 22 23 31 32 98 29 62 63 64 60 61 36 99 33 34 40 41 37 38 39 48 49 50 46 47 78 79 6 76 54 55 51 52 53 59 1 56 57 67 68 2 65 90 14 15 72 3 69 70 4 5 73 82 7 8 26 27 9 10 83 12 13 16 17 43 20 21 24 30 35 
78 57 67 89 90 70 73 74 81 82 96 97 26 83 84 13 86 87 91 92 16 45 100 42 43 21 93 94 24 25 95 22 32 98 29 30 63 64 60 61 62 35 36 99 33 39 40 41 37 38 49 50 46 47 48 79 6 76 77 53 54 55 51 52 58 59 1 56 68 2 65 66 14 15 88 71 72 3 69 75 4 5 7 8 80 27 28 85 9 10 11 12 17 18 44 19 20 23 31 34 
79 56 68 90 14 69 5 73 82 7 97 26 27 10 83 12 13 86 92 16 17 100 42 43 44 20 21 93 23 24 25 95 98 29 30 31 64 60 61 62 63 34 35 36 99 38 39 40 41 37 50 46 47 48 49 6 76 77 78 52 53 54 55 51 57 58 59 1 2 65 66 67 15 88 89 70 71 72 3 74 75 4 8 80 81 28 96 84 85 9 87 11 18 91 45 94 19 22 32 33 
80 54 88 18 91 40 71 72 28 96 31 32 98 58 59 84 85 9 44 45 100 48 49 50 46 74 75 4 93 94 19 20 62 63 64 60 66 67 68 2 65 86 87 11 12 36 99 33 34 35 77 78 79 6 76 81 82 7 8 25 95 22 23 24 55 51 52 53 89 90 14 15 92 16 17 41 37 38 39 3 69 70 97 26 27 29 30 1 56 57 10 83 42 43 47 5 73 21 61 13 
81 53 89 91 92 39 70 71 96 97 32 98 29 57 58 83 84 85 45 100 42 49 50 46 47 73 74 75 21 93 94 19 63 64 60 61 67 68 2 65 66 13 86 87 11 35 36 99 33 34 78 79 6 76 77 82 7 8 80 24 25 95 22 23 54 55 51 52 90 14 15 88 16 17 18 40 41 37 38 72 3 69 26 27 28 30 31 59 1 56 9 10 43 44 48 4 5 20 62 12 
82 52 90 92 16 38 69 70 97 26 98 29 30 56 57 10 83 84 100 42 43 50 46 47 48 5 73 74 20 21 93 94 64 60 61 62 68 2 65 66 67 12 13 86 87 34 35 36 99 33 79 6 76 77 78 7 8 80 81 23 24 25 95 22 53 54 55 51 14 15 88 89 17 18 91 39 40 41 37 71 72 3 27 28 96 31 32 58 59 1 85 9 44 45 49 75 4 19 63 11 
83 63 73 21 93 49 78 79 13 86 35 36 99 67 68 89 90 14 24 25 95 53 54 55 51 81 82 7 96 97 26 27 39 40 41 37 70 71 72 3 69 91 92 16 17 45 100 42 43 44 57 58 59 1 56 84 85 9 10 32 98 29 30 31 64 60 61 62 74 75 4 5 94 19 20 50 46 47 48 6 76 77 87 11 12 33 34 2 65 66 15 88 22 23 52 8 80 28 38 18 
84 62 74 93 94 48 77 78 86 87 36 99 33 66 67 88 89 90 25 95 22 54 55 51 52 80 81 82 28 96 97 26 40 41 37 38 71 72 3 69 70 18 91 92 16 44 45 100 42 43 58 59 1 56 57 85 9 10 83 31 32 98 29 30 63 64 60 61 75 4 5 73 19 20 21 49 50 46 47 79 6 76 11 12 13 34 35 68 2 65 14 15 23 24 53 7 8 27 39 17 
85 61 75 94 19 47 76 77 87 11 99 33 34 65 66 15 88 89 95 22 23 55 51 52 53 8 80 81 27 28 96 97 41 37 38 39 72 3 69 70 71 17 18 91 92 43 44 45 100 42 59 1 56 57 58 9 10 83 84 30 31 32 98 29 62 63 64 60 4 5 73 74 20 21 93 48 49 50 46 78 79 6 12 13 86 35 36 67 68 2 90 14 24 25 54 82 7 26 40 16 
86 31 93 25 95 44 48 49 36 99 40 41 37 62 63 66 67 68 54 55 51 58 59 1 56 77 78 79 80 81 82 7 71 72 3 69 74 75 4 5 73 88 89 90 14 18 91 92 16 17 84 85 9 10 83 87 11 12 13 28 96 97 26 27 32 98 29 30 94 19 20 21 22 23 24 45 100 42 43 50 46 47 33 34 35 38 39 64 60 61 2 65 52 53 57 6 76 8 70 15 
87 30 94 95 22 43 47 48 99 33 41 37 38 61 62 65 66 67 55 51 52 59 1 56 57 76 77 78 8 80 81 82 72 3 69 70 75 4 5 73 74 15 88 89 90 17 18 91 92 16 85 9 10 83 84 11 12 13 86 27 28 96 97 26 31 32 98 29 19 20 21 93 23 24 25 44 45 100 42 49 50 46 34 35 36 39 40 63 64 60 68 2 53 54 58 79 6 7 71 14 
88 40 80 28 96 54 58 59 18 91 44 45 100 71 72 74 75 4 31 32 98 62 63 64 60 84 85 9 86 87 11 12 48 49 50 46 77 78 79 6 76 93 94 19 20 25 95 22 23 24 66 67 68 2 65 89 90 14 15 36 99 33 34 35 41 37 38 39 81 82 7 8 97 26 27 55 51 52 53 1 56 57 92 16 17 42 43 3 69 70 5 73 29 30 61 10 83 13 47 21 
89 39 81 96 97 53 57 58 91 92 45 100 42 70 71 73 74 75 32 98 29 63 64 60 61 83 84 85 13 86 87 11 49 50 46 47 78 79 6 76 77 21 93 94 19 24 25 95 22 23 67 68 2 65 66 90 14 15 88 35 36 99 33 34 40 41 37 38 82 7 8 80 26 27 28 54 55 51 52 59 1 56 16 17 18 43 44 72 3 69 4 5 30 31 62 9 10 12 48 20 
90 38 82 97 26 52 56 57 92 16 100 42 43 69 70 5 73 74 98 29 30 64 60 61 62 10 83 84 12 13 86 87 50 46 47 48 79 6 76 77 78 20 21 93 94 23 24 25 95 22 68 2 65 66 67 14 15 88 89 34 35 36 99 33 39 40 41 37 7 8 80 81 27 28 96 53 54 55 51 58 59 1 17 18 91 44 45 71 72 3 75 4 31 32 63 85 9 11 49 19 
91 35 96 32 98 24 53 54 45 100 49 50 46 39 40 70 71 72 63 64 60 67 68 2 65 57 58 59 83 84 85 9 78 79 6 76 81 82 7 8 80 73 74 75 4 21 93 94 19 20 89 90 14 15 88 92 16 17 18 13 86 87 11 12 36 99 33 34 97 26 27 28 29 30 31 25 95 22 23 55 51 52 42 43 44 47 48 41 37 38 3 69 61 62 66 1 56 10 77 5 
92 34 97 98 29 23 52 53 100 42 50 46 47 38 39 69 70 71 64 60 61 68 2 65 66 56 57 58 10 83 84 85 79 6 76 77 82 7 8 80 81 5 73 74 75 20 21 93 94 19 90 14 15 88 89 16 17 18 91 12 13 86 87 11 35 36 99 33 26 27 28 96 30 31 32 24 25 95 22 54 55 51 43 44 45 48 49 40 41 37 72 3 62 63 67 59 1 9 78 4 
93 44 86 36 99 31 62 63 25 95 54 55 51 48 49 77 78 79 40 41 37 71 72 3 69 66 67 68 88 89 90 14 58 59 1 56 84 85 9 10 83 80 81 82 7 28 96 97 26 27 74 75 4 5 73 94 19 20 21 18 91 92 16 17 45 100 42 43 87 11 12 13 33 34 35 32 98 29 30 64 60 61 22 23 24 52 53 50 46 47 6 76 38 39 70 2 65 15 57 8 
94 43 87 99 33 30 61 62 95 22 55 51 52 47 48 76 77 78 41 37 38 72 3 69 70 65 66 67 15 88 89 90 59 1 56 57 85 9 10 83 84 8 80 81 82 27 28 96 97 26 75 4 5 73 74 19 20 21 93 17 18 91 92 16 44 45 100 42 11 12 13 86 34 35 36 31 32 98 29 63 64 60 23 24 25 53 54 49 50 46 79 6 39 40 71 68 2 14 58 7 
95 17 99 41 37 27 30 31 55 51 59 1 56 43 44 47 48 49 72 3 69 75 4 5 73 61 62 63 65 66 67 68 85 9 10 83 87 11 12 13 86 76 77 78 79 8 80 81 82 7 94 19 20 21 93 22 23 24 25 15 88 89 90 14 18 91 92 16 33 34 35 36 38 39 40 28 96 97 26 32 98 29 52 53 54 57 58 45 100 42 50 46 70 71 74 64 60 2 84 6 
96 24 91 45 100 35 39 40 32 98 63 64 60 53 54 57 58 59 49 50 46 78 79 6 76 70 71 72 73 74 75 4 67 68 2 65 89 90 14 15 88 83 84 85 9 13 86 87 11 12 81 82 7 8 80 97 26 27 28 21 93 94 19 20 25 95 22 23 92 16 17 18 42 43 44 36 99 33 34 41 37 38 29 30 31 61 62 55 51 52 1 56 47 48 77 3 69 5 66 10 
97 23 92 100 42 34 38 39 98 29 64 60 61 52 53 56 57 58 50 46 47 79 6 76 77 69 70 71 5 73 74 75 68 2 65 66 90 14 15 88 89 10 83 84 85 12 13 86 87 11 82 7 8 80 81 26 27 28 96 20 21 93 94 19 24 25 95 22 16 17 18 91 43 44 45 35 36 99 33 40 41 37 30 31 32 62 63 54 55 51 59 1 48 49 78 72 3 4 67 9 
98 20 100 50 46 12 34 35 64 60 68 2 65 23 24 52 53 54 79 6 76 82 7 8 80 38 39 40 69 70 71 72 90 14 15 88 92 16 17 18 91 56 57 58 59 10 83 84 85 9 97 26 27 28 96 29 30 31 32 5 73 74 75 4 21 93 94 19 42 43 44 45 47 48 49 13 86 87 11 36 99 33 61 62 63 66 67 25 95 22 55 51 77 78 81 41 37 3 89 1 
99 27 95 55 51 17 43 44 41 37 72 3 69 30 31 61 62 63 59 1 56 85 9 10 83 47 48 49 76 77 78 79 75 4 5 73 94 19 20 21 93 65 66 67 68 15 88 89 90 14 87 11 12 13 86 33 34 35 36 8 80 81 82 7 28 96 97 26 22 23 24 25 52 53 54 18 91 92 16 45 100 42 38 39 40 70 71 32 98 29 64 60 57 58 84 50 46 6 74 2 
100 12 98 64 60 20 23 24 50 46 79 6 76 34 35 38 39 40 68 2 65 90 14 15 88 52 53 54 56 57 58 59 82 7 8 80 97 26 27 28 96 69 70 71 72 5 73 74 75 4 92 16 17 18 91 42 43 44 45 10 83 84 85 9 13 86 87 11 29 30 31 32 61 62 63 21 93 94 19 25 95 22 47 48 49 77 78 36 99 33 41 37 66 67 89 55 51 1 81 3 
