88 11
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 
19 79 25 12 27 84 72 86 18 33 20 35 78 88 80 7 26 41 28 43 85 13 2 15 34 49 36 51 6 21 8 23 42 57 44 59 14 29 16 31 50 65 52 67 22 37 24 39 58 73 60 75 30 45 32 47 66 81 68 83 38 53 40 55 74 87 76 4 46 61 48 63 82 9 1 11 54 69 56 71 3 17 5 62 77 64 10 70 
20 64 26 27 28 70 71 72 33 34 35 36 77 78 79 80 41 42 43 44 84 85 86 2 49 50 51 52 88 6 7 8 57 58 59 60 13 14 15 16 65 66 67 68 21 22 23 24 73 74 75 76 29 30 31 32 81 82 83 1 37 38 39 40 87 3 4 5 45 46 47 48 9 10 11 12 53 54 55 56 17 18 19 61 62 63 25 69 
21 87 15 14 29 83 82 9 8 23 22 37 76 4 3 17 16 31 30 45 1 11 10 25 24 39 38 53 5 19 18 33 32 47 46 61 12 27 26 41 40 55 54 69 20 35 34 49 48 63 62 77 28 43 42 57 56 71 70 84 36 51 50 65 64 79 78 88 44 59 58 73 72 86 85 13 52 67 66 81 80 7 6 60 75 74 2 68 
22 74 16 29 30 68 81 82 23 24 37 38 75 76 87 3 31 32 45 46 83 1 9 10 39 40 53 54 4 5 17 18 47 48 61 62 11 12 25 26 55 56 69 70 19 20 33 34 63 64 77 78 27 28 41 42 71 72 84 85 35 36 49 50 79 80 88 6 43 44 57 58 86 2 13 14 51 52 65 66 7 8 21 59 60 73 15 67 
23 75 29 16 31 81 68 83 22 37 24 39 74 87 76 4 30 45 32 47 82 9 1 11 38 53 40 55 3 17 5 19 46 61 48 63 10 25 12 27 54 69 56 71 18 33 20 35 62 77 64 79 26 41 28 43 70 84 72 86 34 49 36 51 78 88 80 7 42 57 44 59 85 13 2 15 50 65 52 67 6 21 8 58 73 60 14 66 
24 60 30 31 32 66 67 68 37 38 39 40 73 74 75 76 45 46 47 48 81 82 83 1 53 54 55 56 87 3 4 5 61 62 63 64 9 10 11 12 69 70 71 72 17 18 19 20 77 78 79 80 25 26 27 28 84 85 86 2 33 34 35 36 88 6 7 8 41 42 43 44 13 14 15 16 49 50 51 52 21 22 23 57 58 59 29 65 
25 84 19 18 33 79 78 88 12 27 26 41 72 86 85 13 20 35 34 49 80 7 6 21 28 43 42 57 2 15 14 29 36 51 50 65 8 23 22 37 44 59 58 73 16 31 30 45 52 67 66 81 24 39 38 53 60 75 74 87 32 47 46 61 68 83 82 9 40 55 54 69 76 4 3 17 48 63 62 77 1 11 10 56 71 70 5 64 
26 70 20 33 34 64 77 78 27 28 41 42 71 72 84 85 35 36 49 50 79 80 88 6 43 44 57 58 86 2 13 14 51 52 65 66 7 8 21 22 59 60 73 74 15 16 29 30 67 68 81 82 23 24 37 38 75 76 87 3 31 32 45 46 83 1 9 10 39 40 53 54 4 5 17 18 47 48 61 62 11 12 25 55 56 69 19 63 
27 71 33 20 35 77 64 79 26 41 28 43 70 84 72 86 34 49 36 51 78 88 80 7 42 57 44 59 85 13 2 15 50 65 52 67 6 21 8 23 58 73 60 75 14 29 16 31 66 81 68 83 22 37 24 39 74 87 76 4 30 45 32 47 82 9 1 11 38 53 40 55 3 17 5 19 46 61 48 63 10 25 12 54 69 56 18 62 
28 56 34 35 36 62 63 64 41 42 43 44 69 70 71 72 49 50 51 52 77 78 79 80 57 58 59 60 84 85 86 2 65 66 67 68 88 6 7 8 73 74 75 76 13 14 15 16 81 82 83 1 21 22 23 24 87 3 4 5 29 30 31 32 9 10 11 12 37 38 39 40 17 18 19 20 45 46 47 48 25 26 27 53 54 55 33 61 
