88 11
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 
74 22 68 81 82 16 29 30 75 76 87 3 23 24 37 38 83 1 9 10 31 32 45 46 4 5 17 18 39 40 53 54 11 12 25 26 47 48 61 62 19 20 33 34 55 56 69 70 27 28 41 42 63 64 77 78 35 36 49 50 71 72 84 85 43 44 57 58 79 80 88 6 51 52 65 66 86 2 13 14 59 60 73 7 8 21 67 15 
75 23 81 68 83 29 16 31 74 87 76 4 22 37 24 39 82 9 1 11 30 45 32 47 3 17 5 19 38 53 40 55 10 25 12 27 46 61 48 63 18 33 20 35 54 69 56 71 26 41 28 43 62 77 64 79 34 49 36 51 70 84 72 86 42 57 44 59 78 88 80 7 50 65 52 67 85 13 2 15 58 73 60 6 21 8 66 14 
76 8 82 83 1 14 15 16 87 3 4 5 21 22 23 24 9 10 11 12 29 30 31 32 17 18 19 20 37 38 39 40 25 26 27 28 45 46 47 48 33 34 35 36 53 54 55 56 41 42 43 44 61 62 63 64 49 50 51 52 69 70 71 72 57 58 59 60 77 78 79 80 65 66 67 68 84 85 86 2 73 74 75 88 6 7 81 13 
77 33 71 70 84 27 26 41 64 79 78 88 20 35 34 49 72 86 85 13 28 43 42 57 80 7 6 21 36 51 50 65 2 15 14 29 44 59 58 73 8 23 22 37 52 67 66 81 16 31 30 45 60 75 74 87 24 39 38 53 68 83 82 9 32 47 46 61 76 4 3 17 40 55 54 69 1 11 10 25 48 63 62 5 19 18 56 12 
78 18 72 84 85 12 25 26 79 80 88 6 19 20 33 34 86 2 13 14 27 28 41 42 7 8 21 22 35 36 49 50 15 16 29 30 43 44 57 58 23 24 37 38 51 52 65 66 31 32 45 46 59 60 73 74 39 40 53 54 67 68 81 82 47 48 61 62 75 76 87 3 55 56 69 70 83 1 9 10 63 64 77 4 5 17 71 11 
79 19 84 72 86 25 12 27 78 88 80 7 18 33 20 35 85 13 2 15 26 41 28 43 6 21 8 23 34 49 36 51 14 29 16 31 42 57 44 59 22 37 24 39 50 65 52 67 30 45 32 47 58 73 60 75 38 53 40 55 66 81 68 83 46 61 48 63 74 87 76 4 54 69 56 71 82 9 1 11 62 77 64 3 17 5 70 10 
80 5 85 86 2 10 11 12 88 6 7 8 17 18 19 20 13 14 15 16 25 26 27 28 21 22 23 24 33 34 35 36 29 30 31 32 41 42 43 44 37 38 39 40 49 50 51 52 45 46 47 48 57 58 59 60 53 54 55 56 65 66 67 68 61 62 63 64 73 74 75 76 69 70 71 72 81 82 83 1 77 78 79 87 3 4 84 9 
81 29 75 74 87 23 22 37 68 83 82 9 16 31 30 45 76 4 3 17 24 39 38 53 1 11 10 25 32 47 46 61 5 19 18 33 40 55 54 69 12 27 26 41 48 63 62 77 20 35 34 49 56 71 70 84 28 43 42 57 64 79 78 88 36 51 50 65 72 86 85 13 44 59 58 73 80 7 6 21 52 67 66 2 15 14 60 8 
82 14 76 87 3 8 21 22 83 1 9 10 15 16 29 30 4 5 17 18 23 24 37 38 11 12 25 26 31 32 45 46 19 20 33 34 39 40 53 54 27 28 41 42 47 48 61 62 35 36 49 50 55 56 69 70 43 44 57 58 63 64 77 78 51 52 65 66 71 72 84 85 59 60 73 74 79 80 88 6 67 68 81 86 2 13 75 7 
83 15 87 76 4 21 8 23 82 9 1 11 14 29 16 31 3 17 5 19 22 37 24 39 10 25 12 27 30 45 32 47 18 33 20 35 38 53 40 55 26 41 28 43 46 61 48 63 34 49 36 51 54 69 56 71 42 57 44 59 62 77 64 79 50 65 52 67 70 84 72 86 58 73 60 75 78 88 80 7 66 81 68 85 13 2 74 6 
84 25 79 78 88 19 18 33 72 86 85 13 12 27 26 41 80 7 6 21 20 35 34 49 2 15 14 29 28 43 42 57 8 23 22 37 36 51 50 65 16 31 30 45 44 59 58 73 24 39 38 53 52 67 66 81 32 47 46 61 60 75 74 87 40 55 54 69 68 83 82 9 48 63 62 77 76 4 3 17 56 71 70 1 11 10 64 5 
85 10 80 88 6 5 17 18 86 2 13 14 11 12 25 26 7 8 21 22 19 20 33 34 15 16 29 30 27 28 41 42 23 24 37 38 35 36 49 50 31 32 45 46 43 44 57 58 39 40 53 54 51 52 65 66 47 48 61 62 59 60 73 74 55 56 69 70 67 68 81 82 63 64 77 78 75 76 87 3 71 72 84 83 1 9 79 4 
86 11 88 80 7 17 5 19 85 13 2 15 10 25 12 27 6 21 8 23 18 33 20 35 14 29 16 31 26 41 28 43 22 37 24 39 34 49 36 51 30 45 32 47 42 57 44 59 38 53 40 55 50 65 52 67 46 61 48 63 58 73 60 75 54 69 56 71 66 81 68 83 62 77 64 79 74 87 76 4 70 84 72 82 9 1 78 3 
87 21 83 82 9 15 14 29 76 4 3 17 8 23 22 37 1 11 10 25 16 31 30 45 5 19 18 33 24 39 38 53 12 27 26 41 32 47 46 61 20 35 34 49 40 55 54 69 28 43 42 57 48 63 62 77 36 51 50 65 56 71 70 84 44 59 58 73 64 79 78 88 52 67 66 81 72 86 85 13 60 75 74 80 7 6 68 2 
88 17 86 85 13 11 10 25 80 7 6 21 5 19 18 33 2 15 14 29 12 27 26 41 8 23 22 37 20 35 34 49 16 31 30 45 28 43 42 57 24 39 38 53 36 51 50 65 32 47 46 61 44 59 58 73 40 55 54 69 52 67 66 81 48 63 62 77 60 75 74 87 56 71 70 84 68 83 82 9 64 79 78 76 4 3 72 1 
