52 1
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 
31 29 28 35 26 33 32 39 30 37 36 43 34 41 40 47 38 45 44 51 42 49 48 3 46 52 1 7 50 5 4 11 2 9 8 15 6 13 12 19 10 17 16 23 14 21 20 27 18 25 24 22 
32 22 35 36 25 26 39 40 29 30 43 44 33 34 47 48 37 38 51 1 41 42 3 4 45 46 7 8 49 50 11 12 52 2 15 16 5 6 19 20 9 10 23 24 13 14 27 28 17 18 31 21 
33 24 30 37 27 28 34 41 31 32 38 45 35 36 42 49 39 40 46 52 43 44 50 5 47 48 2 9 51 1 6 13 3 4 10 17 7 8 14 21 11 12 18 25 15 16 22 29 19 20 26 23 
34 23 37 38 20 27 41 42 24 31 45 46 28 35 49 50 32 39 52 2 36 43 5 6 40 47 9 10 44 51 13 14 48 3 17 18 1 7 21 22 4 11 25 26 8 15 29 30 12 19 33 16 
35 25 32 39 22 29 36 43 26 33 40 47 30 37 44 51 34 41 48 3 38 45 1 7 42 49 4 11 46 52 8 15 50 5 12 19 2 9 16 23 6 13 20 27 10 17 24 31 14 21 28 18 
36 18 39 40 21 22 43 44 25 26 47 48 29 30 51 1 33 34 3 4 37 38 7 8 41 42 11 12 45 46 15 16 49 50 19 20 52 2 23 24 5 6 27 28 9 10 31 32 13 14 35 17 
37 20 34 41 23 24 38 45 27 28 42 49 31 32 46 52 35 36 50 5 39 40 2 9 43 44 6 13 47 48 10 17 51 1 14 21 3 4 18 25 7 8 22 29 11 12 26 33 15 16 30 19 
38 19 41 42 16 23 45 46 20 27 49 50 24 31 52 2 28 35 5 6 32 39 9 10 36 43 13 14 40 47 17 18 44 51 21 22 48 3 25 26 1 7 29 30 4 11 33 34 8 15 37 12 
39 21 36 43 18 25 40 47 22 29 44 51 26 33 48 3 30 37 1 7 34 41 4 11 38 45 8 15 42 49 12 19 46 52 16 23 50 5 20 27 2 9 24 31 6 13 28 35 10 17 32 14 
40 14 43 44 17 18 47 48 21 22 51 1 25 26 3 4 29 30 7 8 33 34 11 12 37 38 15 16 41 42 19 20 45 46 23 24 49 50 27 28 52 2 31 32 5 6 35 36 9 10 39 13 
41 16 38 45 19 20 42 49 23 24 46 52 27 28 50 5 31 32 2 9 35 36 6 13 39 40 10 17 43 44 14 21 47 48 18 25 51 1 22 29 3 4 26 33 7 8 30 37 11 12 34 15 
42 15 45 46 12 19 49 50 16 23 52 2 20 27 5 6 24 31 9 10 28 35 13 14 32 39 17 18 36 43 21 22 40 47 25 26 44 51 29 30 48 3 33 34 1 7 37 38 4 11 41 8 
43 17 40 47 14 21 44 51 18 25 48 3 22 29 1 7 26 33 4 11 30 37 8 15 34 41 12 19 38 45 16 23 42 49 20 27 46 52 24 31 50 5 28 35 2 9 32 39 6 13 36 10 
44 10 47 48 13 14 51 1 17 18 3 4 21 22 7 8 25 26 11 12 29 30 15 16 33 34 19 20 37 38 23 24 41 42 27 28 45 46 31 32 49 50 35 36 52 2 39 40 5 6 43 9 
45 12 42 49 15 16 46 52 19 20 50 5 23 24 2 9 27 28 6 13 31 32 10 17 35 36 14 21 39 40 18 25 43 44 22 29 47 48 26 33 51 1 30 37 3 4 34 41 7 8 38 11 
46 11 49 50 8 15 52 2 12 19 5 6 16 23 9 10 20 27 13 14 24 31 17 18 28 35 21 22 32 39 25 26 36 43 29 30 40 47 33 34 44 51 37 38 48 3 41 42 1 7 45 4 
47 13 44 51 10 17 48 3 14 21 1 7 18 25 4 11 22 29 8 15 26 33 12 19 30 37 16 23 34 41 20 27 38 45 24 31 42 49 28 35 46 52 32 39 50 5 36 43 2 9 40 6 
48 6 51 1 9 10 3 4 13 14 7 8 17 18 11 12 21 22 15 16 25 26 19 20 29 30 23 24 33 34 27 28 37 38 31 32 41 42 35 36 45 46 39 40 49 50 43 44 52 2 47 5 
49 8 46 52 11 12 50 5 15 16 2 9 19 20 6 13 23 24 10 17 27 28 14 21 31 32 18 25 35 36 22 29 39 40 26 33 43 44 30 37 47 48 34 41 51 1 38 45 3 4 42 7 
50 7 52 2 4 11 5 6 8 15 9 10 12 19 13 14 16 23 17 18 20 27 21 22 24 31 25 26 28 35 29 30 32 39 33 34 36 43 37 38 40 47 41 42 44 51 45 46 48 3 49 1 
51 9 48 3 6 13 1 7 10 17 4 11 14 21 8 15 18 25 12 19 22 29 16 23 26 33 20 27 30 37 24 31 34 41 28 35 38 45 32 39 42 49 36 43 46 52 40 47 50 5 44 2 
52 4 50 5 7 8 2 9 11 12 6 13 15 16 10 17 19 20 14 21 23 24 18 25 27 28 22 29 31 32 26 33 35 36 30 37 39 40 34 41 43 44 38 45 47 48 42 49 51 1 46 3 
