56 2
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 
29 34 37 38 39 42 35 44 45 46 47 48 49 43 51 25 2 52 53 54 4 50 55 33 6 7 8 56 10 5 12 41 13 14 15 16 18 11 20 1 21 22 23 24 26 19 28 3 30 31 32 27 36 9 40 17 
30 27 38 31 40 35 36 17 46 39 48 21 43 44 25 26 52 47 54 29 50 51 33 34 7 53 56 37 5 55 41 42 14 8 16 45 11 12 1 49 22 15 24 2 19 20 3 4 23 32 6 28 9 10 13 18 
31 36 39 40 21 44 17 26 47 48 29 30 51 25 34 27 53 54 37 38 55 33 42 35 8 56 45 46 12 41 49 43 15 16 2 52 20 1 4 50 23 24 6 7 28 3 10 5 32 13 14 9 18 11 22 19 
32 9 40 13 22 17 18 19 48 21 30 23 25 26 27 28 54 29 38 31 33 34 35 36 56 37 46 39 41 42 43 44 16 45 52 47 1 49 50 51 24 2 7 53 3 4 5 55 6 14 8 10 11 12 15 20 
33 37 41 42 43 45 46 47 1 49 50 51 2 52 53 54 3 4 5 55 6 7 8 56 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 34 35 36 38 39 40 44 48 
34 38 42 35 44 46 39 48 49 43 51 25 52 47 54 29 4 50 55 33 7 53 56 37 10 5 12 41 14 8 16 45 18 11 20 1 22 15 24 2 26 19 28 3 30 23 32 6 27 36 9 31 40 13 17 21 
35 39 43 44 25 47 48 29 50 51 33 34 53 54 37 38 5 55 41 42 8 56 45 46 11 12 1 49 15 16 2 52 19 20 3 4 23 24 6 7 27 28 9 10 31 32 13 14 36 17 18 40 21 22 26 30 
36 40 44 17 26 48 21 30 51 25 34 27 54 29 38 31 55 33 42 35 56 37 46 39 12 41 49 43 16 45 52 47 20 1 4 50 24 2 7 53 28 3 10 5 32 6 14 8 9 18 11 13 22 15 19 23 
37 42 45 46 47 49 43 51 2 52 53 54 4 50 55 33 6 7 8 56 10 5 12 41 13 14 15 16 18 11 20 1 21 22 23 24 26 19 28 3 29 30 31 32 34 27 36 9 38 39 40 35 44 17 48 25 
38 35 46 39 48 43 44 25 52 47 54 29 50 51 33 34 7 53 56 37 5 55 41 42 14 8 16 45 11 12 1 49 22 15 24 2 19 20 3 4 30 23 32 6 27 28 9 10 31 40 13 36 17 18 21 26 
