50 5
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 
32 36 39 40 42 43 9 45 46 12 47 48 15 16 49 13 19 20 50 17 23 24 25 21 22 28 29 30 26 27 33 34 1 31 37 38 2 35 41 3 4 44 5 6 7 8 10 11 14 18 
33 37 40 41 43 44 45 46 7 47 48 10 16 49 13 14 20 50 17 18 24 25 21 22 23 29 30 26 27 28 34 1 31 32 38 2 35 36 3 4 39 5 6 42 8 9 11 12 15 19 
34 38 41 3 44 5 46 7 8 48 10 11 49 13 14 15 50 17 18 19 25 21 22 23 24 30 26 27 28 29 1 31 32 33 2 35 36 37 4 39 40 6 42 43 9 45 12 47 16 20 
35 31 6 42 4 39 11 12 47 8 9 45 18 19 20 50 14 15 16 49 27 28 29 30 26 22 23 24 25 21 36 37 38 2 32 33 34 1 43 44 5 40 41 3 48 10 46 7 17 13 
36 32 42 43 39 40 12 47 48 9 45 46 19 20 50 17 15 16 49 13 28 29 30 26 27 23 24 25 21 22 37 38 2 35 33 34 1 31 44 5 6 41 3 4 10 11 7 8 18 14 
37 33 43 44 40 41 47 48 10 45 46 7 20 50 17 18 16 49 13 14 29 30 26 27 28 24 25 21 22 23 38 2 35 36 34 1 31 32 5 6 42 3 4 39 11 12 8 9 19 15 
38 34 44 5 41 3 48 10 11 46 7 8 50 17 18 19 49 13 14 15 30 26 27 28 29 25 21 22 23 24 2 35 36 37 1 31 32 33 6 42 43 4 39 40 12 47 9 45 20 16 
39 42 9 45 12 47 15 16 49 19 20 50 23 24 25 21 28 29 30 26 32 33 34 1 31 36 37 38 2 35 40 41 3 4 43 44 5 6 46 7 8 48 10 11 13 14 17 18 22 27 
40 43 45 46 47 48 16 49 13 20 50 17 24 25 21 22 29 30 26 27 33 34 1 31 32 37 38 2 35 36 41 3 4 39 44 5 6 42 7 8 9 10 11 12 14 15 18 19 23 28 
41 44 46 7 48 10 49 13 14 50 17 18 25 21 22 23 30 26 27 28 34 1 31 32 33 38 2 35 36 37 3 4 39 40 5 6 42 43 8 9 45 11 12 47 15 16 19 20 24 29 
42 39 12 47 9 45 19 20 50 15 16 49 28 29 30 26 23 24 25 21 36 37 38 2 35 32 33 34 1 31 43 44 5 6 40 41 3 4 48 10 11 46 7 8 17 18 13 14 27 22 
43 40 47 48 45 46 20 50 17 16 49 13 29 30 26 27 24 25 21 22 37 38 2 35 36 33 34 1 31 32 44 5 6 42 41 3 4 39 10 11 12 7 8 9 18 19 14 15 28 23 
44 41 48 10 46 7 50 17 18 49 13 14 30 26 27 28 25 21 22 23 38 2 35 36 37 34 1 31 32 33 5 6 42 43 3 4 39 40 11 12 47 8 9 45 19 20 15 16 29 24 
45 47 16 49 20 50 24 25 21 29 30 26 33 34 1 31 37 38 2 35 40 41 3 4 39 43 44 5 6 42 46 7 8 9 48 10 11 12 13 14 15 17 18 19 22 23 27 28 32 36 
46 48 49 13 50 17 25 21 22 30 26 27 34 1 31 32 38 2 35 36 41 3 4 39 40 44 5 6 42 43 7 8 9 45 10 11 12 47 14 15 16 18 19 20 23 24 28 29 33 37 
47 45 20 50 16 49 29 30 26 24 25 21 37 38 2 35 33 34 1 31 43 44 5 6 42 40 41 3 4 39 48 10 11 12 46 7 8 9 17 18 19 13 14 15 27 28 22 23 36 32 
48 46 50 17 49 13 30 26 27 25 21 22 38 2 35 36 34 1 31 32 44 5 6 42 43 41 3 4 39 40 10 11 12 47 7 8 9 45 18 19 20 14 15 16 28 29 23 24 37 33 
49 50 25 21 30 26 34 1 31 38 2 35 41 3 4 39 44 5 6 42 46 7 8 9 45 48 10 11 12 47 13 14 15 16 17 18 19 20 22 23 24 27 28 29 32 33 36 37 40 43 
50 49 30 26 25 21 38 2 35 34 1 31 44 5 6 42 41 3 4 39 48 10 11 12 47 46 7 8 9 45 17 18 19 20 13 14 15 16 27 28 29 22 23 24 36 37 32 33 43 40 
