105 2
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 105 
55 65 69 70 45 78 79 82 83 2 59 60 89 90 5 92 93 6 7 73 74 1 97 98 11 12 99 100 13 14 15 85 86 3 4 102 103 20 21 22 104 23 24 25 26 94 95 8 9 10 105 32 33 34 35 36 37 38 39 40 101 16 17 18 19 46 47 48 49 50 51 52 53 54 27 28 29 30 31 61 62 63 64 66 67 68 41 42 43 44 75 76 77 80 81 56 57 58 87 88 91 71 72 96 84 
56 66 10 71 75 15 80 18 19 84 22 87 25 26 91 29 30 31 94 34 35 96 38 39 40 99 42 43 44 45 101 48 49 50 102 52 53 54 55 104 57 58 59 60 27 62 63 64 65 105 67 68 69 70 36 72 73 74 1 41 76 77 78 79 46 81 82 83 2 51 85 86 3 4 88 89 90 5 61 92 93 6 7 95 8 9 97 98 11 12 100 13 14 16 17 103 20 21 23 24 28 32 33 37 47 
57 67 71 72 76 80 81 19 84 85 87 88 26 91 92 30 31 94 95 35 96 97 39 40 99 100 43 44 45 101 16 49 50 102 103 53 54 55 104 23 58 59 60 27 28 63 64 65 105 32 68 69 70 36 37 73 74 1 41 42 77 78 79 46 47 82 83 2 51 52 86 3 4 56 89 90 5 61 62 93 6 7 66 8 9 10 98 11 12 75 13 14 15 17 18 20 21 22 24 25 29 33 34 38 48 
58 68 72 73 77 81 82 84 85 86 88 89 91 92 93 31 94 95 8 96 97 98 40 99 100 13 44 45 101 16 17 50 102 103 20 54 55 104 23 24 59 60 27 28 29 64 65 105 32 33 69 70 36 37 38 74 1 41 42 43 78 79 46 47 48 83 2 51 52 53 3 4 56 57 90 5 61 62 63 6 7 66 67 9 10 71 11 12 75 76 14 15 80 18 19 21 22 87 25 26 30 34 35 39 49 
59 69 73 74 78 82 83 85 86 3 89 90 92 93 6 94 95 8 9 97 98 11 99 100 13 14 45 101 16 17 18 102 103 20 21 55 104 23 24 25 60 27 28 29 30 65 105 32 33 34 70 36 37 38 39 1 41 42 43 44 79 46 47 48 49 2 51 52 53 54 4 56 57 58 5 61 62 63 64 7 66 67 68 10 71 72 12 75 76 77 15 80 81 19 84 22 87 88 26 91 31 35 96 40 50 
60 70 74 1 79 83 2 86 3 4 90 5 93 6 7 95 8 9 10 98 11 12 100 13 14 15 101 16 17 18 19 103 20 21 22 104 23 24 25 26 27 28 29 30 31 105 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 61 62 63 64 65 66 67 68 69 71 72 73 75 76 77 78 80 81 82 84 85 87 88 89 91 92 94 96 97 99 102 
61 41 12 75 51 4 56 21 22 87 7 66 9 10 71 33 34 35 96 14 15 80 17 18 19 84 47 48 49 50 102 24 25 26 91 28 29 30 31 94 62 63 64 65 105 37 38 39 40 99 42 43 44 45 101 76 77 78 79 46 52 53 54 55 104 57 58 59 60 27 88 89 90 5 67 68 69 70 36 72 73 74 1 97 98 11 81 82 83 2 85 86 3 103 20 92 93 6 95 8 32 100 13 16 23 
62 42 75 76 52 56 57 22 87 88 66 67 10 71 72 34 35 96 97 15 80 81 18 19 84 85 48 49 50 102 103 25 26 91 92 29 30 31 94 95 63 64 65 105 32 38 39 40 99 100 43 44 45 101 16 77 78 79 46 47 53 54 55 104 23 58 59 60 27 28 89 90 5 61 68 69 70 36 37 73 74 1 41 98 11 12 82 83 2 51 86 3 4 20 21 93 6 7 8 9 33 13 14 17 24 
63 43 76 77 53 57 58 87 88 89 67 68 71 72 73 35 96 97 98 80 81 82 19 84 85 86 49 50 102 103 20 26 91 92 93 30 31 94 95 8 64 65 105 32 33 39 40 99 100 13 44 45 101 16 17 78 79 46 47 48 54 55 104 23 24 59 60 27 28 29 90 5 61 62 69 70 36 37 38 74 1 41 42 11 12 75 83 2 51 52 3 4 56 21 22 6 7 66 9 10 34 14 15 18 25 
64 44 77 78 54 58 59 88 89 90 68 69 72 73 74 96 97 98 11 81 82 83 84 85 86 3 50 102 103 20 21 91 92 93 6 31 94 95 8 9 65 105 32 33 34 40 99 100 13 14 45 101 16 17 18 79 46 47 48 49 55 104 23 24 25 60 27 28 29 30 5 61 62 63 70 36 37 38 39 1 41 42 43 12 75 76 2 51 52 53 4 56 57 22 87 7 66 67 10 71 35 15 80 19 26 
65 45 78 79 55 59 60 89 90 5 69 70 73 74 1 97 98 11 12 82 83 2 85 86 3 4 102 103 20 21 22 92 93 6 7 94 95 8 9 10 105 32 33 34 35 99 100 13 14 15 101 16 17 18 19 46 47 48 49 50 104 23 24 25 26 27 28 29 30 31 61 62 63 64 36 37 38 39 40 41 42 43 44 75 76 77 51 52 53 54 56 57 58 87 88 66 67 68 71 72 96 80 81 84 91 
66 75 15 80 56 22 87 25 26 91 10 71 34 35 96 38 39 40 99 18 19 84 48 49 50 102 52 53 54 55 104 29 30 31 94 62 63 64 65 105 67 68 69 70 36 42 43 44 45 101 76 77 78 79 46 81 82 83 2 51 57 58 59 60 27 88 89 90 5 61 92 93 6 7 72 73 74 1 41 97 98 11 12 100 13 14 85 86 3 4 103 20 21 23 24 95 8 9 32 33 37 16 17 47 28 
67 76 80 81 57 87 88 26 91 92 71 72 35 96 97 39 40 99 100 19 84 85 49 50 102 103 53 54 55 104 23 30 31 94 95 63 64 65 105 32 68 69 70 36 37 43 44 45 101 16 77 78 79 46 47 82 83 2 51 52 58 59 60 27 28 89 90 5 61 62 93 6 7 66 73 74 1 41 42 98 11 12 75 13 14 15 86 3 4 56 20 21 22 24 25 8 9 10 33 34 38 17 18 48 29 
68 77 81 82 58 88 89 91 92 93 72 73 96 97 98 40 99 100 13 84 85 86 50 102 103 20 54 55 104 23 24 31 94 95 8 64 65 105 32 33 69 70 36 37 38 44 45 101 16 17 78 79 46 47 48 83 2 51 52 53 59 60 27 28 29 90 5 61 62 63 6 7 66 67 74 1 41 42 43 11 12 75 76 14 15 80 3 4 56 57 21 22 87 25 26 9 10 71 34 35 39 18 19 49 30 
69 78 82 83 59 89 90 92 93 6 73 74 97 98 11 99 100 13 14 85 86 3 102 103 20 21 55 104 23 24 25 94 95 8 9 65 105 32 33 34 70 36 37 38 39 45 101 16 17 18 79 46 47 48 49 2 51 52 53 54 60 27 28 29 30 5 61 62 63 64 7 66 67 68 1 41 42 43 44 12 75 76 77 15 80 81 4 56 57 58 22 87 88 26 91 10 71 72 35 96 40 19 84 50 31 
70 79 83 2 60 90 5 93 6 7 74 1 98 11 12 100 13 14 15 86 3 4 103 20 21 22 104 23 24 25 26 95 8 9 10 105 32 33 34 35 36 37 38 39 40 101 16 17 18 19 46 47 48 49 50 51 52 53 54 55 27 28 29 30 31 61 62 63 64 65 66 67 68 69 41 42 43 44 45 75 76 77 78 80 81 82 56 57 58 59 87 88 89 91 92 71 72 73 96 97 99 84 85 102 94 
71 80 19 84 87 26 91 30 31 94 35 96 39 40 99 43 44 45 101 49 50 102 53 54 55 104 57 58 59 60 27 63 64 65 105 67 68 69 70 36 72 73 74 1 41 76 77 78 79 46 81 82 83 2 51 85 86 3 4 56 88 89 90 5 61 92 93 6 7 66 95 8 9 10 97 98 11 12 75 100 13 14 15 16 17 18 103 20 21 22 23 24 25 28 29 32 33 34 37 38 42 47 48 52 62 
72 81 84 85 88 91 92 31 94 95 96 97 40 99 100 44 45 101 16 50 102 103 54 55 104 23 58 59 60 27 28 64 65 105 32 68 69 70 36 37 73 74 1 41 42 77 78 79 46 47 82 83 2 51 52 86 3 4 56 57 89 90 5 61 62 93 6 7 66 67 8 9 10 71 98 11 12 75 76 13 14 15 80 17 18 19 20 21 22 87 24 25 26 29 30 33 34 35 38 39 43 48 49 53 63 
73 82 85 86 89 92 93 94 95 8 97 98 99 100 13 45 101 16 17 102 103 20 55 104 23 24 59 60 27 28 29 65 105 32 33 69 70 36 37 38 74 1 41 42 43 78 79 46 47 48 83 2 51 52 53 3 4 56 57 58 90 5 61 62 63 6 7 66 67 68 9 10 71 72 11 12 75 76 77 14 15 80 81 18 19 84 21 22 87 88 25 26 91 30 31 34 35 96 39 40 44 49 50 54 64 
74 83 86 3 90 93 6 95 8 9 98 11 100 13 14 101 16 17 18 103 20 21 104 23 24 25 60 27 28 29 30 105 32 33 34 70 36 37 38 39 1 41 42 43 44 79 46 47 48 49 2 51 52 53 54 4 56 57 58 59 5 61 62 63 64 7 66 67 68 69 10 71 72 73 12 75 76 77 78 15 80 81 82 19 84 85 22 87 88 89 26 91 92 31 94 35 96 97 40 99 45 50 102 55 65 
75 56 22 87 66 10 71 34 35 96 15 80 18 19 84 48 49 50 102 25 26 91 29 30 31 94 62 63 64 65 105 38 39 40 99 42 43 44 45 101 76 77 78 79 46 52 53 54 55 104 57 58 59 60 27 88 89 90 5 61 67 68 69 70 36 72 73 74 1 41 97 98 11 12 81 82 83 2 51 85 86 3 4 103 20 21 92 93 6 7 95 8 9 32 33 100 13 14 16 17 47 23 24 28 37 
76 57 87 88 67 71 72 35 96 97 80 81 19 84 85 49 50 102 103 26 91 92 30 31 94 95 63 64 65 105 32 39 40 99 100 43 44 45 101 16 77 78 79 46 47 53 54 55 104 23 58 59 60 27 28 89 90 5 61 62 68 69 70 36 37 73 74 1 41 42 98 11 12 75 82 83 2 51 52 86 3 4 56 20 21 22 93 6 7 66 8 9 10 33 34 13 14 15 17 18 48 24 25 29 38 
77 58 88 89 68 72 73 96 97 98 81 82 84 85 86 50 102 103 20 91 92 93 31 94 95 8 64 65 105 32 33 40 99 100 13 44 45 101 16 17 78 79 46 47 48 54 55 104 23 24 59 60 27 28 29 90 5 61 62 63 69 70 36 37 38 74 1 41 42 43 11 12 75 76 83 2 51 52 53 3 4 56 57 21 22 87 6 7 66 67 9 10 71 34 35 14 15 80 18 19 49 25 26 30 39 
78 59 89 90 69 73 74 97 98 11 82 83 85 86 3 102 103 20 21 92 93 6 94 95 8 9 65 105 32 33 34 99 100 13 14 45 101 16 17 18 79 46 47 48 49 55 104 23 24 25 60 27 28 29 30 5 61 62 63 64 70 36 37 38 39 1 41 42 43 44 12 75 76 77 2 51 52 53 54 4 56 57 58 22 87 88 7 66 67 68 10 71 72 35 96 15 80 81 19 84 50 26 91 31 40 
79 60 90 5 70 74 1 98 11 12 83 2 86 3 4 103 20 21 22 93 6 7 95 8 9 10 105 32 33 34 35 100 13 14 15 101 16 17 18 19 46 47 48 49 50 104 23 24 25 26 27 28 29 30 31 61 62 63 64 65 36 37 38 39 40 41 42 43 44 45 75 76 77 78 51 52 53 54 55 56 57 58 59 87 88 89 66 67 68 69 71 72 73 96 97 80 81 82 84 85 102 91 92 94 99 
80 87 26 91 71 35 96 39 40 99 19 84 49 50 102 53 54 55 104 30 31 94 63 64 65 105 67 68 69 70 36 43 44 45 101 76 77 78 79 46 81 82 83 2 51 57 58 59 60 27 88 89 90 5 61 92 93 6 7 66 72 73 74 1 41 97 98 11 12 75 100 13 14 15 85 86 3 4 56 103 20 21 22 23 24 25 95 8 9 10 32 33 34 37 38 16 17 18 47 48 52 28 29 62 42 
81 88 91 92 72 96 97 40 99 100 84 85 50 102 103 54 55 104 23 31 94 95 64 65 105 32 68 69 70 36 37 44 45 101 16 77 78 79 46 47 82 83 2 51 52 58 59 60 27 28 89 90 5 61 62 93 6 7 66 67 73 74 1 41 42 98 11 12 75 76 13 14 15 80 86 3 4 56 57 20 21 22 87 24 25 26 8 9 10 71 33 34 35 38 39 17 18 19 48 49 53 29 30 63 43 
82 89 92 93 73 97 98 99 100 13 85 86 102 103 20 55 104 23 24 94 95 8 65 105 32 33 69 70 36 37 38 45 101 16 17 78 79 46 47 48 83 2 51 52 53 59 60 27 28 29 90 5 61 62 63 6 7 66 67 68 74 1 41 42 43 11 12 75 76 77 14 15 80 81 3 4 56 57 58 21 22 87 88 25 26 91 9 10 71 72 34 35 96 39 40 18 19 84 49 50 54 30 31 64 44 
83 90 93 6 74 98 11 100 13 14 86 3 103 20 21 104 23 24 25 95 8 9 105 32 33 34 70 36 37 38 39 101 16 17 18 79 46 47 48 49 2 51 52 53 54 60 27 28 29 30 5 61 62 63 64 7 66 67 68 69 1 41 42 43 44 12 75 76 77 78 15 80 81 82 4 56 57 58 59 22 87 88 89 26 91 92 10 71 72 73 35 96 97 40 99 19 84 85 50 102 55 31 94 65 45 
84 91 31 94 96 40 99 44 45 101 50 102 54 55 104 58 59 60 27 64 65 105 68 69 70 36 72 73 74 1 41 77 78 79 46 81 82 83 2 51 85 86 3 4 56 88 89 90 5 61 92 93 6 7 66 95 8 9 10 71 97 98 11 12 75 100 13 14 15 80 16 17 18 19 103 20 21 22 87 23 24 25 26 28 29 30 32 33 34 35 37 38 39 42 43 47 48 49 52 53 57 62 63 67 76 
85 92 94 95 97 99 100 45 101 16 102 103 55 104 23 59 60 27 28 65 105 32 69 70 36 37 73 74 1 41 42 78 79 46 47 82 83 2 51 52 86 3 4 56 57 89 90 5 61 62 93 6 7 66 67 8 9 10 71 72 98 11 12 75 76 13 14 15 80 81 17 18 19 84 20 21 22 87 88 24 25 26 91 29 30 31 33 34 35 96 38 39 40 43 44 48 49 50 53 54 58 63 64 68 77 
86 93 95 8 98 100 13 101 16 17 103 20 104 23 24 60 27 28 29 105 32 33 70 36 37 38 74 1 41 42 43 79 46 47 48 83 2 51 52 53 3 4 56 57 58 90 5 61 62 63 6 7 66 67 68 9 10 71 72 73 11 12 75 76 77 14 15 80 81 82 18 19 84 85 21 22 87 88 89 25 26 91 92 30 31 94 34 35 96 97 39 40 99 44 45 49 50 102 54 55 59 64 65 69 78 
87 71 35 96 80 19 84 49 50 102 26 91 30 31 94 63 64 65 105 39 40 99 43 44 45 101 76 77 78 79 46 53 54 55 104 57 58 59 60 27 88 89 90 5 61 67 68 69 70 36 72 73 74 1 41 97 98 11 12 75 81 82 83 2 51 85 86 3 4 56 103 20 21 22 92 93 6 7 66 95 8 9 10 32 33 34 100 13 14 15 16 17 18 47 48 23 24 25 28 29 62 37 38 42 52 
88 72 96 97 81 84 85 50 102 103 91 92 31 94 95 64 65 105 32 40 99 100 44 45 101 16 77 78 79 46 47 54 55 104 23 58 59 60 27 28 89 90 5 61 62 68 69 70 36 37 73 74 1 41 42 98 11 12 75 76 82 83 2 51 52 86 3 4 56 57 20 21 22 87 93 6 7 66 67 8 9 10 71 33 34 35 13 14 15 80 17 18 19 48 49 24 25 26 29 30 63 38 39 43 53 
89 73 97 98 82 85 86 102 103 20 92 93 94 95 8 65 105 32 33 99 100 13 45 101 16 17 78 79 46 47 48 55 104 23 24 59 60 27 28 29 90 5 61 62 63 69 70 36 37 38 74 1 41 42 43 11 12 75 76 77 83 2 51 52 53 3 4 56 57 58 21 22 87 88 6 7 66 67 68 9 10 71 72 34 35 96 14 15 80 81 18 19 84 49 50 25 26 91 30 31 64 39 40 44 54 
90 74 98 11 83 86 3 103 20 21 93 6 95 8 9 105 32 33 34 100 13 14 101 16 17 18 79 46 47 48 49 104 23 24 25 60 27 28 29 30 5 61 62 63 64 70 36 37 38 39 1 41 42 43 44 12 75 76 77 78 2 51 52 53 54 4 56 57 58 59 22 87 88 89 7 66 67 68 69 10 71 72 73 35 96 97 15 80 81 82 19 84 85 50 102 26 91 92 31 94 65 40 99 45 55 
91 96 40 99 84 50 102 54 55 104 31 94 64 65 105 68 69 70 36 44 45 101 77 78 79 46 81 82 83 2 51 58 59 60 27 88 89 90 5 61 92 93 6 7 66 72 73 74 1 41 97 98 11 12 75 100 13 14 15 80 85 86 3 4 56 103 20 21 22 87 23 24 25 26 95 8 9 10 71 32 33 34 35 37 38 39 16 17 18 19 47 48 49 52 53 28 29 30 62 63 67 42 43 76 57 
92 97 99 100 85 102 103 55 104 23 94 95 65 105 32 69 70 36 37 45 101 16 78 79 46 47 82 83 2 51 52 59 60 27 28 89 90 5 61 62 93 6 7 66 67 73 74 1 41 42 98 11 12 75 76 13 14 15 80 81 86 3 4 56 57 20 21 22 87 88 24 25 26 91 8 9 10 71 72 33 34 35 96 38 39 40 17 18 19 84 48 49 50 53 54 29 30 31 63 64 68 43 44 77 58 
93 98 100 13 86 103 20 104 23 24 95 8 105 32 33 70 36 37 38 101 16 17 79 46 47 48 83 2 51 52 53 60 27 28 29 90 5 61 62 63 6 7 66 67 68 74 1 41 42 43 11 12 75 76 77 14 15 80 81 82 3 4 56 57 58 21 22 87 88 89 25 26 91 92 9 10 71 72 73 34 35 96 97 39 40 99 18 19 84 85 49 50 102 54 55 30 31 94 64 65 69 44 45 78 59 
94 99 45 101 102 55 104 59 60 27 65 105 69 70 36 73 74 1 41 78 79 46 82 83 2 51 85 86 3 4 56 89 90 5 61 92 93 6 7 66 95 8 9 10 71 97 98 11 12 75 100 13 14 15 80 16 17 18 19 84 103 20 21 22 87 23 24 25 26 91 28 29 30 31 32 33 34 35 96 37 38 39 40 42 43 44 47 48 49 50 52 53 54 57 58 62 63 64 67 68 72 76 77 81 88 
95 100 101 16 103 104 23 60 27 28 105 32 70 36 37 74 1 41 42 79 46 47 83 2 51 52 86 3 4 56 57 90 5 61 62 93 6 7 66 67 8 9 10 71 72 98 11 12 75 76 13 14 15 80 81 17 18 19 84 85 20 21 22 87 88 24 25 26 91 92 29 30 31 94 33 34 35 96 97 38 39 40 99 43 44 45 48 49 50 102 53 54 55 58 59 63 64 65 68 69 73 77 78 82 89 
96 84 50 102 91 31 94 64 65 105 40 99 44 45 101 77 78 79 46 54 55 104 58 59 60 27 88 89 90 5 61 68 69 70 36 72 73 74 1 41 97 98 11 12 75 81 82 83 2 51 85 86 3 4 56 103 20 21 22 87 92 93 6 7 66 95 8 9 10 71 32 33 34 35 100 13 14 15 80 16 17 18 19 47 48 49 23 24 25 26 28 29 30 62 63 37 38 39 42 43 76 52 53 57 67 
97 85 102 103 92 94 95 65 105 32 99 100 45 101 16 78 79 46 47 55 104 23 59 60 27 28 89 90 5 61 62 69 70 36 37 73 74 1 41 42 98 11 12 75 76 82 83 2 51 52 86 3 4 56 57 20 21 22 87 88 93 6 7 66 67 8 9 10 71 72 33 34 35 96 13 14 15 80 81 17 18 19 84 48 49 50 24 25 26 91 29 30 31 63 64 38 39 40 43 44 77 53 54 58 68 
98 86 103 20 93 95 8 105 32 33 100 13 101 16 17 79 46 47 48 104 23 24 60 27 28 29 90 5 61 62 63 70 36 37 38 74 1 41 42 43 11 12 75 76 77 83 2 51 52 53 3 4 56 57 58 21 22 87 88 89 6 7 66 67 68 9 10 71 72 73 34 35 96 97 14 15 80 81 82 18 19 84 85 49 50 102 25 26 91 92 30 31 94 64 65 39 40 99 44 45 78 54 55 59 69 
99 102 55 104 94 65 105 69 70 36 45 101 78 79 46 82 83 2 51 59 60 27 89 90 5 61 92 93 6 7 66 73 74 1 41 97 98 11 12 75 100 13 14 15 80 85 86 3 4 56 103 20 21 22 87 23 24 25 26 91 95 8 9 10 71 32 33 34 35 96 37 38 39 40 16 17 18 19 84 47 48 49 50 52 53 54 28 29 30 31 62 63 64 67 68 42 43 44 76 77 81 57 58 88 72 
100 103 104 23 95 105 32 70 36 37 101 16 79 46 47 83 2 51 52 60 27 28 90 5 61 62 93 6 7 66 67 74 1 41 42 98 11 12 75 76 13 14 15 80 81 86 3 4 56 57 20 21 22 87 88 24 25 26 91 92 8 9 10 71 72 33 34 35 96 97 38 39 40 99 17 18 19 84 85 48 49 50 102 53 54 55 29 30 31 94 63 64 65 68 69 43 44 45 77 78 82 58 59 89 73 
101 104 60 27 105 70 36 74 1 41 79 46 83 2 51 86 3 4 56 90 5 61 93 6 7 66 95 8 9 10 71 98 11 12 75 100 13 14 15 80 16 17 18 19 84 103 20 21 22 87 23 24 25 26 91 28 29 30 31 94 32 33 34 35 96 37 38 39 40 99 42 43 44 45 47 48 49 50 102 52 53 54 55 57 58 59 62 63 64 65 67 68 69 72 73 76 77 78 81 82 85 88 89 92 97 
102 94 65 105 99 45 101 78 79 46 55 104 59 60 27 89 90 5 61 69 70 36 73 74 1 41 97 98 11 12 75 82 83 2 51 85 86 3 4 56 103 20 21 22 87 92 93 6 7 66 95 8 9 10 71 32 33 34 35 96 100 13 14 15 80 16 17 18 19 84 47 48 49 50 23 24 25 26 91 28 29 30 31 62 63 64 37 38 39 40 42 43 44 76 77 52 53 54 57 58 88 67 68 72 81 
103 95 105 32 100 101 16 79 46 47 104 23 60 27 28 90 5 61 62 70 36 37 74 1 41 42 98 11 12 75 76 83 2 51 52 86 3 4 56 57 20 21 22 87 88 93 6 7 66 67 8 9 10 71 72 33 34 35 96 97 13 14 15 80 81 17 18 19 84 85 48 49 50 102 24 25 26 91 92 29 30 31 94 63 64 65 38 39 40 99 43 44 45 77 78 53 54 55 58 59 89 68 69 73 82 
104 105 70 36 101 79 46 83 2 51 60 27 90 5 61 93 6 7 66 74 1 41 98 11 12 75 100 13 14 15 80 86 3 4 56 103 20 21 22 87 23 24 25 26 91 95 8 9 10 71 32 33 34 35 96 37 38 39 40 99 16 17 18 19 84 47 48 49 50 102 52 53 54 55 28 29 30 31 94 62 63 64 65 67 68 69 42 43 44 45 76 77 78 81 82 57 58 59 88 89 92 72 73 97 85 
105 101 79 46 104 60 27 90 5 61 70 36 74 1 41 98 11 12 75 83 2 51 86 3 4 56 103 20 21 22 87 93 6 7 66 95 8 9 10 71 32 33 34 35 96 100 13 14 15 80 16 17 18 19 84 47 48 49 50 102 23 24 25 26 91 28 29 30 31 94 62 63 64 65 37 38 39 40 99 42 43 44 45 76 77 78 52 53 54 55 57 58 59 88 89 67 68 69 72 73 97 81 82 85 92 
