105 2
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 105 
16 23 27 28 32 36 37 1 41 42 46 47 2 51 52 3 4 56 57 5 61 62 6 7 66 67 8 9 10 71 72 11 12 75 76 13 14 15 80 81 17 18 19 84 85 20 21 22 87 88 24 25 26 91 92 29 30 31 94 95 33 34 35 96 97 38 39 40 99 100 43 44 45 101 48 49 50 102 103 53 54 55 104 58 59 60 63 64 65 105 68 69 70 73 74 77 78 79 82 83 86 89 90 93 98 
17 24 28 29 33 37 38 41 42 43 47 48 51 52 53 4 56 57 58 61 62 63 7 66 67 68 9 10 71 72 73 12 75 76 77 14 15 80 81 82 18 19 84 85 86 21 22 87 88 89 25 26 91 92 93 30 31 94 95 8 34 35 96 97 98 39 40 99 100 13 44 45 101 16 49 50 102 103 20 54 55 104 23 59 60 27 64 65 105 32 69 70 36 74 1 78 79 46 83 2 3 90 5 6 11 
18 25 29 30 34 38 39 42 43 44 48 49 52 53 54 56 57 58 59 62 63 64 66 67 68 69 10 71 72 73 74 75 76 77 78 15 80 81 82 83 19 84 85 86 3 22 87 88 89 90 26 91 92 93 6 31 94 95 8 9 35 96 97 98 11 40 99 100 13 14 45 101 16 17 50 102 103 20 21 55 104 23 24 60 27 28 65 105 32 33 70 36 37 1 41 79 46 47 2 51 4 5 61 7 12 
19 26 30 31 35 39 40 43 44 45 49 50 53 54 55 57 58 59 60 63 64 65 67 68 69 70 71 72 73 74 1 76 77 78 79 80 81 82 83 2 84 85 86 3 4 87 88 89 90 5 91 92 93 6 7 94 95 8 9 10 96 97 98 11 12 99 100 13 14 15 101 16 17 18 102 103 20 21 22 104 23 24 25 27 28 29 105 32 33 34 36 37 38 41 42 46 47 48 51 52 56 61 62 66 75 
20 8 32 33 13 16 17 46 47 48 23 24 27 28 29 5 61 62 63 36 37 38 1 41 42 43 11 12 75 76 77 2 51 52 53 3 4 56 57 58 21 22 87 88 89 6 7 66 67 68 9 10 71 72 73 34 35 96 97 98 14 15 80 81 82 18 19 84 85 86 49 50 102 103 25 26 91 92 93 30 31 94 95 64 65 105 39 40 99 100 44 45 101 78 79 54 55 104 59 60 90 69 70 74 83 
21 9 33 34 14 17 18 47 48 49 24 25 28 29 30 61 62 63 64 37 38 39 41 42 43 44 12 75 76 77 78 51 52 53 54 4 56 57 58 59 22 87 88 89 90 7 66 67 68 69 10 71 72 73 74 35 96 97 98 11 15 80 81 82 83 19 84 85 86 3 50 102 103 20 26 91 92 93 6 31 94 95 8 65 105 32 40 99 100 13 45 101 16 79 46 55 104 23 60 27 5 70 36 1 2 
22 10 34 35 15 18 19 48 49 50 25 26 29 30 31 62 63 64 65 38 39 40 42 43 44 45 75 76 77 78 79 52 53 54 55 56 57 58 59 60 87 88 89 90 5 66 67 68 69 70 71 72 73 74 1 96 97 98 11 12 80 81 82 83 2 84 85 86 3 4 102 103 20 21 91 92 93 6 7 94 95 8 9 105 32 33 99 100 13 14 101 16 17 46 47 104 23 24 27 28 61 36 37 41 51 
23 32 36 37 16 46 47 2 51 52 27 28 5 61 62 6 7 66 67 1 41 42 11 12 75 76 13 14 15 80 81 3 4 56 57 20 21 22 87 88 24 25 26 91 92 8 9 10 71 72 33 34 35 96 97 38 39 40 99 100 17 18 19 84 85 48 49 50 102 103 53 54 55 104 29 30 31 94 95 63 64 65 105 68 69 70 43 44 45 101 77 78 79 82 83 58 59 60 89 90 93 73 74 98 86 
24 33 37 38 17 47 48 51 52 53 28 29 61 62 63 7 66 67 68 41 42 43 12 75 76 77 14 15 80 81 82 4 56 57 58 21 22 87 88 89 25 26 91 92 93 9 10 71 72 73 34 35 96 97 98 39 40 99 100 13 18 19 84 85 86 49 50 102 103 20 54 55 104 23 30 31 94 95 8 64 65 105 32 69 70 36 44 45 101 16 78 79 46 83 2 59 60 27 90 5 6 74 1 11 3 
25 34 38 39 18 48 49 52 53 54 29 30 62 63 64 66 67 68 69 42 43 44 75 76 77 78 15 80 81 82 83 56 57 58 59 22 87 88 89 90 26 91 92 93 6 10 71 72 73 74 35 96 97 98 11 40 99 100 13 14 19 84 85 86 3 50 102 103 20 21 55 104 23 24 31 94 95 8 9 65 105 32 33 70 36 37 45 101 16 17 79 46 47 2 51 60 27 28 5 61 7 1 41 12 4 
