99 1
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 
39 8 48 19 13 16 17 57 28 29 22 23 25 26 27 66 37 38 31 32 33 34 35 36 75 46 47 40 41 42 43 44 45 84 55 56 49 50 51 52 53 54 92 64 65 58 59 60 61 62 63 97 73 74 67 68 69 70 71 72 99 82 83 76 77 78 79 80 81 21 90 91 85 86 87 1 88 89 30 5 96 2 93 94 3 4 95 11 12 6 7 98 9 10 20 14 15 18 24 
40 46 49 50 44 55 56 58 59 60 53 54 64 65 66 67 68 69 62 63 34 73 74 75 76 77 78 71 72 43 82 83 84 85 86 87 80 81 52 90 91 92 2 93 94 88 89 61 5 96 97 6 7 98 4 95 70 11 12 99 13 14 15 9 10 79 19 20 21 22 23 24 17 18 1 28 29 30 31 32 33 26 27 3 37 38 39 41 42 35 36 8 47 48 51 45 16 57 25 
41 47 50 51 45 56 57 59 60 31 54 25 65 66 37 68 69 40 63 34 35 74 75 46 77 78 49 72 43 44 83 84 55 86 87 58 81 52 53 91 92 64 93 94 67 89 61 62 96 97 73 7 98 76 95 70 71 12 99 82 14 15 85 10 79 80 20 21 90 23 24 2 18 1 88 29 30 5 32 33 6 27 3 4 38 39 11 42 13 36 8 9 48 19 22 16 17 28 26 
42 48 51 22 16 57 28 60 31 32 25 26 66 37 38 69 40 41 34 35 36 75 46 47 78 49 50 43 44 45 84 55 56 87 58 59 52 53 54 92 64 65 94 67 68 61 62 63 97 73 74 98 76 77 70 71 72 99 82 83 15 85 86 79 80 81 21 90 91 24 2 93 1 88 89 30 5 96 33 6 7 3 4 95 39 11 12 13 14 8 9 10 19 20 23 17 18 29 27 
43 49 52 53 55 58 59 61 62 63 64 65 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 1 88 89 90 91 92 2 93 94 3 4 95 5 96 97 6 7 98 8 9 10 11 12 99 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 44 45 46 47 48 50 51 54 56 57 60 66 
44 50 53 54 56 59 60 62 63 34 65 66 68 69 40 71 72 43 74 75 46 77 78 49 80 81 52 83 84 55 86 87 58 88 89 61 91 92 64 93 94 67 4 95 70 96 97 73 7 98 76 9 10 79 12 99 82 14 15 85 17 18 1 20 21 90 23 24 2 26 27 3 29 30 5 32 33 6 35 36 8 38 39 11 41 42 13 45 16 47 48 19 51 22 25 57 28 31 37 
45 51 54 25 57 60 31 63 34 35 66 37 69 40 41 72 43 44 75 46 47 78 49 50 81 52 53 84 55 56 87 58 59 89 61 62 92 64 65 94 67 68 95 70 71 97 73 74 98 76 77 10 79 80 99 82 83 15 85 86 18 1 88 21 90 91 24 2 93 27 3 4 30 5 96 33 6 7 36 8 9 39 11 12 42 13 14 16 17 48 19 20 22 23 26 28 29 32 38 
46 44 55 56 50 53 54 64 65 66 59 60 62 63 34 73 74 75 68 69 40 71 72 43 82 83 84 77 78 49 80 81 52 90 91 92 86 87 58 88 89 61 5 96 97 93 94 67 4 95 70 11 12 99 7 98 76 9 10 79 19 20 21 14 15 85 17 18 1 28 29 30 23 24 2 26 27 3 37 38 39 32 33 6 35 36 8 47 48 41 42 13 45 16 57 51 22 25 31 
47 45 56 57 51 54 25 65 66 37 60 31 63 34 35 74 75 46 69 40 41 72 43 44 83 84 55 78 49 50 81 52 53 91 92 64 87 58 59 89 61 62 96 97 73 94 67 68 95 70 71 12 99 82 98 76 77 10 79 80 20 21 90 15 85 86 18 1 88 29 30 5 24 2 93 27 3 4 38 39 11 33 6 7 36 8 9 48 19 42 13 14 16 17 28 22 23 26 32 
48 16 57 28 22 25 26 66 37 38 31 32 34 35 36 75 46 47 40 41 42 43 44 45 84 55 56 49 50 51 52 53 54 92 64 65 58 59 60 61 62 63 97 73 74 67 68 69 70 71 72 99 82 83 76 77 78 79 80 81 21 90 91 85 86 87 1 88 89 30 5 96 2 93 94 3 4 95 39 11 12 6 7 98 8 9 10 19 20 13 14 15 17 18 29 23 24 27 33 
49 55 58 59 53 64 65 67 68 69 62 63 73 74 75 76 77 78 71 72 43 82 83 84 85 86 87 80 81 52 90 91 92 2 93 94 88 89 61 5 96 97 6 7 98 4 95 70 11 12 99 13 14 15 9 10 79 19 20 21 22 23 24 17 18 1 28 29 30 31 32 33 26 27 3 37 38 39 40 41 42 35 36 8 46 47 48 50 51 44 45 16 56 57 60 54 25 66 34 
50 56 59 60 54 65 66 68 69 40 63 34 74 75 46 77 78 49 72 43 44 83 84 55 86 87 58 81 52 53 91 92 64 93 94 67 89 61 62 96 97 73 7 98 76 95 70 71 12 99 82 14 15 85 10 79 80 20 21 90 23 24 2 18 1 88 29 30 5 32 33 6 27 3 4 38 39 11 41 42 13 36 8 9 47 48 19 51 22 45 16 17 57 28 31 25 26 37 35 
51 57 60 31 25 66 37 69 40 41 34 35 75 46 47 78 49 50 43 44 45 84 55 56 87 58 59 52 53 54 92 64 65 94 67 68 61 62 63 97 73 74 98 76 77 70 71 72 99 82 83 15 85 86 79 80 81 21 90 91 24 2 93 1 88 89 30 5 96 33 6 7 3 4 95 39 11 12 42 13 14 8 9 10 48 19 20 22 23 16 17 18 28 29 32 26 27 38 36 
52 58 61 62 64 67 68 70 71 72 73 74 76 77 78 79 80 81 82 83 84 85 86 87 1 88 89 90 91 92 2 93 94 3 4 95 5 96 97 6 7 98 8 9 10 11 12 99 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 53 54 55 56 57 59 60 63 65 66 69 75 
53 59 62 63 65 68 69 71 72 43 74 75 77 78 49 80 81 52 83 84 55 86 87 58 88 89 61 91 92 64 93 94 67 4 95 70 96 97 73 7 98 76 9 10 79 12 99 82 14 15 85 17 18 1 20 21 90 23 24 2 26 27 3 29 30 5 32 33 6 35 36 8 38 39 11 41 42 13 44 45 16 47 48 19 50 51 22 54 25 56 57 28 60 31 34 66 37 40 46 
54 60 63 34 66 69 40 72 43 44 75 46 78 49 50 81 52 53 84 55 56 87 58 59 89 61 62 92 64 65 94 67 68 95 70 71 97 73 74 98 76 77 10 79 80 99 82 83 15 85 86 18 1 88 21 90 91 24 2 93 27 3 4 30 5 96 33 6 7 36 8 9 39 11 12 42 13 14 45 16 17 48 19 20 51 22 23 25 26 57 28 29 31 32 35 37 38 41 47 
55 53 64 65 59 62 63 73 74 75 68 69 71 72 43 82 83 84 77 78 49 80 81 52 90 91 92 86 87 58 88 89 61 5 96 97 93 94 67 4 95 70 11 12 99 7 98 76 9 10 79 19 20 21 14 15 85 17 18 1 28 29 30 23 24 2 26 27 3 37 38 39 32 33 6 35 36 8 46 47 48 41 42 13 44 45 16 56 57 50 51 22 54 25 66 60 31 34 40 
56 54 65 66 60 63 34 74 75 46 69 40 72 43 44 83 84 55 78 49 50 81 52 53 91 92 64 87 58 59 89 61 62 96 97 73 94 67 68 95 70 71 12 99 82 98 76 77 10 79 80 20 21 90 15 85 86 18 1 88 29 30 5 24 2 93 27 3 4 38 39 11 33 6 7 36 8 9 47 48 19 42 13 14 45 16 17 57 28 51 22 23 25 26 37 31 32 35 41 
57 25 66 37 31 34 35 75 46 47 40 41 43 44 45 84 55 56 49 50 51 52 53 54 92 64 65 58 59 60 61 62 63 97 73 74 67 68 69 70 71 72 99 82 83 76 77 78 79 80 81 21 90 91 85 86 87 1 88 89 30 5 96 2 93 94 3 4 95 39 11 12 6 7 98 8 9 10 48 19 20 13 14 15 16 17 18 28 29 22 23 24 26 27 38 32 33 36 42 
58 64 67 68 62 73 74 76 77 78 71 72 82 83 84 85 86 87 80 81 52 90 91 92 2 93 94 88 89 61 5 96 97 6 7 98 4 95 70 11 12 99 13 14 15 9 10 79 19 20 21 22 23 24 17 18 1 28 29 30 31 32 33 26 27 3 37 38 39 40 41 42 35 36 8 46 47 48 49 50 51 44 45 16 55 56 57 59 60 53 54 25 65 66 69 63 34 75 43 
59 65 68 69 63 74 75 77 78 49 72 43 83 84 55 86 87 58 81 52 53 91 92 64 93 94 67 89 61 62 96 97 73 7 98 76 95 70 71 12 99 82 14 15 85 10 79 80 20 21 90 23 24 2 18 1 88 29 30 5 32 33 6 27 3 4 38 39 11 41 42 13 36 8 9 47 48 19 50 51 22 45 16 17 56 57 28 60 31 54 25 26 66 37 40 34 35 46 44 
60 66 69 40 34 75 46 78 49 50 43 44 84 55 56 87 58 59 52 53 54 92 64 65 94 67 68 61 62 63 97 73 74 98 76 77 70 71 72 99 82 83 15 85 86 79 80 81 21 90 91 24 2 93 1 88 89 30 5 96 33 6 7 3 4 95 39 11 12 42 13 14 8 9 10 48 19 20 51 22 23 16 17 18 57 28 29 31 32 25 26 27 37 38 41 35 36 47 45 
61 67 70 71 73 76 77 79 80 81 82 83 85 86 87 1 88 89 90 91 92 2 93 94 3 4 95 5 96 97 6 7 98 8 9 10 11 12 99 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 62 63 64 65 66 68 69 72 74 75 78 84 
62 68 71 72 74 77 78 80 81 52 83 84 86 87 58 88 89 61 91 92 64 93 94 67 4 95 70 96 97 73 7 98 76 9 10 79 12 99 82 14 15 85 17 18 1 20 21 90 23 24 2 26 27 3 29 30 5 32 33 6 35 36 8 38 39 11 41 42 13 44 45 16 47 48 19 50 51 22 53 54 25 56 57 28 59 60 31 63 34 65 66 37 69 40 43 75 46 49 55 
63 69 72 43 75 78 49 81 52 53 84 55 87 58 59 89 61 62 92 64 65 94 67 68 95 70 71 97 73 74 98 76 77 10 79 80 99 82 83 15 85 86 18 1 88 21 90 91 24 2 93 27 3 4 30 5 96 33 6 7 36 8 9 39 11 12 42 13 14 45 16 17 48 19 20 51 22 23 54 25 26 57 28 29 60 31 32 34 35 66 37 38 40 41 44 46 47 50 56 
64 62 73 74 68 71 72 82 83 84 77 78 80 81 52 90 91 92 86 87 58 88 89 61 5 96 97 93 94 67 4 95 70 11 12 99 7 98 76 9 10 79 19 20 21 14 15 85 17 18 1 28 29 30 23 24 2 26 27 3 37 38 39 32 33 6 35 36 8 46 47 48 41 42 13 44 45 16 55 56 57 50 51 22 53 54 25 65 66 59 60 31 63 34 75 69 40 43 49 
65 63 74 75 69 72 43 83 84 55 78 49 81 52 53 91 92 64 87 58 59 89 61 62 96 97 73 94 67 68 95 70 71 12 99 82 98 76 77 10 79 80 20 21 90 15 85 86 18 1 88 29 30 5 24 2 93 27 3 4 38 39 11 33 6 7 36 8 9 47 48 19 42 13 14 45 16 17 56 57 28 51 22 23 54 25 26 66 37 60 31 32 34 35 46 40 41 44 50 
66 34 75 46 40 43 44 84 55 56 49 50 52 53 54 92 64 65 58 59 60 61 62 63 97 73 74 67 68 69 70 71 72 99 82 83 76 77 78 79 80 81 21 90 91 85 86 87 1 88 89 30 5 96 2 93 94 3 4 95 39 11 12 6 7 98 8 9 10 48 19 20 13 14 15 16 17 18 57 28 29 22 23 24 25 26 27 37 38 31 32 33 35 36 47 41 42 45 51 
67 73 76 77 71 82 83 85 86 87 80 81 90 91 92 2 93 94 88 89 61 5 96 97 6 7 98 4 95 70 11 12 99 13 14 15 9 10 79 19 20 21 22 23 24 17 18 1 28 29 30 31 32 33 26 27 3 37 38 39 40 41 42 35 36 8 46 47 48 49 50 51 44 45 16 55 56 57 58 59 60 53 54 25 64 65 66 68 69 62 63 34 74 75 78 72 43 84 52 
