99 1
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 
68 74 77 78 72 83 84 86 87 58 81 52 91 92 64 93 94 67 89 61 62 96 97 73 7 98 76 95 70 71 12 99 82 14 15 85 10 79 80 20 21 90 23 24 2 18 1 88 29 30 5 32 33 6 27 3 4 38 39 11 41 42 13 36 8 9 47 48 19 50 51 22 45 16 17 56 57 28 59 60 31 54 25 26 65 66 37 69 40 63 34 35 75 46 49 43 44 55 53 
69 75 78 49 43 84 55 87 58 59 52 53 92 64 65 94 67 68 61 62 63 97 73 74 98 76 77 70 71 72 99 82 83 15 85 86 79 80 81 21 90 91 24 2 93 1 88 89 30 5 96 33 6 7 3 4 95 39 11 12 42 13 14 8 9 10 48 19 20 51 22 23 16 17 18 57 28 29 60 31 32 25 26 27 66 37 38 40 41 34 35 36 46 47 50 44 45 56 54 
70 76 79 80 82 85 86 1 88 89 90 91 2 93 94 3 4 95 5 96 97 6 7 98 8 9 10 11 12 99 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 71 72 73 74 75 77 78 81 83 84 87 92 
71 77 80 81 83 86 87 88 89 61 91 92 93 94 67 4 95 70 96 97 73 7 98 76 9 10 79 12 99 82 14 15 85 17 18 1 20 21 90 23 24 2 26 27 3 29 30 5 32 33 6 35 36 8 38 39 11 41 42 13 44 45 16 47 48 19 50 51 22 53 54 25 56 57 28 59 60 31 62 63 34 65 66 37 68 69 40 72 43 74 75 46 78 49 52 84 55 58 64 
72 78 81 52 84 87 58 89 61 62 92 64 94 67 68 95 70 71 97 73 74 98 76 77 10 79 80 99 82 83 15 85 86 18 1 88 21 90 91 24 2 93 27 3 4 30 5 96 33 6 7 36 8 9 39 11 12 42 13 14 45 16 17 48 19 20 51 22 23 54 25 26 57 28 29 60 31 32 63 34 35 66 37 38 69 40 41 43 44 75 46 47 49 50 53 55 56 59 65 
73 71 82 83 77 80 81 90 91 92 86 87 88 89 61 5 96 97 93 94 67 4 95 70 11 12 99 7 98 76 9 10 79 19 20 21 14 15 85 17 18 1 28 29 30 23 24 2 26 27 3 37 38 39 32 33 6 35 36 8 46 47 48 41 42 13 44 45 16 55 56 57 50 51 22 53 54 25 64 65 66 59 60 31 62 63 34 74 75 68 69 40 72 43 84 78 49 52 58 
74 72 83 84 78 81 52 91 92 64 87 58 89 61 62 96 97 73 94 67 68 95 70 71 12 99 82 98 76 77 10 79 80 20 21 90 15 85 86 18 1 88 29 30 5 24 2 93 27 3 4 38 39 11 33 6 7 36 8 9 47 48 19 42 13 14 45 16 17 56 57 28 51 22 23 54 25 26 65 66 37 60 31 32 63 34 35 75 46 69 40 41 43 44 55 49 50 53 59 
75 43 84 55 49 52 53 92 64 65 58 59 61 62 63 97 73 74 67 68 69 70 71 72 99 82 83 76 77 78 79 80 81 21 90 91 85 86 87 1 88 89 30 5 96 2 93 94 3 4 95 39 11 12 6 7 98 8 9 10 48 19 20 13 14 15 16 17 18 57 28 29 22 23 24 25 26 27 66 37 38 31 32 33 34 35 36 46 47 40 41 42 44 45 56 50 51 54 60 
76 82 85 86 80 90 91 2 93 94 88 89 5 96 97 6 7 98 4 95 70 11 12 99 13 14 15 9 10 79 19 20 21 22 23 24 17 18 1 28 29 30 31 32 33 26 27 3 37 38 39 40 41 42 35 36 8 46 47 48 49 50 51 44 45 16 55 56 57 58 59 60 53 54 25 64 65 66 67 68 69 62 63 34 73 74 75 77 78 71 72 43 83 84 87 81 52 92 61 
77 83 86 87 81 91 92 93 94 67 89 61 96 97 73 7 98 76 95 70 71 12 99 82 14 15 85 10 79 80 20 21 90 23 24 2 18 1 88 29 30 5 32 33 6 27 3 4 38 39 11 41 42 13 36 8 9 47 48 19 50 51 22 45 16 17 56 57 28 59 60 31 54 25 26 65 66 37 68 69 40 63 34 35 74 75 46 78 49 72 43 44 84 55 58 52 53 64 62 
78 84 87 58 52 92 64 94 67 68 61 62 97 73 74 98 76 77 70 71 72 99 82 83 15 85 86 79 80 81 21 90 91 24 2 93 1 88 89 30 5 96 33 6 7 3 4 95 39 11 12 42 13 14 8 9 10 48 19 20 51 22 23 16 17 18 57 28 29 60 31 32 25 26 27 66 37 38 69 40 41 34 35 36 75 46 47 49 50 43 44 45 55 56 59 53 54 65 63 
79 85 1 88 90 2 93 3 4 95 5 96 6 7 98 8 9 10 11 12 99 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 80 81 82 83 84 86 87 89 91 92 94 97 
80 86 88 89 91 93 94 4 95 70 96 97 7 98 76 9 10 79 12 99 82 14 15 85 17 18 1 20 21 90 23 24 2 26 27 3 29 30 5 32 33 6 35 36 8 38 39 11 41 42 13 44 45 16 47 48 19 50 51 22 53 54 25 56 57 28 59 60 31 62 63 34 65 66 37 68 69 40 71 72 43 74 75 46 77 78 49 81 52 83 84 55 87 58 61 92 64 67 73 
81 87 89 61 92 94 67 95 70 71 97 73 98 76 77 10 79 80 99 82 83 15 85 86 18 1 88 21 90 91 24 2 93 27 3 4 30 5 96 33 6 7 36 8 9 39 11 12 42 13 14 45 16 17 48 19 20 51 22 23 54 25 26 57 28 29 60 31 32 63 34 35 66 37 38 69 40 41 72 43 44 75 46 47 78 49 50 52 53 84 55 56 58 59 62 64 65 68 74 
82 80 90 91 86 88 89 5 96 97 93 94 4 95 70 11 12 99 7 98 76 9 10 79 19 20 21 14 15 85 17 18 1 28 29 30 23 24 2 26 27 3 37 38 39 32 33 6 35 36 8 46 47 48 41 42 13 44 45 16 55 56 57 50 51 22 53 54 25 64 65 66 59 60 31 62 63 34 73 74 75 68 69 40 71 72 43 83 84 77 78 49 81 52 92 87 58 61 67 
83 81 91 92 87 89 61 96 97 73 94 67 95 70 71 12 99 82 98 76 77 10 79 80 20 21 90 15 85 86 18 1 88 29 30 5 24 2 93 27 3 4 38 39 11 33 6 7 36 8 9 47 48 19 42 13 14 45 16 17 56 57 28 51 22 23 54 25 26 65 66 37 60 31 32 63 34 35 74 75 46 69 40 41 72 43 44 84 55 78 49 50 52 53 64 58 59 62 68 
84 52 92 64 58 61 62 97 73 74 67 68 70 71 72 99 82 83 76 77 78 79 80 81 21 90 91 85 86 87 1 88 89 30 5 96 2 93 94 3 4 95 39 11 12 6 7 98 8 9 10 48 19 20 13 14 15 16 17 18 57 28 29 22 23 24 25 26 27 66 37 38 31 32 33 34 35 36 75 46 47 40 41 42 43 44 45 55 56 49 50 51 53 54 65 59 60 63 69 
85 90 2 93 88 5 96 6 7 98 4 95 11 12 99 13 14 15 9 10 79 19 20 21 22 23 24 17 18 1 28 29 30 31 32 33 26 27 3 37 38 39 40 41 42 35 36 8 46 47 48 49 50 51 44 45 16 55 56 57 58 59 60 53 54 25 64 65 66 67 68 69 62 63 34 73 74 75 76 77 78 71 72 43 82 83 84 86 87 80 81 52 91 92 94 89 61 97 70 
86 91 93 94 89 96 97 7 98 76 95 70 12 99 82 14 15 85 10 79 80 20 21 90 23 24 2 18 1 88 29 30 5 32 33 6 27 3 4 38 39 11 41 42 13 36 8 9 47 48 19 50 51 22 45 16 17 56 57 28 59 60 31 54 25 26 65 66 37 68 69 40 63 34 35 74 75 46 77 78 49 72 43 44 83 84 55 87 58 81 52 53 92 64 67 61 62 73 71 
87 92 94 67 61 97 73 98 76 77 70 71 99 82 83 15 85 86 79 80 81 21 90 91 24 2 93 1 88 89 30 5 96 33 6 7 3 4 95 39 11 12 42 13 14 8 9 10 48 19 20 51 22 23 16 17 18 57 28 29 60 31 32 25 26 27 66 37 38 69 40 41 34 35 36 75 46 47 78 49 50 43 44 45 84 55 56 58 59 52 53 54 64 65 68 62 63 74 72 
88 93 4 95 96 7 98 9 10 79 12 99 14 15 85 17 18 1 20 21 90 23 24 2 26 27 3 29 30 5 32 33 6 35 36 8 38 39 11 41 42 13 44 45 16 47 48 19 50 51 22 53 54 25 56 57 28 59 60 31 62 63 34 65 66 37 68 69 40 71 72 43 74 75 46 77 78 49 80 81 52 83 84 55 86 87 58 89 61 91 92 64 94 67 70 97 73 76 82 
89 94 95 70 97 98 76 10 79 80 99 82 15 85 86 18 1 88 21 90 91 24 2 93 27 3 4 30 5 96 33 6 7 36 8 9 39 11 12 42 13 14 45 16 17 48 19 20 51 22 23 54 25 26 57 28 29 60 31 32 63 34 35 66 37 38 69 40 41 72 43 44 75 46 47 78 49 50 81 52 53 84 55 56 87 58 59 61 62 92 64 65 67 68 71 73 74 77 83 
90 88 5 96 93 4 95 11 12 99 7 98 9 10 79 19 20 21 14 15 85 17 18 1 28 29 30 23 24 2 26 27 3 37 38 39 32 33 6 35 36 8 46 47 48 41 42 13 44 45 16 55 56 57 50 51 22 53 54 25 64 65 66 59 60 31 62 63 34 73 74 75 68 69 40 71 72 43 82 83 84 77 78 49 80 81 52 91 92 86 87 58 89 61 97 94 67 70 76 
91 89 96 97 94 95 70 12 99 82 98 76 10 79 80 20 21 90 15 85 86 18 1 88 29 30 5 24 2 93 27 3 4 38 39 11 33 6 7 36 8 9 47 48 19 42 13 14 45 16 17 56 57 28 51 22 23 54 25 26 65 66 37 60 31 32 63 34 35 74 75 46 69 40 41 72 43 44 83 84 55 78 49 50 81 52 53 92 64 87 58 59 61 62 73 67 68 71 77 
92 61 97 73 67 70 71 99 82 83 76 77 79 80 81 21 90 91 85 86 87 1 88 89 30 5 96 2 93 94 3 4 95 39 11 12 6 7 98 8 9 10 48 19 20 13 14 15 16 17 18 57 28 29 22 23 24 25 26 27 66 37 38 31 32 33 34 35 36 75 46 47 40 41 42 43 44 45 84 55 56 49 50 51 52 53 54 64 65 58 59 60 62 63 74 68 69 72 78 
93 96 7 98 95 12 99 14 15 85 10 79 20 21 90 23 24 2 18 1 88 29 30 5 32 33 6 27 3 4 38 39 11 41 42 13 36 8 9 47 48 19 50 51 22 45 16 17 56 57 28 59 60 31 54 25 26 65 66 37 68 69 40 63 34 35 74 75 46 77 78 49 72 43 44 83 84 55 86 87 58 81 52 53 91 92 64 94 67 89 61 62 97 73 76 70 71 82 80 
94 97 98 76 70 99 82 15 85 86 79 80 21 90 91 24 2 93 1 88 89 30 5 96 33 6 7 3 4 95 39 11 12 42 13 14 8 9 10 48 19 20 51 22 23 16 17 18 57 28 29 60 31 32 25 26 27 66 37 38 69 40 41 34 35 36 75 46 47 78 49 50 43 44 45 84 55 56 87 58 59 52 53 54 92 64 65 67 68 61 62 63 73 74 77 71 72 83 81 
95 98 10 79 99 15 85 18 1 88 21 90 24 2 93 27 3 4 30 5 96 33 6 7 36 8 9 39 11 12 42 13 14 45 16 17 48 19 20 51 22 23 54 25 26 57 28 29 60 31 32 63 34 35 66 37 38 69 40 41 72 43 44 75 46 47 78 49 50 81 52 53 84 55 56 87 58 59 89 61 62 92 64 65 94 67 68 70 71 97 73 74 76 77 80 82 83 86 91 
96 95 12 99 98 10 79 20 21 90 15 85 18 1 88 29 30 5 24 2 93 27 3 4 38 39 11 33 6 7 36 8 9 47 48 19 42 13 14 45 16 17 56 57 28 51 22 23 54 25 26 65 66 37 60 31 32 63 34 35 74 75 46 69 40 41 72 43 44 83 84 55 78 49 50 81 52 53 91 92 64 87 58 59 89 61 62 97 73 94 67 68 70 71 82 76 77 80 86 
97 70 99 82 76 79 80 21 90 91 85 86 1 88 89 30 5 96 2 93 94 3 4 95 39 11 12 6 7 98 8 9 10 48 19 20 13 14 15 16 17 18 57 28 29 22 23 24 25 26 27 66 37 38 31 32 33 34 35 36 75 46 47 40 41 42 43 44 45 84 55 56 49 50 51 52 53 54 92 64 65 58 59 60 61 62 63 73 74 67 68 69 71 72 83 77 78 81 87 
98 99 15 85 79 21 90 24 2 93 1 88 30 5 96 33 6 7 3 4 95 39 11 12 42 13 14 8 9 10 48 19 20 51 22 23 16 17 18 57 28 29 60 31 32 25 26 27 66 37 38 69 40 41 34 35 36 75 46 47 78 49 50 43 44 45 84 55 56 87 58 59 52 53 54 92 64 65 94 67 68 61 62 63 97 73 74 76 77 70 71 72 82 83 86 80 81 91 89 
99 79 21 90 85 1 88 30 5 96 2 93 3 4 95 39 11 12 6 7 98 8 9 10 48 19 20 13 14 15 16 17 18 57 28 29 22 23 24 25 26 27 66 37 38 31 32 33 34 35 36 75 46 47 40 41 42 43 44 45 84 55 56 49 50 51 52 53 54 92 64 65 58 59 60 61 62 63 97 73 74 67 68 69 70 71 72 82 83 76 77 78 80 81 91 86 87 89 94 
