96 2
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 
69 80 85 17 41 70 89 90 28 55 81 94 45 38 65 86 95 43 44 3 71 14 39 59 52 76 91 96 57 58 8 82 25 53 7 20 46 73 67 68 13 87 35 63 72 15 16 40 12 31 60 84 78 79 24 92 49 74 83 26 27 54 22 23 1 47 4 18 88 36 37 64 42 33 34 2 61 9 29 93 50 51 75 56 48 5 6 19 66 62 10 11 30 77 21 32 
70 81 86 44 71 89 39 91 58 82 94 53 46 68 87 95 63 72 3 16 14 40 69 60 79 92 96 74 83 8 27 25 54 80 23 47 73 18 88 13 37 35 64 85 15 42 17 41 34 61 84 29 93 24 51 49 75 90 26 56 28 55 48 1 6 4 19 45 36 66 38 65 43 62 2 11 9 30 59 50 77 52 76 57 5 21 7 20 67 10 32 12 31 78 22 33 
71 82 87 72 89 14 40 92 83 94 25 54 47 88 95 35 64 3 15 42 39 69 41 61 93 96 49 75 8 26 56 53 80 55 48 73 4 19 13 36 66 63 85 65 16 17 43 70 62 84 9 30 24 50 77 74 90 76 27 28 57 81 1 5 21 18 45 20 37 38 67 86 44 2 10 32 29 59 31 51 52 78 91 58 6 7 22 46 68 11 12 33 60 79 23 34 
72 83 88 89 3 15 42 93 94 8 26 56 48 95 13 36 66 14 39 69 16 17 43 62 96 24 50 77 25 53 80 27 28 57 73 1 5 21 35 63 85 37 38 67 40 41 70 44 84 2 10 32 49 74 90 51 52 78 54 55 81 58 4 18 45 6 7 22 64 65 86 68 71 9 29 59 11 12 33 75 76 91 79 82 19 20 46 23 87 30 31 60 34 92 47 61 
73 84 89 1 4 18 45 94 2 9 29 59 95 3 14 39 69 5 6 7 19 20 46 96 8 25 53 80 10 11 12 30 31 60 13 35 63 85 15 16 17 40 41 70 21 22 23 47 24 49 74 90 26 27 28 54 55 81 32 33 34 61 36 37 38 64 65 86 42 43 44 71 48 50 51 52 75 76 91 56 57 58 82 62 66 67 68 87 72 77 78 79 92 83 88 93 
74 37 29 51 75 90 91 6 64 66 38 68 53 11 30 59 60 77 52 79 76 92 96 16 19 21 7 23 85 65 87 67 88 13 27 54 80 81 32 12 34 31 61 84 78 93 24 49 40 42 17 44 45 20 47 22 48 1 86 95 35 36 56 28 58 55 82 94 33 62 2 9 50 69 41 71 43 72 3 46 73 4 5 63 57 83 8 25 10 70 89 14 15 18 26 39 
75 66 30 77 90 76 92 21 85 38 67 88 54 32 59 31 61 52 78 93 91 96 49 42 45 7 22 48 65 86 95 68 13 36 56 80 55 82 12 33 62 60 84 9 79 24 50 74 69 17 43 72 20 46 73 23 1 5 87 35 63 37 28 57 83 81 94 25 34 2 10 29 51 41 70 89 44 3 15 47 4 18 6 64 58 8 26 53 11 71 14 39 16 19 27 40 
76 67 31 78 91 92 49 22 86 68 88 36 55 33 60 61 9 79 93 50 96 74 75 43 46 23 48 5 87 95 63 13 37 66 57 81 82 25 34 62 10 84 29 30 24 51 77 90 70 44 72 15 47 73 18 1 6 21 35 64 85 38 58 83 26 94 53 54 2 11 32 59 52 71 89 39 3 16 42 4 19 45 7 65 8 27 56 80 12 14 40 69 17 20 28 41 
77 85 32 90 52 78 93 45 38 65 86 95 56 59 12 33 62 76 91 96 79 24 50 69 7 20 46 73 67 68 13 87 35 63 80 28 57 83 31 60 84 34 2 10 92 49 74 51 17 41 70 89 22 23 1 47 4 18 88 36 37 64 55 81 94 58 8 26 61 9 29 11 75 43 44 3 71 14 39 48 5 6 19 66 82 25 53 27 30 72 15 16 40 21 54 42 
78 86 33 91 79 93 50 46 68 87 95 63 57 60 34 62 10 92 96 74 24 51 77 70 23 47 73 18 88 13 37 35 64 85 81 58 83 26 61 84 29 2 11 32 49 75 90 52 44 71 89 39 48 1 6 4 19 45 36 66 38 65 82 94 53 8 27 56 9 30 59 12 76 72 3 16 14 40 69 5 21 7 20 67 25 54 80 28 31 15 42 17 41 22 55 43 
79 87 34 92 93 24 51 47 88 95 35 64 58 61 62 2 11 96 49 75 50 77 52 71 48 73 4 19 13 36 66 63 85 65 82 83 8 27 84 9 30 10 32 12 74 90 76 78 72 89 14 40 1 5 21 18 45 20 37 38 67 86 94 25 54 26 56 28 29 59 31 33 91 3 15 42 39 69 41 6 7 22 46 68 53 80 55 57 60 16 17 43 70 23 81 44 
80 17 90 28 55 81 94 38 41 43 44 3 59 52 76 91 96 57 58 8 82 25 53 7 65 67 68 13 70 71 14 72 15 16 12 31 60 84 78 79 24 92 49 74 83 26 27 54 20 22 23 1 86 87 35 88 36 37 89 39 40 42 33 34 2 61 9 29 93 50 51 75 56 46 47 4 48 5 6 95 63 64 66 69 62 10 11 30 77 73 18 19 21 85 32 45 
81 44 91 58 82 94 53 68 71 72 3 16 60 79 92 96 74 83 8 27 25 54 80 23 87 88 13 37 89 14 40 15 42 17 34 61 84 29 93 24 51 49 75 90 26 56 28 55 47 48 1 6 95 35 64 36 66 38 39 69 41 43 62 2 11 9 30 59 50 77 52 76 57 73 4 19 5 21 7 63 85 65 67 70 10 32 12 31 78 18 45 20 22 86 33 46 
82 72 92 83 94 25 54 88 89 3 15 42 61 93 96 49 75 8 26 56 53 80 55 48 95 13 36 66 14 39 69 16 17 43 62 84 9 30 24 50 77 74 90 76 27 28 57 81 73 1 5 21 35 63 85 37 38 67 40 41 70 44 2 10 32 29 59 31 51 52 78 91 58 4 18 45 6 7 22 64 65 86 68 71 11 12 33 60 79 19 20 46 23 87 34 47 
83 89 93 94 8 26 56 95 3 14 39 69 62 96 24 50 77 25 53 80 27 28 57 73 13 35 63 85 15 16 17 40 41 70 84 2 10 32 49 74 90 51 52 78 54 55 81 58 1 4 18 45 36 37 38 64 65 86 42 43 44 71 9 29 59 11 12 33 75 76 91 79 82 5 6 7 19 20 46 66 67 68 87 72 30 31 60 34 92 21 22 23 47 88 61 48 
84 1 94 2 9 29 59 3 4 5 6 7 96 8 25 53 80 10 11 12 30 31 60 13 14 15 16 17 18 19 20 21 22 23 24 49 74 90 26 27 28 54 55 81 32 33 34 61 35 36 37 38 39 40 41 42 43 44 45 46 47 48 50 51 52 75 76 91 56 57 58 82 62 63 64 65 66 67 68 69 70 71 72 73 77 78 79 92 83 85 86 87 88 89 93 95 
85 90 45 38 65 86 95 59 52 76 91 96 69 7 20 46 73 67 68 13 87 35 63 80 12 31 60 84 78 79 24 92 49 74 17 41 70 89 22 23 1 47 4 18 88 36 37 64 28 55 81 94 33 34 2 61 9 29 93 50 51 75 43 44 3 71 14 39 48 5 6 19 66 57 58 8 82 25 53 62 10 11 30 77 72 15 16 40 21 83 26 27 54 32 42 56 
86 91 46 68 87 95 63 60 79 92 96 74 70 23 47 73 18 88 13 37 35 64 85 81 34 61 84 29 93 24 51 49 75 90 44 71 89 39 48 1 6 4 19 45 36 66 38 65 58 82 94 53 62 2 11 9 30 59 50 77 52 76 72 3 16 14 40 69 5 21 7 20 67 83 8 27 25 54 80 10 32 12 31 78 15 42 17 41 22 26 56 28 55 33 43 57 
87 92 47 88 95 35 64 61 93 96 49 75 71 48 73 4 19 13 36 66 63 85 65 82 62 84 9 30 24 50 77 74 90 76 72 89 14 40 1 5 21 18 45 20 37 38 67 86 83 94 25 54 2 10 32 29 59 31 51 52 78 91 3 15 42 39 69 41 6 7 22 46 68 8 26 56 53 80 55 11 12 33 60 79 16 17 43 70 23 27 28 57 81 34 44 58 
88 93 48 95 13 36 66 62 96 24 50 77 72 73 1 5 21 35 63 85 37 38 67 83 84 2 10 32 49 74 90 51 52 78 89 3 15 42 4 18 45 6 7 22 64 65 86 68 94 8 26 56 9 29 59 11 12 33 75 76 91 79 14 39 69 16 17 43 19 20 46 23 87 25 53 80 27 28 57 30 31 60 34 92 40 41 70 44 47 54 55 81 58 61 71 82 
89 94 95 3 14 39 69 96 8 25 53 80 73 13 35 63 85 15 16 17 40 41 70 84 24 49 74 90 26 27 28 54 55 81 1 4 18 45 36 37 38 64 65 86 42 43 44 71 2 9 29 59 50 51 52 75 76 91 56 57 58 82 5 6 7 19 20 46 66 67 68 87 72 10 11 12 30 31 60 77 78 79 92 83 21 22 23 47 88 32 33 34 61 93 48 62 
90 38 59 52 76 91 96 7 65 67 68 13 80 12 31 60 84 78 79 24 92 49 74 17 20 22 23 1 86 87 35 88 36 37 28 55 81 94 33 34 2 61 9 29 93 50 51 75 41 43 44 3 46 47 4 48 5 6 95 63 64 66 57 58 8 82 25 53 62 10 11 30 77 70 71 14 72 15 16 73 18 19 21 85 83 26 27 54 32 89 39 40 42 45 56 69 
91 68 60 79 92 96 74 23 87 88 13 37 81 34 61 84 29 93 24 51 49 75 90 44 47 48 1 6 95 35 64 36 66 38 58 82 94 53 62 2 11 9 30 59 50 77 52 76 71 72 3 16 73 4 19 5 21 7 63 85 65 67 83 8 27 25 54 80 10 32 12 31 78 89 14 40 15 42 17 18 45 20 22 86 26 56 28 55 33 39 69 41 43 46 57 70 
92 88 61 93 96 49 75 48 95 13 36 66 82 62 84 9 30 24 50 77 74 90 76 72 73 1 5 21 35 63 85 37 38 67 83 94 25 54 2 10 32 29 59 31 51 52 78 91 89 3 15 42 4 18 45 6 7 22 64 65 86 68 8 26 56 53 80 55 11 12 33 60 79 14 39 69 16 17 43 19 20 46 23 87 27 28 57 81 34 40 41 70 44 47 58 71 
93 95 62 96 24 50 77 73 13 35 63 85 83 84 2 10 32 49 74 90 51 52 78 89 1 4 18 45 36 37 38 64 65 86 94 8 26 56 9 29 59 11 12 33 75 76 91 79 3 14 39 69 5 6 7 19 20 46 66 67 68 87 25 53 80 27 28 57 30 31 60 34 92 15 16 17 40 41 70 21 22 23 47 88 54 55 81 58 61 42 43 44 71 48 82 72 
94 3 96 8 25 53 80 13 14 15 16 17 84 24 49 74 90 26 27 28 54 55 81 1 35 36 37 38 39 40 41 42 43 44 2 9 29 59 50 51 52 75 76 91 56 57 58 82 4 5 6 7 63 64 65 66 67 68 69 70 71 72 10 11 12 30 31 60 77 78 79 92 83 18 19 20 21 22 23 85 86 87 88 89 32 33 34 61 93 45 46 47 48 95 62 73 
95 96 73 13 35 63 85 84 24 49 74 90 89 1 4 18 45 36 37 38 64 65 86 94 2 9 29 59 50 51 52 75 76 91 3 14 39 69 5 6 7 19 20 46 66 67 68 87 8 25 53 80 10 11 12 30 31 60 77 78 79 92 15 16 17 40 41 70 21 22 23 47 88 26 27 28 54 55 81 32 33 34 61 93 42 43 44 71 48 56 57 58 82 62 72 83 
96 13 84 24 49 74 90 1 35 36 37 38 94 2 9 29 59 50 51 52 75 76 91 3 4 5 6 7 63 64 65 66 67 68 8 25 53 80 10 11 12 30 31 60 77 78 79 92 14 15 16 17 18 19 20 21 22 23 85 86 87 88 26 27 28 54 55 81 32 33 34 61 93 39 40 41 42 43 44 45 46 47 48 95 56 57 58 82 62 69 70 71 72 73 83 89 
