96 2
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 
17 28 38 41 43 44 3 52 55 57 58 8 7 65 67 68 13 70 71 14 72 15 16 12 76 78 79 24 81 82 25 83 26 27 20 22 23 1 86 87 35 88 36 37 89 39 40 42 31 33 34 2 91 92 49 93 50 51 94 53 54 56 46 47 4 48 5 6 95 63 64 66 69 60 61 9 62 10 11 96 74 75 77 80 73 18 19 21 85 84 29 30 32 90 45 59 
18 29 39 6 19 45 46 53 11 30 59 60 63 16 40 69 70 21 7 23 20 47 73 74 27 54 80 81 32 12 34 31 61 84 37 64 85 86 42 17 44 41 71 89 22 48 1 4 51 75 90 91 56 28 58 55 82 94 33 62 2 9 66 38 68 65 87 95 43 72 3 14 5 77 52 79 76 92 96 57 83 8 25 10 67 88 13 35 15 78 93 24 49 26 36 50 
19 30 40 21 45 20 47 54 32 59 31 61 64 42 69 41 71 7 22 48 46 73 4 75 56 80 55 82 12 33 62 60 84 9 66 85 65 87 17 43 72 70 89 14 23 1 5 18 77 90 76 92 28 57 83 81 94 25 34 2 10 29 38 67 88 86 95 35 44 3 15 39 6 52 78 93 91 96 49 58 8 26 53 11 68 13 36 63 16 79 24 50 74 27 37 51 
20 31 41 22 46 47 4 55 33 60 61 9 65 43 70 71 14 23 48 5 73 18 19 76 57 81 82 25 34 62 10 84 29 30 67 86 87 35 44 72 15 89 39 40 1 6 21 45 78 91 92 49 58 83 26 94 53 54 2 11 32 59 68 88 36 95 63 64 3 16 42 69 7 79 93 50 96 74 75 8 27 56 80 12 13 37 66 85 17 24 51 77 90 28 38 52 
21 32 42 45 7 22 48 56 59 12 33 62 66 69 17 43 72 20 46 73 23 1 5 77 80 28 57 83 31 60 84 34 2 10 85 38 67 88 41 70 89 44 3 15 47 4 18 6 90 52 78 93 55 81 94 58 8 26 61 9 29 11 65 86 95 68 13 36 71 14 39 16 19 76 91 96 79 24 50 82 25 53 27 30 87 35 63 37 40 92 49 74 51 54 64 75 
22 33 43 46 23 48 5 57 60 34 62 10 67 70 44 72 15 47 73 18 1 6 21 78 81 58 83 26 61 84 29 2 11 32 86 68 88 36 71 89 39 3 16 42 4 19 45 7 91 79 93 50 82 94 53 8 27 56 9 30 59 12 87 95 63 13 37 66 14 40 69 17 20 92 96 74 24 51 77 25 54 80 28 31 35 64 85 38 41 49 75 90 52 55 65 76 
23 34 44 47 48 1 6 58 61 62 2 11 68 71 72 3 16 73 4 19 5 21 7 79 82 83 8 27 84 9 30 10 32 12 87 88 13 37 89 14 40 15 42 17 18 45 20 22 92 93 24 51 94 25 54 26 56 28 29 59 31 33 95 35 64 36 66 38 39 69 41 43 46 96 49 75 50 77 52 53 80 55 57 60 63 85 65 67 70 74 90 76 78 81 86 91 
24 35 2 49 50 51 52 4 36 63 64 65 8 9 10 11 12 74 75 76 77 78 79 14 5 18 19 20 37 66 67 85 86 87 25 26 27 28 29 30 31 32 33 34 90 91 92 93 15 39 40 41 6 21 22 45 46 47 38 68 88 95 53 54 55 56 57 58 59 60 61 62 96 16 42 43 69 70 71 7 23 48 73 13 80 81 82 83 84 17 44 72 89 1 94 3 
25 15 49 26 53 54 55 36 39 16 42 43 9 50 74 75 76 27 56 57 80 81 82 5 63 37 66 67 40 69 70 17 44 72 10 29 30 31 51 77 78 90 91 92 28 58 83 94 18 6 21 22 64 85 86 38 68 88 41 71 89 3 11 32 33 59 60 61 52 79 93 96 8 19 45 46 7 23 48 65 87 95 13 14 12 34 62 84 24 20 47 73 1 35 2 4 
26 39 50 53 27 56 57 63 16 40 69 70 10 74 51 77 78 54 80 81 28 58 83 18 37 64 85 86 42 17 44 41 71 89 29 11 32 33 75 90 91 52 79 93 55 82 94 8 6 19 45 46 66 38 68 65 87 95 43 72 3 14 30 59 60 12 34 62 76 92 96 24 25 21 7 23 20 47 73 67 88 13 35 15 31 61 84 2 49 22 48 1 4 36 9 5 
27 40 51 54 56 28 58 64 42 69 41 71 11 75 77 52 79 80 55 82 57 83 8 19 66 85 65 87 17 43 72 70 89 14 30 32 12 34 90 76 92 78 93 24 81 94 25 26 21 45 20 47 38 67 88 86 95 35 44 3 15 39 59 31 61 33 62 2 91 96 49 50 53 7 22 48 46 73 4 68 13 36 63 16 60 84 9 10 74 23 1 5 18 37 29 6 
28 41 52 55 57 58 8 65 43 70 71 14 12 76 78 79 24 81 82 25 83 26 27 20 67 86 87 35 44 72 15 89 39 40 31 33 34 2 91 92 49 93 50 51 94 53 54 56 22 46 47 4 68 88 36 95 63 64 3 16 42 69 60 61 9 62 10 11 96 74 75 77 80 23 48 5 73 18 19 13 37 66 85 17 84 29 30 32 90 1 6 21 45 38 59 7 
29 6 53 11 30 59 60 16 19 21 7 23 74 27 54 80 81 32 12 34 31 61 84 37 40 42 17 44 45 20 47 22 48 1 51 75 90 91 56 28 58 55 82 94 33 62 2 9 64 66 38 68 69 41 71 43 72 3 46 73 4 5 77 52 79 76 92 96 57 83 8 25 10 85 65 87 67 88 13 70 89 14 15 18 78 93 24 49 26 86 95 35 36 39 50 63 
30 21 54 32 59 31 61 42 45 7 22 48 75 56 80 55 82 12 33 62 60 84 9 66 69 17 43 72 20 46 73 23 1 5 77 90 76 92 28 57 83 81 94 25 34 2 10 29 85 38 67 88 41 70 89 44 3 15 47 4 18 6 52 78 93 91 96 49 58 8 26 53 11 65 86 95 68 13 36 71 14 39 16 19 79 24 50 74 27 87 35 63 37 40 51 64 
31 22 55 33 60 61 9 43 46 23 48 5 76 57 81 82 25 34 62 10 84 29 30 67 70 44 72 15 47 73 18 1 6 21 78 91 92 49 58 83 26 94 53 54 2 11 32 59 86 68 88 36 71 89 39 3 16 42 4 19 45 7 79 93 50 96 74 75 8 27 56 80 12 87 95 63 13 37 66 14 40 69 17 20 24 51 77 90 28 35 64 85 38 41 52 65 
32 45 56 59 12 33 62 69 7 20 46 73 77 80 28 57 83 31 60 84 34 2 10 85 17 41 70 89 22 23 1 47 4 18 90 52 78 93 55 81 94 58 8 26 61 9 29 11 38 65 86 95 43 44 3 71 14 39 48 5 6 19 76 91 96 79 24 50 82 25 53 27 30 67 68 13 87 35 63 72 15 16 40 21 92 49 74 51 54 88 36 37 64 42 75 66 
33 46 57 60 34 62 10 70 23 47 73 18 78 81 58 83 26 61 84 29 2 11 32 86 44 71 89 39 48 1 6 4 19 45 91 79 93 50 82 94 53 8 27 56 9 30 59 12 68 87 95 63 72 3 16 14 40 69 5 21 7 20 92 96 74 24 51 77 25 54 80 28 31 88 13 37 35 64 85 15 42 17 41 22 49 75 90 52 55 36 66 38 65 43 76 67 
34 47 58 61 62 2 11 71 48 73 4 19 79 82 83 8 27 84 9 30 10 32 12 87 72 89 14 40 1 5 21 18 45 20 92 93 24 51 94 25 54 26 56 28 29 59 31 33 88 95 35 64 3 15 42 39 69 41 6 7 22 46 96 49 75 50 77 52 53 80 55 57 60 13 36 66 63 85 65 16 17 43 70 23 74 90 76 78 81 37 38 67 86 44 91 68 
35 49 4 36 63 64 65 9 50 74 75 76 14 5 18 19 20 37 66 67 85 86 87 25 10 29 30 31 51 77 78 90 91 92 15 39 40 41 6 21 22 45 46 47 38 68 88 95 26 53 54 55 11 32 33 59 60 61 52 79 93 96 16 42 43 69 70 71 7 23 48 73 13 27 56 57 80 81 82 12 34 62 84 24 17 44 72 89 1 28 58 83 94 2 3 8 
36 50 5 63 37 66 67 10 74 51 77 78 15 18 6 21 22 64 85 86 38 68 88 26 29 11 32 33 75 90 91 52 79 93 39 16 42 43 19 45 46 7 23 48 65 87 95 13 53 27 56 57 30 59 60 12 34 62 76 92 96 24 40 69 70 17 44 72 20 47 73 1 35 54 80 81 28 58 83 31 61 84 2 49 41 71 89 3 4 55 82 94 8 9 14 25 
37 51 6 64 66 38 68 11 75 77 52 79 16 19 21 7 23 85 65 87 67 88 13 27 30 32 12 34 90 76 92 78 93 24 40 42 17 44 45 20 47 22 48 1 86 95 35 36 54 56 28 58 59 31 61 33 62 2 91 96 49 50 69 41 71 43 72 3 46 73 4 5 63 80 55 82 57 83 8 60 84 9 10 74 70 89 14 15 18 81 94 25 26 29 39 53 
