64 226 
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 
25 3 11 44 46 8 48 1 13 14 15 16 28 30 2 32 58 23 60 24 61 26 4 5 6 7 33 34 35 36 37 38 49 9 51 10 52 12 43 64 45 47 17 18 19 20 21 22 53 54 55 56 27 62 29 31 59 39 40 41 42 63 50 57 
26 38 12 45 47 48 8 22 55 56 16 15 29 31 32 2 59 60 23 61 24 25 41 42 7 6 63 35 34 37 36 3 50 51 9 52 10 11 64 43 44 46 57 19 18 21 20 1 54 53 13 14 62 27 28 30 58 40 39 4 5 33 49 17 
27 40 58 10 9 49 50 63 21 19 57 17 46 44 43 64 2 30 31 28 29 62 56 55 54 53 7 42 5 41 4 39 25 24 61 23 60 59 11 12 52 51 38 37 36 35 34 33 22 1 20 18 8 48 47 45 32 16 15 14 13 6 26 3 
28 41 44 11 49 9 51 55 22 57 19 18 25 58 23 60 30 2 32 27 62 29 38 63 35 34 42 7 6 40 39 4 46 8 48 43 64 45 10 52 12 50 56 16 15 54 53 13 21 20 1 17 24 61 26 59 31 37 36 3 33 5 47 14 
29 4 45 12 50 51 9 13 1 17 18 19 26 59 60 23 31 32 2 62 27 28 3 33 34 35 5 6 7 39 40 41 47 48 8 64 43 44 52 10 11 49 14 15 16 53 54 55 20 21 22 57 61 24 25 58 30 36 37 38 63 42 46 56 
30 20 24 49 11 10 52 14 39 6 5 42 43 8 46 47 28 27 62 2 32 31 33 3 36 37 18 17 57 1 22 21 23 58 59 25 26 61 9 51 50 12 13 53 54 15 16 56 4 41 40 7 44 45 64 48 29 34 35 63 38 19 60 55 
31 21 61 50 12 52 10 56 40 7 42 5 64 48 47 46 29 62 27 32 2 30 63 38 37 36 19 57 17 22 1 20 60 59 58 26 25 24 51 9 49 11 55 54 53 16 15 14 41 4 39 6 45 44 43 8 28 35 34 33 3 18 23 13 
32 22 48 51 52 12 11 38 41 42 7 6 60 61 26 25 62 29 28 31 30 2 55 56 16 15 57 19 18 21 20 1 64 45 44 47 46 8 50 49 9 10 63 35 34 37 36 3 40 39 4 5 59 58 23 24 27 54 53 13 14 17 43 33 
33 64 39 14 13 53 54 50 61 60 59 58 20 18 17 57 3 36 37 34 35 63 31 29 62 27 48 47 46 45 44 43 6 5 42 4 41 40 15 16 56 55 12 52 10 51 9 49 26 25 24 23 1 22 21 19 38 32 2 30 28 8 7 11 
34 45 18 15 53 13 55 29 26 59 60 23 6 39 4 41 36 3 38 33 63 35 12 50 51 9 47 48 8 64 43 44 20 1 22 17 57 19 14 56 16 54 31 32 2 62 27 28 61 24 25 58 5 42 7 40 37 52 10 11 49 46 21 30 
35 44 19 16 54 55 13 28 25 58 23 60 7 40 41 4 37 38 3 63 33 34 11 49 9 51 46 8 48 43 64 45 21 22 1 57 17 18 56 14 15 53 30 2 32 27 62 29 24 61 26 59 42 5 6 39 36 10 52 12 50 47 20 31 
36 24 5 53 15 14 56 30 43 8 46 47 17 1 20 21 34 33 63 3 38 37 49 11 10 52 23 58 59 25 26 61 4 39 40 6 7 42 13 55 54 16 28 27 62 2 32 31 44 45 64 48 18 19 57 22 35 9 51 50 12 60 41 29 
37 61 42 54 16 56 14 31 64 48 47 46 57 22 21 20 35 63 33 38 3 36 50 12 52 10 60 59 58 26 25 24 41 40 39 7 6 5 55 13 53 15 29 62 27 32 2 30 45 44 43 8 19 18 17 1 34 51 9 49 11 23 4 28 
38 26 22 55 56 16 15 12 45 47 48 8 41 42 7 6 63 35 34 37 36 3 29 31 32 2 59 60 23 61 24 25 57 19 18 21 20 1 54 53 13 14 50 51 9 52 10 11 64 43 44 46 40 39 4 5 33 62 27 28 30 58 17 49 
39 62 33 20 18 17 57 59 52 51 50 49 14 13 53 54 6 5 42 4 41 40 47 45 64 43 32 31 30 29 28 27 3 36 37 34 35 63 1 22 21 19 26 61 24 60 23 58 12 11 10 9 15 16 56 55 7 48 8 46 44 2 38 25 
40 27 63 21 19 57 17 58 10 9 49 50 56 55 54 53 7 42 5 41 4 39 46 44 43 64 2 30 31 28 29 62 38 37 36 35 34 33 22 1 20 18 25 24 61 23 60 59 11 12 52 51 16 15 14 13 6 8 48 47 45 32 3 26 
41 28 55 22 57 19 18 44 11 49 9 51 38 63 35 34 42 7 6 40 39 4 25 58 23 60 30 2 32 27 62 29 56 16 15 54 53 13 21 20 1 17 46 8 48 43 64 45 10 52 12 50 37 36 3 33 5 24 61 26 59 31 14 47 
42 52 37 57 22 21 20 47 62 32 31 30 54 16 56 14 41 40 39 7 6 5 59 26 61 24 51 50 49 12 11 10 35 63 33 38 3 36 19 18 17 1 45 64 43 48 8 46 29 28 27 2 55 13 53 15 4 60 23 58 25 9 34 44 
