Program started
Opened all dims file
PDS(81,32,13,12) SmGrp(81,10): 3 4 5 6 10 12 13 14 18 23 27 29 30 32 40 43 44 48 49 54 55 56 62 63 68 69 72 73 74 75 77 80 .Tri: 354
PDS(96,19,2,4) SmGrp(96,1): None in Tri: 46080
PDS(81,32,13,12) SmGrp(81,4): 2 3 7 9 10 11 12 15 18 20 22 24 26 27 34 39 43 44 46 47 51 55 61 64 66 69 70 71 72 73 75 77 .Tri: 644
PDS(81,32,13,12) SmGrp(81,2): 1 2 3 5 7 9 11 12 16 17 18 19 21 23 25 28 32 33 34 35 41 43 46 51 55 60 62 66 72 73 77 78 .Tri: 1566
PDS(96,20,4,4) SmGrp(96,1): None in Tri: 46080
PDS(81,20,1,6) SmGrp(81,12): None in Tri: 32805
PDS(81,20,1,6) SmGrp(81,9): None in Tri: 32805
PDS(88,27,6,9) SmGrp(88,1): None in Tri: 38720
PDS(81,20,1,6) SmGrp(81,10): None in Tri: 32805
PDS(81,20,1,6) SmGrp(81,5): None in Tri: 32805
PDS(81,20,1,6) SmGrp(81,3): None in Tri: 32805
PDS(78,22,11,4) SmGrp(78,4): None in Tri: 30420
PDS(81,20,1,6) SmGrp(81,6): None in Tri: 32805
PDS(81,20,1,6) SmGrp(81,4): None in Tri: 32805
PDS(78,22,11,4) SmGrp(78,2): None in Tri: 30420
PDS(81,40,19,20) SmGrp(81,1): None in Tri: 32805
PDS(81,20,1,6) SmGrp(81,14): None in Tri: 32805
PDS(81,20,1,6) SmGrp(81,2): None in Tri: 32805
PDS(78,22,11,4) SmGrp(78,5): None in Tri: 30420
PDS(78,22,11,4) SmGrp(78,6): None in Tri: 30420
PDS(85,30,11,10) SmGrp(85,1): None in Tri: 36125
PDS(100,18,8,2) SmGrp(100,1): None in Tri: 50000
PDS(81,40,19,20) SmGrp(81,2): 1 2 3 4 5 7 8 9 11 12 14 16 18 20 21 22 24 25 26 28 32 33 34 36 39 42 45 46 47 50 56 61 64 65 68 71 72 73 76 78 .Tri: 2136
PDS(81,20,1,6) SmGrp(81,11): None in Tri: 32805
PDS(78,22,11,4) SmGrp(78,3): None in Tri: 30420
PDS(91,24,12,4) SmGrp(91,1): None in Tri: 41405
PDS(99,14,1,2) SmGrp(99,2): None in Tri: 49005
PDS(81,24,9,6) SmGrp(81,3): None in Tri: 32805
PDS(81,24,9,6) SmGrp(81,5): None in Tri: 32805
PDS(85,42,20,21) SmGrp(85,1): None in Tri: 36125
PDS(81,24,9,6) SmGrp(81,11): None in Tri: 32805
PDS(81,24,9,6) SmGrp(81,6): None in Tri: 32805
PDS(96,19,2,4) SmGrp(96,71): 2 5 6 12 13 14 22 24 48 51 57 62 68 76 79 82 86 87 95 .Tri: 843
PDS(81,30,9,12) SmGrp(81,10): None in Tri: 32805
PDS(81,30,9,12) SmGrp(81,3): None in Tri: 32805
PDS(81,30,9,12) SmGrp(81,6): None in Tri: 32805
PDS(81,30,9,12) SmGrp(81,2): None in Tri: 32805
PDS(81,30,9,12) SmGrp(81,5): None in Tri: 32805
PDS(81,30,9,12) SmGrp(81,9): None in Tri: 32805
PDS(96,19,2,4) SmGrp(96,70): 6 14 20 34 41 47 49 51 57 65 66 69 81 82 86 88 89 91 93 .Tri: 113
PDS(81,40,19,20) SmGrp(81,7): 1 3 5 6 8 10 12 13 15 17 18 23 24 25 26 28 33 36 37 38 40 41 44 49 50 51 52 53 57 58 60 61 66 68 69 70 74 77 79 80 .Tri: 225
PDS(81,32,13,12) SmGrp(81,3): None in Tri: 32805
PDS(81,32,13,12) SmGrp(81,6): None in Tri: 32805
PDS(81,30,9,12) SmGrp(81,12): None in Tri: 32805
PDS(96,19,2,4) SmGrp(96,2): None in Tri: 46080
PDS(96,19,2,4) SmGrp(96,115): None in Tri: 46080
PDS(81,30,9,12) SmGrp(81,14): None in Tri: 32805
PDS(81,40,19,20) SmGrp(81,13): 1 2 5 6 9 10 13 18 19 20 21 23 25 27 28 29 30 31 33 36 40 44 45 47 49 53 54 56 57 59 60 61 64 65 66 68 75 76 77 80 .Tri: 15
PDS(96,19,2,4) SmGrp(96,213): None in Tri: 46080
PDS(82,36,15,16) SmGrp(82,2): None in Tri: 33620
PDS(96,20,4,4) SmGrp(96,2): None in Tri: 46080
PDS(96,19,2,4) SmGrp(96,118): None in Tri: 46080
PDS(96,19,2,4) SmGrp(96,72): None in Tri: 46080
PDS(96,19,2,4) SmGrp(96,25): None in Tri: 46080
PDS(96,19,2,4) SmGrp(96,69): None in Tri: 46080
PDS(81,30,9,12) SmGrp(81,4): None in Tri: 32805
PDS(96,20,4,4) SmGrp(96,186): 4 19 24 26 28 29 42 48 49 53 64 66 67 75 81 86 88 90 92 93 .Tri: 818
PDS(96,20,4,4) SmGrp(96,163): None in Tri: 46080
PDS(81,32,13,12) SmGrp(81,11): None in Tri: 32805
PDS(96,20,4,4) SmGrp(96,131): None in Tri: 46080
PDS(96,19,2,4) SmGrp(96,43): None in Tri: 46080
PDS(81,30,9,12) SmGrp(81,11): None in Tri: 32805
PDS(96,19,2,4) SmGrp(96,61): None in Tri: 46080
PDS(96,19,2,4) SmGrp(96,75): None in Tri: 46080
PDS(96,19,2,4) SmGrp(96,131): None in Tri: 46080
PDS(96,20,4,4) SmGrp(96,188): None in Tri: 46080
PDS(89,44,21,22) SmGrp(89,1): None in Tri: 39605
PDS(96,19,2,4) SmGrp(96,224): None in Tri: 46080
PDS(96,19,2,4) SmGrp(96,107): None in Tri: 46080
PDS(96,19,2,4) SmGrp(96,121): None in Tri: 46080
PDS(81,32,13,12) SmGrp(81,5): None in Tri: 32805
PDS(81,40,19,20) SmGrp(81,15): 1 3 5 6 7 8 11 12 13 15 16 18 21 24 26 31 32 33 34 35 36 38 41 43 46 47 49 51 54 55 57 59 61 62 64 69 70 72 73 76 .Tri: 1
PDS(96,19,2,4) SmGrp(96,227): 14 15 18 21 23 33 34 37 40 50 51 60 61 65 72 78 83 88 94 .Tri: 40
PDS(96,19,2,4) SmGrp(96,15): None in Tri: 46080
PDS(96,19,2,4) SmGrp(96,229): None in Tri: 46080
PDS(96,19,2,4) SmGrp(96,188): None in Tri: 46080
PDS(100,18,8,2) SmGrp(100,2): None in Tri: 50000
PDS(81,40,19,20) SmGrp(81,3): None in Tri: 32805
PDS(96,19,2,4) SmGrp(96,231): None in Tri: 46080
PDS(96,19,2,4) SmGrp(96,74): None in Tri: 46080
