Program started
Opened all dims file
PDS(36,10,4,2) SmGrp(36,13): 1 3 4 5 7 10 12 13 17 23 .Tri: 31
PDS(36,10,4,2) SmGrp(36,12): 2 3 10 11 14 19 24 30 31 34 .Tri: 41
PDS(36,10,4,2) SmGrp(36,10): 3 5 7 10 16 21 22 26 31 32 .Tri: 70
PDS(36,10,4,2) SmGrp(36,9): 4 6 11 12 14 16 23 27 30 32 .Tri: 138
PDS(35,16,6,8) SmGrp(35,1): None in Tri: 6125
PDS(36,14,4,6) SmGrp(36,1): None in Tri: 6480
PDS(36,14,4,6) SmGrp(36,9): 1 2 4 5 6 8 12 15 19 20 28 31 32 34 .Tri: 4
PDS(36,14,4,6) SmGrp(36,14): 1 5 8 13 16 18 19 21 22 23 28 29 33 34 .Tri: 7
PDS(36,14,4,6) SmGrp(36,12): 1 2 6 11 13 15 23 24 28 29 30 31 32 35 .Tri: 21
PDS(36,14,4,6) SmGrp(36,10): 7 11 13 14 16 17 18 26 27 28 30 33 34 35 .Tri: 24
PDS(36,14,4,6) SmGrp(36,13): 1 4 5 6 8 9 12 15 18 20 28 29 31 32 .Tri: 56
PDS(36,14,4,6) SmGrp(36,6): 4 7 11 12 13 14 16 20 22 26 28 30 34 35 .Tri: 88
PDS(50,7,0,1) SmGrp(50,1): None in Tri: 12500
PDS(36,14,7,4) SmGrp(36,1): None in Tri: 6480
PDS(36,15,6,6) SmGrp(36,8): None in Tri: 6480
PDS(36,15,6,6) SmGrp(36,5): None in Tri: 6480
PDS(36,15,6,6) SmGrp(36,2): None in Tri: 6480
PDS(40,12,2,4) SmGrp(40,1): None in Tri: 8000
PDS(36,10,4,2) SmGrp(36,7): None in Tri: 6480
PDS(36,10,4,2) SmGrp(36,11): None in Tri: 6480
PDS(36,10,4,2) SmGrp(36,8): None in Tri: 6480
PDS(36,10,4,2) SmGrp(36,4): None in Tri: 6480
PDS(36,10,4,2) SmGrp(36,2): None in Tri: 6480
PDS(36,10,4,2) SmGrp(36,5): None in Tri: 6480
PDS(36,10,4,2) SmGrp(36,3): None in Tri: 6480
PDS(36,14,4,6) SmGrp(36,8): None in Tri: 6480
PDS(36,14,4,6) SmGrp(36,4): None in Tri: 6480
PDS(36,14,4,6) SmGrp(36,2): None in Tri: 6480
PDS(36,14,4,6) SmGrp(36,11): None in Tri: 6480
PDS(36,14,4,6) SmGrp(36,7): None in Tri: 6480
PDS(36,14,7,4) SmGrp(36,13): None in Tri: 6480
PDS(36,14,7,4) SmGrp(36,8): None in Tri: 6480
PDS(45,12,3,3) SmGrp(45,1): None in Tri: 10125
PDS(36,14,4,6) SmGrp(36,5): None in Tri: 6480
PDS(36,14,4,6) SmGrp(36,3): None in Tri: 6480
PDS(36,14,7,4) SmGrp(36,5): None in Tri: 6480
PDS(36,14,7,4) SmGrp(36,9): None in Tri: 6480
PDS(50,7,0,1) SmGrp(50,4): None in Tri: 12500
PDS(40,12,2,4) SmGrp(40,13): None in Tri: 8000
PDS(40,12,2,4) SmGrp(40,12): None in Tri: 8000
PDS(36,14,7,4) SmGrp(36,6): None in Tri: 6480
PDS(36,14,7,4) SmGrp(36,14): None in Tri: 6480
PDS(36,14,7,4) SmGrp(36,12): None in Tri: 6480
PDS(36,14,7,4) SmGrp(36,11): None in Tri: 6480
PDS(36,14,7,4) SmGrp(36,10): None in Tri: 6480
PDS(40,12,2,4) SmGrp(40,6): None in Tri: 8000
PDS(50,7,0,1) SmGrp(50,3): None in Tri: 12500
PDS(36,14,7,4) SmGrp(36,2): None in Tri: 6480
PDS(50,7,0,1) SmGrp(50,5): None in Tri: 12500
PDS(50,7,0,1) SmGrp(50,2): None in Tri: 12500
PDS(36,14,7,4) SmGrp(36,4): None in Tri: 6480
PDS(40,12,2,4) SmGrp(40,8): None in Tri: 8000
PDS(40,12,2,4) SmGrp(40,14): None in Tri: 8000
PDS(40,12,2,4) SmGrp(40,11): None in Tri: 8000
PDS(40,12,2,4) SmGrp(40,10): None in Tri: 8000
PDS(36,14,7,4) SmGrp(36,7): None in Tri: 6480
